# input_hex	out_hex	typeof	hash	hash_ext0	hash_ext42	payload_hex
6e756c6c	6e756c6c	null	-2147483647	-9223372034707292159	-9223372034707292117	01000050000000c0
74727565	74727565	boolean	-2147483646	-9223372034707292158	-7015686103020658809	01000050000000b0
66616c7365	66616c7365	boolean	-2147483644	-9223372034707292156	1060683981250131930	01000050000000a0
31	31	number	-822615224	1715863786393953096	6480781396893032932	01000050080000902000000000800100
2d31	2d31	number	-822615224	1715863786393953096	6480781396893032932	01000050080000902000000000a00100
30	30	number	2147483647	9223372034707292159	-9223372034707292119	0100005006000090180000000080
2d30	30	number	2147483647	9223372034707292159	-9223372034707292119	0100005006000090180000000080
302e35	302e35	number	179319563	-6043125332977896693	-4090404901393492513	010000500800009020000000ff808813
2d302e30	302e30	number	2147483647	9223372034707292159	-9223372034707292119	0100005006000090180000008080
312e3530	312e3530	number	-1454515754	395035744513415638	5201707183556177678	010000500a00009028000000008101008813
322e3530303030	322e3530303030	number	1169184629	2518746343131862901	7283565513779480505	010000500a00009028000000808202008813
302e35652d3135	302e30303030303030303030303030303035	number	-592623380	6251357407342840044	2858869237210315626	0100005008000090200000007c880500
3165313030	3130303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030	number	-822615215	1715863786393953105	6480781396893032957	01000050080000902000000019800100
2d31452b32	2d313030	number	-960908813	-7196944040213237261	-893169422559712529	01000050080000902000000000a06400
302e303030303031	302e303030303031	number	960908813	7196944040213237261	893169422559712529	0100005008000090200000007e836400
3132333435363738393031323334353637383930313233343536373839302e313233343536373839303132333435363738393031323334353637383930	3132333435363738393031323334353637383930313233343536373839302e313233343536373839303132333435363738393031323334353637383930	number	1268907061	3296965606626163765	-6026531846433756142	010000502600009098000000078f0c00800dd21ed2042e163423800dd21ed2042e163423800dd21ed2042e162823
3939393939393939393939393939393939393939393939393939393939393939393939393939	3939393939393939393939393939393939393939393939393939393939393939393939393939	number	922840859	7297630859711049499	-2265031714577432099	010000501a00009068000000098063000f270f270f270f270f270f270f270f270f27
2d3939393939393939393939393939393939393939393939393939393939393939393939393939	2d3939393939393939393939393939393939393939393939393939393939393939393939393939	number	922840859	7297630859711049499	-2265031714577432099	010000501a0000906800000009a063000f270f270f270f270f270f270f270f270f27
332e313431353932363533353839373933323338343632363433333833323739353032383834313937313639333939333735313035383230393734393434	332e313431353932363533353839373933323338343632363433333833323739353032383834313937313639333939333735313035383230393734393434	number	1768838435	-6495129712549014237	3523476980294023094	010000502600009098000000009e030087053124050efc1e060f530af80e0e1f440bb3071b1b9f24220431085013
32302e30	32302e30	number	-1341920959	-968388188831487679	3242018768069546241	01000050080000902000000080801400
2222	2222	string	669664877	2283808131142796909	-3064539814331480303	0100005000000080
2268656c6c6f22	2268656c6c6f22	string	277190697	-5773808669849970647	4138940996330746353	010000500500008068656c6c6f
226122	226122	string	-1072467791	-5631385854857219919	-2280969316499039753	010000500100008061
2268c3a96c6c6fe28692e4b896e7958c22	2268c3a96c6c6fe28692e4b896e7958c22	string	-648334164	1993269204456518828	-6419698402046334675	010000500f00008068c3a96c6c6fe28692e4b896e7958c
22c3a922	22c3a922	string	1164389131	8459439313319832331	6684785770674430099	0100005002000080c3a9
225c75303030315c753030316622	225c75303030315c753030316622	string	1564368228	5508502739316792676	921296882051144031	0100005002000080011f
22f09f988022	22f09f988022	string	-413253670	73575516671459290	-3192439678922944819	0100005004000080f09f9880
22efbfbf22	22efbfbf22	string	758792216	1536288787263012888	7836312100626804699	0100005003000080efbfbf
225c745c6e5c725c625c665c225c5c2f22	225c745c6e5c725c625c665c225c5c2f22	string	-254060177	-7038477493088855697	-4060115209044107441	0100005008000080090a0d080c225c2f
226b657920776974682073706163657320616e642061205c2271756f74655c2222	226b657920776974682073706163657320616e642061205c2271756f74655c2222	string	551846752	8781685615094956896	-1835016307342808649	010000501d0000806b657920776974682073706163657320616e642061202271756f746522
2261616161616161616161616161616161616161616161616161616161616161616161616161616161616161616161616161616161616161616161616161616161616161616161616161616161616161616161616161616161616161616161616161616161616161616161616161616161616161616161616161616161616161616161616161616161616161616161616161616161616161616161616161616161616161616161616161616161616161616161616161616161616161616161616161616161616122	2261616161616161616161616161616161616161616161616161616161616161616161616161616161616161616161616161616161616161616161616161616161616161616161616161616161616161616161616161616161616161616161616161616161616161616161616161616161616161616161616161616161616161616161616161616161616161616161616161616161616161616161616161616161616161616161616161616161616161616161616161616161616161616161616161616161616122	string	989761436	-3713152084288303204	-707130042699502574	01000050c6000080616161616161616161616161616161616161616161616161616161616161616161616161616161616161616161616161616161616161616161616161616161616161616161616161616161616161616161616161616161616161616161616161616161616161616161616161616161616161616161616161616161616161616161616161616161616161616161616161616161616161616161616161616161616161616161616161616161616161616161616161616161616161616161616161616161616161
5b5d	5b5d	array	0	0	42	00000040
7b7d	7b7d	object	0	0	42	00000020
5b6e756c6c5d	5b6e756c6c5d	array	-2147483647	-9223372034707292159	-9223372034707292117	01000040000000c0
5b315d	5b315d	array	-822615224	1715863786393953096	6480781396893032932	01000040080000902000000000800100
5b5b5d5d	5b5b5d5d	array	0	0	0	01000040040000d000000040
5b7b7d5d	5b7b7d5d	array	1610612736	6917529029251694592	6917529029251694592	01000040040000d000000020
5b312c20322c20335d	5b312c20322c20335d	array	-559968547	7757513094173003485	-7948648657355406309	03000040080000900800001008000010200000000080010020000000008002002000000000800300
5b2261222c202262222c202263225d	5b2261222c202262222c202263225d	array	-2031014724	-5139475013657613124	-1548925223933362871	03000040010000800100000001000000616263
5b312c202274776f222c20747275652c2066616c73652c206e756c6c2c20332e355d	5b312c202274776f222c20747275652c2066616c73652c206e756c6c2c20332e355d	array	-805942564	6755829465260378844	5704450452224707279	0600004008000090030000000000003000000020000000400b000010200000000080010074776f0028000000808003008813
5b5b312c325d2c5b332c345d2c5b5b352c5b362c5b375d5d5d5d5d	5b5b312c20325d2c205b332c20345d2c205b5b352c205b362c205b375d5d5d5d5d	array	-906800420	-5657001477731560740	8625799892212201726	030000401c0000d01c00005040000050020000400800009008000010200000000080010020000000008002000200004008000090080000102000000000800300200000000080040001000040380000d00200004008000090240000502000000000800500020000400800009010000050200000000080060001000040080000902000000000800700
5b302c312c322c332c342c352c362c372c382c392c31302c31312c31322c31332c31342c31352c31362c31372c31382c31392c32302c32312c32322c32332c32342c32352c32362c32372c32382c32392c33302c33312c33322c33332c33342c33352c33362c33372c33382c33392c34302c34312c34322c34332c34342c34352c34362c34372c34382c34392c35302c35312c35322c35332c35342c35352c35362c35372c35382c35392c36302c36312c36322c36332c36342c36352c36362c36372c36382c36395d	5b302c20312c20322c20332c20342c20352c20362c20372c20382c20392c2031302c2031312c2031322c2031332c2031342c2031352c2031362c2031372c2031382c2031392c2032302c2032312c2032322c2032332c2032342c2032352c2032362c2032372c2032382c2032392c2033302c2033312c2033322c2033332c2033342c2033352c2033362c2033372c2033382c2033392c2034302c2034312c2034322c2034332c2034342c2034352c2034362c2034372c2034382c2034392c2035302c2035312c2035322c2035332c2035342c2035352c2035362c2035372c2035382c2035392c2036302c2036312c2036322c2036332c2036342c2036352c2036362c2036372c2036382c2036395d	array	2023333400	8399292373122260504	5766203483477009500	46000040060000900a000010080000100800001008000010080000100800001008000010080000100800001008000010080000100800001008000010080000100800001008000010080000100800001008000010080000100800001008000010080000100800001008000010080000100800001008000010080000100800001008000010080100900800001008000010080000100800001008000010080000100800001008000010080000100800001008000010080000100800001008000010080000100800001008000010080000100800001008000010080000100800001008000010080000100800001008000010080000100800001008000010080000100800001008020090080000100800001008000010080000100800001018000000008000002000000000800100200000000080020020000000008003002000000000800400200000000080050020000000008006002000000000800700200000000080080020000000008009002000000000800a002000000000800b002000000000800c002000000000800d002000000000800e002000000000800f0020000000008010002000000000801100200000000080120020000000008013002000000000801400200000000080150020000000008016002000000000801700200000000080180020000000008019002000000000801a002000000000801b002000000000801c002000000000801d002000000000801e002000000000801f0020000000008020002000000000802100200000000080220020000000008023002000000000802400200000000080250020000000008026002000000000802700200000000080280020000000008029002000000000802a002000000000802b002000000000802c002000000000802d002000000000802e002000000000802f0020000000008030002000000000803100200000000080320020000000008033002000000000803400200000000080350020000000008036002000000000803700200000000080380020000000008039002000000000803a002000000000803b002000000000803c002000000000803d002000000000803e002000000000803f00200000000080400020000000008041002000000000804200200000000080430020000000008044002000000000804500
5b227330222c227331222c227332222c227333222c227334222c227335222c227336222c227337222c227338222c227339222c22733130222c22733131222c22733132222c22733133222c22733134222c22733135222c22733136222c22733137222c22733138222c22733139222c22733230222c22733231222c22733232222c22733233222c22733234222c22733235222c22733236222c22733237222c22733238222c22733239222c22733330222c22733331222c22733332222c22733333222c22733334222c22733335222c22733336222c22733337222c22733338222c22733339225d	5b227330222c20227331222c20227332222c20227333222c20227334222c20227335222c20227336222c20227337222c20227338222c20227339222c2022733130222c2022733131222c2022733132222c2022733133222c2022733134222c2022733135222c2022733136222c2022733137222c2022733138222c2022733139222c2022733230222c2022733231222c2022733232222c2022733233222c2022733234222c2022733235222c2022733236222c2022733237222c2022733238222c2022733239222c2022733330222c2022733331222c2022733332222c2022733333222c2022733334222c2022733335222c2022733336222c2022733337222c2022733338222c2022733339225d	array	-1622414507	2714884238184541013	-9148858645043419452	28000040020000800200000002000000020000000200000002000000020000000200000002000000020000000300000003000000030000000300000003000000030000000300000003000000030000000300000003000000030000000300000003000000030000000300000003000000030000000300000003000000030000000300000059000080030000000300000003000000030000000300000003000000030000007330733173327333733473357336733773387339733130733131733132733133733134733135733136733137733138733139733230733231733232733233733234733235733236733237733238733239733330733331733332733333733334733335733336733337733338733339
