# op	target_hex	a1_hex	a2_hex	a3	payload_hex
concat	7b2261223a317d	7b2262223a327d			0200002001000080010000000a000010080000106162000020000000008001002000000000800200
concat	7b2261223a312c2262223a7b2278223a317d7d	7b2262223a7b2279223a327d2c2263223a5b315d7d			0300002001000080010000000100000009000010180000501000005061626300200000000080010001000020010000800b00001079000000200000000080020001000040080000902000000000800100
concat	5b312c325d	5b332c345d			04000040080000900800001008000010080000102000000000800100200000000080020020000000008003002000000000800400
concat	5b312c325d	227822			030000400800009008000010010000002000000000800100200000000080020078
concat	227822	5b312c325d			03000040010000800b000010080000107800000020000000008001002000000000800200
concat	226122	226222			0200004001000080010000006162
concat	7b2261223a317d	5b315d			02000040180000d00800001001000020010000800b0000106100000020000000008001002000000000800100
concat	5b315d	7b2261223a317d			020000400800009018000050200000000080010001000020010000800b000010610000002000000000800100
concat	7b7d	7b2261223a317d			01000020010000800b000010610000002000000000800100
concat	7b2261223a317d	7b7d			01000020010000800b000010610000002000000000800100
concat	5b5d	5b315d			01000040080000902000000000800100
concat	33	5b5d			01000040080000902000000000800300
concat	33	34			02000040080000900800001020000000008003002000000000800400
concat	5b302c312c322c332c342c352c362c372c382c392c31302c31312c31322c31332c31342c31352c31362c31372c31382c31392c32302c32312c32322c32332c32342c32352c32362c32372c32382c32392c33302c33312c33322c33332c33342c33352c33362c33372c33382c33392c34302c34312c34322c34332c34342c34352c34362c34372c34382c34392c35302c35312c35322c35332c35342c35352c35362c35372c35382c35392c36302c36312c36322c36332c36342c36352c36362c36372c36382c36395d	5b302c312c322c332c342c352c362c372c382c392c31302c31312c31322c31332c31342c31352c31362c31372c31382c31392c32302c32312c32322c32332c32342c32352c32362c32372c32382c32392c33302c33312c33322c33332c33342c33352c33362c33372c33382c33392c34302c34312c34322c34332c34342c34352c34362c34372c34382c34392c35302c35312c35322c35332c35342c35352c35362c35372c35382c35392c36302c36312c36322c36332c36342c36352c36362c36372c36382c36395d			8c000040060000900a0000100800001008000010080000100800001008000010080000100800001008000010080000100800001008000010080000100800001008000010080000100800001008000010080000100800001008000010080000100800001008000010080000100800001008000010080000100800001008000010080000100801009008000010080000100800001008000010080000100800001008000010080000100800001008000010080000100800001008000010080000100800001008000010080000100800001008000010080000100800001008000010080000100800001008000010080000100800001008000010080000100800001008000010080200900800001008000010080000100800001008000010060000100a000010080000100800001008000010080000100800001008000010080000100800001008000010080000100800001008000010080000100800001008000010080000100800001008000010080000100800001008000010080000100800001008000010080300900800001008000010080000100800001008000010080000100800001008000010080000100800001008000010080000100800001008000010080000100800001008000010080000100800001008000010080000100800001008000010080000100800001008000010080000100800001008000010080000100800001008040090080000100800001008000010080000100800001008000010080000100800001008000010080000100800001018000000008000002000000000800100200000000080020020000000008003002000000000800400200000000080050020000000008006002000000000800700200000000080080020000000008009002000000000800a002000000000800b002000000000800c002000000000800d002000000000800e002000000000800f0020000000008010002000000000801100200000000080120020000000008013002000000000801400200000000080150020000000008016002000000000801700200000000080180020000000008019002000000000801a002000000000801b002000000000801c002000000000801d002000000000801e002000000000801f0020000000008020002000000000802100200000000080220020000000008023002000000000802400200000000080250020000000008026002000000000802700200000000080280020000000008029002000000000802a002000000000802b002000000000802c002000000000802d002000000000802e002000000000802f0020000000008030002000000000803100200000000080320020000000008033002000000000803400200000000080350020000000008036002000000000803700200000000080380020000000008039002000000000803a002000000000803b002000000000803c002000000000803d002000000000803e002000000000803f0020000000008040002000000000804100200000000080420020000000008043002000000000804400200000000080450018000000008000002000000000800100200000000080020020000000008003002000000000800400200000000080050020000000008006002000000000800700200000000080080020000000008009002000000000800a002000000000800b002000000000800c002000000000800d002000000000800e002000000000800f0020000000008010002000000000801100200000000080120020000000008013002000000000801400200000000080150020000000008016002000000000801700200000000080180020000000008019002000000000801a002000000000801b002000000000801c002000000000801d002000000000801e002000000000801f0020000000008020002000000000802100200000000080220020000000008023002000000000802400200000000080250020000000008026002000000000802700200000000080280020000000008029002000000000802a002000000000802b002000000000802c002000000000802d002000000000802e002000000000802f0020000000008030002000000000803100200000000080320020000000008033002000000000803400200000000080350020000000008036002000000000803700200000000080380020000000008039002000000000803a002000000000803b002000000000803c002000000000803d002000000000803e002000000000803f00200000000080400020000000008041002000000000804200200000000080430020000000008044002000000000804500
