Found 51 mutants to test
ok       Unmutated baseline in 12s build + 0s test
MISSED   crates/backend/utils/adt/quote/src/lib.rs:21:9: replace QuotedIdent<'_, '_>::as_bytes -> &[u8] with Vec::leak(Vec::new()) in 1s build + 0s test
MISSED   crates/backend/utils/adt/quote/src/lib.rs:37:13: delete match arm b'"' in quote_identifier in 2s build + 1s test
MISSED   crates/backend/utils/adt/quote/src/lib.rs:21:9: replace QuotedIdent<'_, '_>::as_bytes -> &[u8] with Vec::leak(vec![1]) in 9s build + 1s test
MISSED   crates/backend/utils/adt/quote/src/lib.rs:21:9: replace QuotedIdent<'_, '_>::as_bytes -> &[u8] with Vec::leak(vec![0]) in 10s build + 0s test
MISSED   crates/backend/utils/adt/quote/src/lib.rs:39:25: replace += with *= in quote_identifier in 2s build + 0s test
MISSED   crates/backend/utils/adt/quote/src/lib.rs:60:72: replace + with * in quote_identifier in 1s build + 0s test
MISSED   crates/backend/utils/adt/quote/src/lib.rs:60:62: replace + with - in quote_identifier in 1s build + 0s test
MISSED   crates/backend/utils/adt/quote/src/lib.rs:60:62: replace + with * in quote_identifier in 1s build + 0s test
MISSED   crates/backend/utils/adt/quote/src/lib.rs:85:65: replace + with * in quote_literal in 1s build + 1s test
MISSED   crates/backend/utils/adt/quote/src/lib.rs:85:53: replace * with + in quote_literal in 1s build + 1s test
51 mutants tested in 47s: 10 missed, 16 caught, 25 unviable
