Found 1244 mutants to test
ok       Unmutated baseline in 1s build + 6s test
MISSED   crates/common/wchar/src/lib.rs:55:5: replace pg_valid_encoding -> bool with true in 1s build + 6s test
MISSED   crates/common/wchar/src/lib.rs:55:19: replace && with || in pg_valid_encoding in 1s build + 6s test
MISSED   crates/common/wchar/src/lib.rs:55:31: replace < with <= in pg_valid_encoding in 1s build + 6s test
MISSED   crates/common/wchar/src/lib.rs:59:5: replace pg_valid_be_encoding -> bool with true in 1s build + 6s test
MISSED   crates/common/wchar/src/lib.rs:59:5: replace pg_valid_be_encoding -> bool with false in 1s build + 6s test
MISSED   crates/common/wchar/src/lib.rs:59:19: replace && with || in pg_valid_be_encoding in 1s build + 6s test
MISSED   crates/common/wchar/src/lib.rs:59:14: replace >= with < in pg_valid_be_encoding in 1s build + 6s test
MISSED   crates/common/wchar/src/lib.rs:59:31: replace <= with > in pg_valid_be_encoding in 1s build + 6s test
MISSED   crates/common/wchar/src/lib.rs:63:5: replace pg_valid_fe_encoding -> bool with false in 1s build + 6s test
MISSED   crates/common/wchar/src/lib.rs:63:5: replace pg_valid_fe_encoding -> bool with true in 1s build + 6s test
MISSED   crates/common/wchar/src/lib.rs:67:5: replace pg_encoding_is_client_only -> bool with true in 1s build + 6s test
MISSED   crates/common/wchar/src/lib.rs:67:5: replace pg_encoding_is_client_only -> bool with false in 1s build + 6s test
MISSED   crates/common/wchar/src/lib.rs:67:14: replace > with == in pg_encoding_is_client_only in 1s build + 6s test
MISSED   crates/common/wchar/src/lib.rs:67:36: replace && with || in pg_encoding_is_client_only in 1s build + 6s test
MISSED   crates/common/wchar/src/lib.rs:67:14: replace > with < in pg_encoding_is_client_only in 1s build + 6s test
MISSED   crates/common/wchar/src/lib.rs:67:14: replace > with >= in pg_encoding_is_client_only in 1s build + 6s test
MISSED   crates/common/wchar/src/lib.rs:67:48: replace < with == in pg_encoding_is_client_only in 1s build + 6s test
MISSED   crates/common/wchar/src/lib.rs:67:48: replace < with > in pg_encoding_is_client_only in 1s build + 6s test
MISSED   crates/common/wchar/src/lib.rs:67:48: replace < with <= in pg_encoding_is_client_only in 1s build + 6s test
MISSED   crates/common/wchar/src/lib.rs:152:20: replace < with <= in pg_euc2wchar_with_len in 1s build + 6s test
MISSED   crates/common/wchar/src/lib.rs:156:42: replace | with ^ in pg_euc2wchar_with_len in 1s build + 6s test
MISSED   crates/common/wchar/src/lib.rs:160:20: replace < with <= in pg_euc2wchar_with_len in 1s build + 6s test
MISSED   crates/common/wchar/src/lib.rs:164:43: replace | with ^ in pg_euc2wchar_with_len in 1s build + 6s test
MISSED   crates/common/wchar/src/lib.rs:204:20: replace || with && in pg_euc_dsplen in 1s build + 6s test
MISSED   crates/common/wchar/src/lib.rs:250:20: replace < with <= in pg_euccn2wchar_with_len in 1s build + 6s test
MISSED   crates/common/wchar/src/lib.rs:254:35: replace | with ^ in pg_euccn2wchar_with_len in 1s build + 6s test
MISSED   crates/common/wchar/src/lib.rs:303:20: replace < with <= in pg_euctw2wchar_with_len in 1s build + 6s test
MISSED   crates/common/wchar/src/lib.rs:307:43: replace | with ^ in pg_euctw2wchar_with_len in 1s build + 6s test
MISSED   crates/common/wchar/src/lib.rs:315:20: replace < with <= in pg_euctw2wchar_with_len in 1s build + 6s test
TIMEOUT  crates/common/wchar/src/lib.rs:191:5: replace pg_euc_mblen -> i32 with 0 in 1s build + 300s test
MISSED   crates/common/wchar/src/lib.rs:319:43: replace | with ^ in pg_euctw2wchar_with_len in 1s build + 6s test
MISSED   crates/common/wchar/src/lib.rs:419:14: replace & with | in pg_utf2wchar_with_len in 1s build + 6s test
MISSED   crates/common/wchar/src/lib.rs:419:14: replace & with ^ in pg_utf2wchar_with_len in 1s build + 6s test
MISSED   crates/common/wchar/src/lib.rs:429:32: replace | with ^ in pg_utf2wchar_with_len in 1s build + 6s test
MISSED   crates/common/wchar/src/lib.rs:439:45: replace | with ^ in pg_utf2wchar_with_len in 1s build + 6s test
MISSED   crates/common/wchar/src/lib.rs:439:33: replace | with ^ in pg_utf2wchar_with_len in 1s build + 6s test
MISSED   crates/common/wchar/src/lib.rs:450:58: replace | with ^ in pg_utf2wchar_with_len in 1s build + 6s test
MISSED   crates/common/wchar/src/lib.rs:450:46: replace | with ^ in pg_utf2wchar_with_len in 1s build + 6s test
MISSED   crates/common/wchar/src/lib.rs:450:33: replace | with ^ in pg_utf2wchar_with_len in 1s build + 6s test
TIMEOUT  crates/common/wchar/src/lib.rs:406:5: replace pg_johab_mblen -> i32 with 0 in 1s build + 300s test
MISSED   crates/common/wchar/src/lib.rs:483:10: replace & with | in pg_utf_mblen_byte in 1s build + 6s test
MISSED   crates/common/wchar/src/lib.rs:483:10: replace & with ^ in pg_utf_mblen_byte in 1s build + 6s test
MISSED   crates/common/wchar/src/lib.rs:504:29: replace || with && in mbbisearch in 1s build + 6s test
TIMEOUT  crates/common/wchar/src/lib.rs:508:31: replace / with % in mbbisearch in 1s build + 300s test
TIMEOUT  crates/common/wchar/src/lib.rs:511:23: replace + with - in mbbisearch in 1s build + 300s test
TIMEOUT  crates/common/wchar/src/lib.rs:511:23: replace + with * in mbbisearch in 1s build + 300s test
TIMEOUT  crates/common/wchar/src/lib.rs:513:23: replace - with + in mbbisearch in 1s build + 300s test
MISSED   crates/common/wchar/src/lib.rs:579:20: replace < with <= in pg_mule2wchar_with_len in 1s build + 6s test
TIMEOUT  crates/common/wchar/src/lib.rs:513:23: replace - with / in mbbisearch in 1s build + 300s test
TIMEOUT  crates/common/wchar/src/lib.rs:679:5: replace pg_mule_mblen -> i32 with 0 in 1s build + 300s test
TIMEOUT  crates/common/wchar/src/lib.rs:745:5: replace pg_sjis_mblen -> i32 with 0 in 1s build + 300s test
TIMEOUT  crates/common/wchar/src/lib.rs:765:5: replace pg_big5_mblen -> i32 with 0 in 1s build + 300s test
TIMEOUT  crates/common/wchar/src/lib.rs:781:5: replace pg_gbk_mblen -> i32 with 0 in 1s build + 300s test
TIMEOUT  crates/common/wchar/src/lib.rs:797:5: replace pg_uhc_mblen -> i32 with 0 in 1s build + 300s test
TIMEOUT  crates/common/wchar/src/lib.rs:848:5: replace pg_eucjp_verifychar -> i32 with 0 in 1s build + 300s test
TIMEOUT  crates/common/wchar/src/lib.rs:884:5: replace pg_euckr_verifychar -> i32 with 0 in 1s build + 300s test
TIMEOUT  crates/common/wchar/src/lib.rs:903:5: replace pg_euctw_verifychar -> i32 with 0 in 1s build + 300s test
TIMEOUT  crates/common/wchar/src/lib.rs:936:5: replace pg_johab_verifychar -> i32 with 0 in 1s build + 300s test
TIMEOUT  crates/common/wchar/src/lib.rs:956:5: replace pg_mule_verifychar -> i32 with 0 in 1s build + 300s test
TIMEOUT  crates/common/wchar/src/lib.rs:981:5: replace pg_sjis_verifychar -> i32 with 0 in 1s build + 300s test
TIMEOUT  crates/common/wchar/src/lib.rs:1007:5: replace pg_big5_verifychar -> i32 with 0 in 1s build + 300s test
TIMEOUT  crates/common/wchar/src/lib.rs:1027:5: replace pg_gbk_verifychar -> i32 with 0 in 1s build + 300s test
TIMEOUT  crates/common/wchar/src/lib.rs:1047:5: replace pg_uhc_verifychar -> i32 with 0 in 1s build + 300s test
MISSED   crates/common/wchar/src/lib.rs:1147:5: replace is_valid_ascii -> bool with false in 1s build + 6s test
MISSED   crates/common/wchar/src/lib.rs:1162:5: replace is_valid_ascii -> bool with true in 1s build + 6s test
MISSED   crates/common/wchar/src/lib.rs:1162:5: replace is_valid_ascii -> bool with false in 1s build + 6s test
