function	c2rust_loc	our_loc	verdict	perfect_match(yes|no)	note
missing_hash	c2rust-runs/backend-access-common-heaptuple/src/heaptuple.rs:1195	—	MATCH	no	Subsumed: by-ref missing-value cache machinery; no observable behavior in owned model (returned value owns bytes).
missing_match	c2rust-runs/backend-access-common-heaptuple/src/heaptuple.rs:1202	—	MATCH	no	Subsumed cache machinery; see missing_hash.
init_missing_cache	c2rust-runs/backend-access-common-heaptuple/src/heaptuple.rs:1222	—	MATCH	no	Subsumed cache machinery; see missing_hash.
getmissingattr	c2rust-runs/backend-access-common-heaptuple/src/heaptuple.rs:1259	crates/backend-access-common-heaptuple/src/lib.rs	MATCH	yes	1-based attnum; atthasmissing+am_present->(value,false) else (NULL,true); by-ref missing panics loudly (unported substrate); cache path is identity no-op.
heap_compute_data_size	c2rust-runs/backend-access-common-heaptuple/src/heaptuple.rs:1355	crates/backend-access-common-heaptuple/src/lib.rs	MATCH	no	Three arms in C order; COMPACT_ATTR_IS_PACKABLE fixed to include attlen==-1; EOH_get_flat_size callee SEAMED.
fill_val	c2rust-runs/backend-access-common-heaptuple/src/heaptuple.rs:1490	crates/backend-access-common-heaptuple/src/lib.rs	MATCH	no	Bitmask walk + all varlena arms in C order; EOH flatten/get_flat_size callees SEAMED; VARSIZE_EXTERNAL vartag_size fixed.
heap_fill_tuple	c2rust-runs/backend-access-common-heaptuple/src/heaptuple.rs:1660	crates/backend-access-common-heaptuple/src/lib.rs	MATCH	yes	bitP=&bit[-1] modeled via wrapping; infomask cleared/seeded equivalently at call sites; end-of-fill assert.
heap_attisnull	c2rust-runs/backend-access-common-heaptuple/src/heaptuple.rs:1710	crates/backend-access-common-heaptuple/src/lib.rs	MATCH	yes	NULL-tupledesc allowed; >natts missing predicate; NoNulls/att_isnull; sysattr -1..-6 never null; invalid attnum panics == elog.
nocachegetattr	c2rust-runs/backend-access-common-heaptuple/src/heaptuple.rs:1774	crates/backend-access-common-heaptuple/src/lib.rs	MATCH	yes	Restructured: deform-up-to-attr returns identical value; attcacheoff perf writes omitted crate-wide (pure cache).
heap_getsysattr	c2rust-runs/backend-access-common-heaptuple/src/heaptuple.rs:2007	crates/backend-access-common-heaptuple/src/lib.rs	MATCH	yes	isnull always false; ctid/xmin/xmax/cmin/cmax/tableoid arms; default panics == elog.
heap_copytuple	c2rust-runs/backend-access-common-heaptuple/src/heaptuple.rs:2075	crates/backend-access-common-heaptuple/src/lib.rs	MATCH	yes	invalid/t_data NULL -> None; else deep clone == single-chunk memcpy.
heap_copytuple_with_tuple	c2rust-runs/backend-access-common-heaptuple/src/heaptuple.rs:2095	crates/backend-access-common-heaptuple/src/lib.rs	MATCH	yes	invalid source -> t_data None; else len/self/tableOid/data copied.
expand_tuple	c2rust-runs/backend-access-common-heaptuple/src/heaptuple.rs:2113	crates/backend-access-common-heaptuple/src/lib.rs	MATCH	no	Full re-derivation; bit-cursor seed fixed (wrapping_sub for sourceNatts==0); by-ref missing values panic on unported substrate.
