function	c2rust_loc	our_loc	verdict	perfect_match(yes|no)	note
printtup_create_DR	c2rust-runs/backend-access-common-more/src/printtup.rs:2127	crates/backend-access-common-printtup/src/lib.rs:125	MATCH	yes	palloc0 + install receiveSlot/rStartup/rShutdown/rDestroy hooks (free fns in port) + mydest; sendDescrip = (dest==DestRemote); fields zeroed.
SetRemoteDestReceiverParams	c2rust-runs/backend-access-common-more/src/printtup.rs:2162	crates/backend-access-common-printtup/src/lib.rs:272	MATCH	yes	C stores portal into myState->portal; portal lives in PrinttupRuntime in the port; port keeps the mydest debug_assert. Behaviorally faithful (portal handoff to runtime).
printtup_startup	c2rust-runs/backend-access-common-more/src/printtup.rs:2169	crates/backend-access-common-printtup/src/lib.rs:282	MATCH	yes	initStringInfo (reusable, outside tmpcontext); tmpcontext AllocSet creation delegated to runtime (documented); sendDescrip -> SendRowDescriptionMessage(buf,typeinfo,tlist,formats).
SendRowDescriptionMessage	c2rust-runs/backend-access-common-more/src/printtup.rs:2196	crates/backend-access-common-printtup/src/lib.rs:313	MATCH	yes	pq_beginmessage(T)+sendint16(natts); per-attr getBaseTypeAndTypmod, resjunk-skip tlist walk, format from formats[]/0, send attname/resorigtbl/resorigcol/atttypid/attlen/atttypmod/format; endmessage. enlargeStringInfo pre-reserve is pure perf (omitted, documented).
printtup_prepare_info	c2rust-runs/backend-access-common-more/src/printtup.rs:2261	crates/backend-access-common-printtup/src/lib.rs:380	MATCH	yes	free old myinfo; set attrinfo=typeinfo identity, nattrs; numAttrs<=0 return; per-attr format 0->getTypeOutputInfo+fmgr_info, 1->getTypeBinaryOutputInfo+fmgr_info, else elog ERRCODE_INVALID_PARAMETER_VALUE "unsupported format code". Catalog/fmgr via runtime.
printtup	c2rust-runs/backend-access-common-more/src/printtup.rs:2350	crates/backend-access-common-printtup/src/lib.rs:429	MATCH	yes	re-derive attrinfo if descriptor identity or nattrs changed; slot_getallattrs; enter tmpcontext; beginmessage(D)+sendint16; per-attr null->-1 else text(sendcountedtext)/binary(sendint32 len + sendbytes VARDATA); endmessage; exit/reset tmpcontext; return true. Externals via runtime.
printtup_shutdown	c2rust-runs/backend-access-common-more/src/printtup.rs:2411	crates/backend-access-common-printtup/src/lib.rs:497	MATCH	yes	free myinfo; attrinfo=NULL; pfree buf.data + MemoryContextDelete tmpcontext delegated to runtime.shutdown_buffers.
printtup_destroy	c2rust-runs/backend-access-common-more/src/printtup.rs:2427	crates/backend-access-common-printtup/src/lib.rs:506	MATCH	yes	pfree(self) == consume-and-drop.
printatt	c2rust-runs/backend-access-common-more/src/printtup.rs:2430	crates/backend-access-common-printtup/src/lib.rs:513	MATCH	yes	Exact printf format "\t%2d: %s%s%s%s\t(typeid=%u,len=%d,typmod=%d,byval=%c)\n"; value None -> empty open/val/close; byval t/f. Latin-1 name rendering.
debugStartup	c2rust-runs/backend-access-common-more/src/printtup.rs:2466	crates/backend-access-common-printtup/src/lib.rs:553	MATCH	yes	per-attr printatt(i+1, att, NULL) then "\t----\n". Returns accumulated output instead of pg_printf-to-stdout (idiomatic; same bytes).
debugtup	c2rust-runs/backend-access-common-more/src/printtup.rs:2485	crates/backend-access-common-printtup/src/lib.rs:568	MATCH	yes	per-attr: skip null; getTypeOutputInfo + OidOutputFunctionCall -> printatt(i+1,att,value); "\t----\n"; return true. C slot_getattr-per-attr modeled as slot_getallattrs+value (same result). Externals via runtime.
