function	c2rust_loc	our_loc	verdict	perfect_match(yes|no)	note
index_open	backend-access-index-indexam/src/indexam.rs:2775	crates/backend-access-index-indexam/src/lib.rs:91	MATCH	yes	relation_open (seam) -> validate_relation_kind; mcx-allocated, PgResult. Also installed as inward seam.
try_index_open	backend-access-index-indexam/src/indexam.rs:2785	crates/backend-access-index-indexam/src/lib.rs:103	MATCH	yes	try_relation_open -> None on missing -> validate.
index_close	backend-access-index-indexam/src/indexam.rs:2798	crates/backend-access-index-indexam/src/lib.rs:123	MATCH	yes	RelationClose + conditional UnlockRelationId = Relation::close(lockmode); lock floor assert kept.
validate_relation_kind	backend-access-index-indexam/src/indexam.rs:2806	crates/backend-access-index-indexam/src/lib.rs:132	MATCH	yes	relkind != 'i' && != 'I' -> ERRCODE_WRONG_OBJECT_TYPE; constants verified vs pg_class.h.
index_insert	backend-access-index-indexam/src/indexam.rs:2851	crates/backend-access-index-indexam/src/lib.rs:147	MATCH	yes	RELATION_CHECKS; !ampredlocks -> CheckForSerializableConflictIn (seam); required aminsert.
index_insert_cleanup	backend-access-index-indexam/src/indexam.rs:2958	crates/backend-access-index-indexam/src/lib.rs:181	MATCH	yes	RELATION_CHECKS; optional aminsertcleanup.
index_beginscan	backend-access-index-indexam/src/indexam.rs:3013	crates/backend-access-index-indexam/src/lib.rs:199	MATCH	yes	internal + heap_relation/snapshot/instrument + table_index_fetch_begin (direct dep).
index_beginscan_bitmap	backend-access-index-indexam/src/indexam.rs:3037	crates/backend-access-index-indexam/src/lib.rs:227	MATCH	yes	internal(norderbys=0) + snapshot/instrument, no heap fetch.
index_beginscan_internal	backend-access-index-indexam/src/indexam.rs:3056	crates/backend-access-index-indexam/src/lib.rs:246	MATCH	yes	RELATION_CHECKS; !ampredlocks -> PredicateLockRelation (seam); RelationIncrementReferenceCount (seam); ambeginscan -> parallel_scan + xs_temp_snap.
index_rescan	backend-access-index-indexam/src/indexam.rs:3153	crates/backend-access-index-indexam/src/lib.rs:278	MATCH	yes	SCAN_CHECKS; amrescan required; nkeys/norderbys asserts; fetch_reset if heapfetch; kill/heap_continue reset.
index_endscan	backend-access-index-indexam/src/indexam.rs:3202	crates/backend-access-index-indexam/src/lib.rs:303	MATCH	yes	amendscan; fetch_end; RelationDecrementReferenceCount; temp_snap -> UnregisterSnapshot; IndexScanEnd = drop(Box).
index_markpos	backend-access-index-indexam/src/indexam.rs:3249	crates/backend-access-index-indexam/src/lib.rs:333	MATCH	yes	optional ammarkpos -> error if absent (CHECK_SCAN_PROCEDURE, ERRCODE_INTERNAL_ERROR).
index_restrpos	backend-access-index-indexam/src/indexam.rs:3287	crates/backend-access-index-indexam/src/lib.rs:342	MATCH	yes	IsMVCCSnapshot assert; optional amrestrpos; fetch_reset; kill/heap_continue reset.
index_parallelscan_estimate	backend-access-index-indexam/src/indexam.rs:3330	crates/backend-access-index-indexam/src/lib.rs:399	MATCH	yes	header offset + EstimateSnapshotSpace + MAXALIGN; instrument block; optional amestimateparallelscan; layout math verified.
index_parallelscan_initialize	backend-access-index-indexam/src/indexam.rs:3419	crates/backend-access-index-indexam/src/lib.rs:447	MATCH	yes	offset math; locators/offsets; SerializeSnapshot; instrument sharedinfo; optional aminitparallelscan.
index_parallelrescan	backend-access-index-indexam/src/indexam.rs:3528	crates/backend-access-index-indexam/src/lib.rs:504	MATCH	yes	SCAN_CHECKS; fetch_reset; optional amparallelrescan.
index_beginscan_parallel	backend-access-index-indexam/src/indexam.rs:3539	crates/backend-access-index-indexam/src/lib.rs:519	MATCH	yes	locator-equality asserts; RestoreSnapshot+RegisterSnapshot (seams); internal(pscan, temp=true); heap/snapshot/instrument + fetch_begin.
index_getnext_tid	backend-access-index-indexam/src/indexam.rs:3568	crates/backend-access-index-indexam/src/lib.rs:561	MATCH	yes	optional amgettuple; kill/heap_continue reset; !found -> fetch_reset + None; pgstat_count_index_tuples(1); RecentXmin debug-assert legitimately omitted (no ambient-global seam).
index_fetch_heap	backend-access-index-indexam/src/indexam.rs:3635	crates/backend-access-index-indexam/src/lib.rs:602	MATCH	yes	table_index_fetch_tuple (direct dep); pgstat_count_heap_fetch on found; !xactStartedInRecovery -> kill_prior_tuple = all_dead.
index_getnext_slot	backend-access-index-indexam/src/indexam.rs:3672	crates/backend-access-index-indexam/src/lib.rs:644	MATCH	yes	loop: when !xs_heap_continue fetch next TID, break on None; index_fetch_heap -> return on hit.
