function	c2rust_loc	our_loc	verdict	perfect_match(yes|no)	note
MemoryContextSwitchTo	xact.rs:1700	(inline shim)	MATCH	yes	c2rust-emitted mcx inline; ambient-context choreography dissolves per repo convention
FullTransactionIdFromEpochAndXid	xact.rs:1710	(inline shim)	MATCH	yes	transam.h inline; (epoch<<32)|xid packing identical
ReadNextTransactionId	xact.rs:1719	(varsup seam)	MATCH	yes	transam.h inline reading ShmemVariableCache->nextXid; reached via varsup seam
pgstat_report_wait_end	xact.rs:1776	(inline shim)	MATCH	yes	wait-event probe inline
IsTransactionState	xact.rs:1863	lib.rs:382	MATCH	yes	state==TRANS_INPROGRESS only
IsAbortedTransactionBlockState	xact.rs:1869	lib.rs:387	MATCH	yes	ABORT/SUBABORT
GetTopTransactionId	xact.rs:1881	lib.rs:396	MATCH	yes	assigns at stack[0]
GetTopTransactionIdIfAny	xact.rs:1888	lib.rs:404	MATCH	yes	faithful re-derivation, audited MATCH
GetCurrentTransactionId	xact.rs:1892	lib.rs:409	MATCH	yes	faithful re-derivation, audited MATCH
GetCurrentTransactionIdIfAny	xact.rs:1900	lib.rs:417	MATCH	yes	faithful re-derivation, audited MATCH
GetTopFullTransactionId	xact.rs:1904	lib.rs:422	MATCH	yes	faithful re-derivation, audited MATCH
GetTopFullTransactionIdIfAny	xact.rs:1911	lib.rs:430	MATCH	yes	faithful re-derivation, audited MATCH
GetCurrentFullTransactionId	xact.rs:1915	lib.rs:435	MATCH	yes	faithful re-derivation, audited MATCH
GetCurrentFullTransactionIdIfAny	xact.rs:1923	lib.rs:443	MATCH	yes	faithful re-derivation, audited MATCH
MarkCurrentTransactionIdLoggedIfAny	xact.rs:1927	lib.rs:448	MATCH	yes	faithful re-derivation, audited MATCH
IsSubxactTopXidLogPending	xact.rs:1935	lib.rs:457	MATCH	yes	same 5 predicates, same order; is_subxact == nestingLevel>=2
MarkSubxactTopXidLogged	xact.rs:1954	lib.rs:481	MATCH	yes	Assert -> debug_assert
