function	c2rust_loc	our_loc	verdict	perfect_match	note
DatumGetBool	xlog.rs:2437	-	MISSING	no	Foreign postgres.h inline; absorbed at call sites, not separately ported.
FullTransactionIdFromEpochAndXid	xlog.rs:2455	-	MISSING	no	Foreign transam.h inline; absorbed elsewhere.
FullTransactionIdRetreat	xlog.rs:2464	-	MISSING	no	Foreign transam.h inline; absorbed elsewhere.
pg_atomic_compare_exchange_u64_impl	xlog.rs:2545	-	MISSING	no	Foreign atomics inline; Atomic types used directly.
pg_atomic_exchange_u64_impl	xlog.rs:2555	-	MISSING	no	Foreign atomics inline.
pg_atomic_fetch_add_u64_impl	xlog.rs:2562	-	MISSING	no	Foreign atomics inline.
pg_atomic_write_u64_impl	xlog.rs:2569	-	MISSING	no	Foreign atomics inline.
pg_atomic_read_u64_impl	xlog.rs:2576	-	MISSING	no	Foreign atomics inline.
pg_atomic_init_u64_impl	xlog.rs:2580	-	MISSING	no	Foreign atomics inline.
pg_atomic_read_membarrier_u64_impl	xlog.rs:2587	-	MISSING	no	Foreign atomics inline.
pg_atomic_write_membarrier_u64_impl	xlog.rs:2593	-	MISSING	no	Foreign atomics inline.
c2rust_pg_atomic_memory_barrier	xlog.rs:2600	-	MISSING	no	atomics.h barrier shim, not xlog.c logic.
pg_atomic_init_u64	xlog.rs:2604	-	MISSING	no	Foreign atomics inline.
pg_atomic_read_u64	xlog.rs:2611	-	MISSING	no	Foreign atomics inline.
pg_atomic_read_membarrier_u64	xlog.rs:2615	-	MISSING	no	Foreign atomics inline.
pg_atomic_write_u64	xlog.rs:2621	-	MISSING	no	Foreign atomics inline.
pg_atomic_write_membarrier_u64	xlog.rs:2628	-	MISSING	no	Foreign atomics inline.
pg_atomic_compare_exchange_u64	xlog.rs:2635	-	MISSING	no	Foreign atomics inline.
pg_atomic_fetch_add_u64	xlog.rs:2643	-	MISSING	no	Foreign atomics inline.
pg_atomic_monotonic_advance_u64	xlog.rs:2650	-	MISSING	no	Foreign atomics inline.
tas	xlog.rs:2668	-	MISSING	no	Foreign s_lock.h inline (spinlock test-and-set); owned by storage spinlock substrate.
XLogFileName	xlog.rs:2703	lib.rs:361	MATCH	yes	xlog_internal.h codec macro; tli/segno/segsz hex format. Audit-confirmed.
IsXLogFileName	xlog.rs:2725	lib.rs:376	MATCH	yes	xlog_internal.h predicate; 24 hex chars. Audit-confirmed.
IsPartialXLogFileName	xlog.rs:2733	lib.rs:381	MATCH	yes	xlog_internal.h predicate; .partial suffix. Audit-confirmed.
XLogFromFileName	xlog.rs:2751	lib.rs:388	MATCH	yes	xlog_internal.h codec; hex parse to (tli,segno). Audit-confirmed.
XLogFilePath	xlog.rs:2771	lib.rs:402	MATCH	yes	xlog_internal.h codec; pg_wal/<name> path. Audit-confirmed.
BackupHistoryFileName	xlog.rs:2793	lib.rs:429	MATCH	yes	xlog_internal.h codec; name.offset.backup. Audit-confirmed.
IsBackupHistoryFileName	xlog.rs:2818	lib.rs:445	MATCH	yes	xlog_internal.h predicate. Audit-confirmed.
BackupHistoryFilePath	xlog.rs:2837	lib.rs:452	MATCH	yes	xlog_internal.h codec. Audit-confirmed.
RmgrIdExists	xlog.rs:2862	-	MISSING	no	Foreign rmgr.h inline; owned by rmgr unit, not re-ported here.
GetRmgr	xlog.rs:2868	-	MISSING	no	Foreign rmgr.h inline; owned by rmgr unit.
pgstat_report_wait_start	xlog.rs:2895	-	MISSING	no	Foreign wait_event.h inline; pgstat owner.
pgstat_report_wait_end	xlog.rs:2899	-	MISSING	no	Foreign wait_event.h inline; pgstat owner.
WalSndWakeupProcessRequests	xlog.rs:2903	-	MISSING	no	Foreign walsender.h inline; walsender owner.
set_ps_display	xlog.rs:2928	-	MISSING	no	Foreign ps_status.h inline; ps_status owner.
c2rust_pg_memory_barrier	xlog.rs:2932	-	MISSING	no	atomics.h barrier shim, not xlog.c logic.
c2rust_pg_read_barrier	xlog.rs:2936	-	MISSING	no	atomics.h barrier shim, not xlog.c logic.
c2rust_pg_write_barrier	xlog.rs:2940	-	MISSING	no	atomics.h barrier shim, not xlog.c logic.
XLogInsertRecord	xlog.rs:3150	lib.rs:512-649	SEAMED	no	WAL-insert engine; deferred behind xlog-driver debt (shmem/spinlock/reader substrate). Panics loudly. Audit DEFERRED.
ReserveXLogInsertLocation	xlog.rs:3361	lib.rs:512-649	SEAMED	no	WAL-insert engine; deferred (shmem/spinlock). Audit DEFERRED.
ReserveXLogSwitch	xlog.rs:3394	lib.rs:512-649	SEAMED	no	WAL-insert engine; deferred. Audit DEFERRED.
CopyXLogRecordToWAL	xlog.rs:3446	lib.rs:512-649	SEAMED	no	WAL-insert engine; deferred (GetXLogBuffer substrate). Audit DEFERRED.
