function	c2rust_loc	our_loc	verdict	perfect_match(yes|no)	note
MemoryContextSwitchTo	backend-catalog-namespace/src/namespace.rs:1892	-	MISSING	no	c2rust-inlined mcx macro; subsumed by Mcx model
BoolGetDatum	backend-catalog-namespace/src/namespace.rs:1898	-	MISSING	no	c2rust-inlined Datum macro; Datum-layer deferral
Int32GetDatum	backend-catalog-namespace/src/namespace.rs:1906	-	MISSING	no	c2rust-inlined Datum macro; Datum-layer deferral
DatumGetObjectId	backend-catalog-namespace/src/namespace.rs:1910	-	MISSING	no	c2rust-inlined Datum macro; Datum-layer deferral
ObjectIdGetDatum	backend-catalog-namespace/src/namespace.rs:1914	-	MISSING	no	c2rust-inlined Datum macro; Datum-layer deferral
DatumGetPointer	backend-catalog-namespace/src/namespace.rs:1918	-	MISSING	no	c2rust-inlined Datum macro; Datum-layer deferral
PointerGetDatum	backend-catalog-namespace/src/namespace.rs:1922	-	MISSING	no	c2rust-inlined Datum macro; Datum-layer deferral
CStringGetDatum	backend-catalog-namespace/src/namespace.rs:1926	-	MISSING	no	c2rust-inlined Datum macro; Datum-layer deferral
list_head	backend-catalog-namespace/src/namespace.rs:1931	-	MISSING	no	c2rust-inlined List accessor macro; subsumed by Vec/slice model
list_length	backend-catalog-namespace/src/namespace.rs:1939	-	MISSING	no	c2rust-inlined List accessor macro; subsumed by Vec/slice model
list_nth_cell	backend-catalog-namespace/src/namespace.rs:1943	-	MISSING	no	c2rust-inlined List accessor macro; subsumed by Vec/slice model
lnext	backend-catalog-namespace/src/namespace.rs:1950	-	MISSING	no	c2rust-inlined List accessor macro; subsumed by Vec/slice model
GETSTRUCT	backend-catalog-namespace/src/namespace.rs:1961	-	MISSING	no	c2rust-inlined macro; subsumed by typed catalog rows
fasthash_init	backend-catalog-namespace/src/namespace.rs:1996	-	MISSING	no	simplehash/fasthash internal; search-path cache modeled by std HashMap, hashing internal
fasthash_mix	backend-catalog-namespace/src/namespace.rs:2005	-	MISSING	no	fasthash internal; HashMap hashing folds this away
fasthash_combine	backend-catalog-namespace/src/namespace.rs:2012	-	MISSING	no	fasthash internal; HashMap hashing folds this away
fasthash_accum	backend-catalog-namespace/src/namespace.rs:2017	-	MISSING	no	fasthash internal; HashMap hashing folds this away
fasthash_accum_cstring_unaligned	backend-catalog-namespace/src/namespace.rs:2108	-	MISSING	no	fasthash internal; HashMap hashing folds this away
fasthash_accum_cstring_aligned	backend-catalog-namespace/src/namespace.rs:2126	-	MISSING	no	fasthash internal; HashMap hashing folds this away
fasthash_accum_cstring	backend-catalog-namespace/src/namespace.rs:2149	-	MISSING	no	fasthash internal; HashMap hashing folds this away
fasthash_final64	backend-catalog-namespace/src/namespace.rs:2163	-	MISSING	no	fasthash internal; HashMap hashing folds this away
fasthash_reduce32	backend-catalog-namespace/src/namespace.rs:2170	-	MISSING	no	fasthash internal; HashMap hashing folds this away
fasthash_final32	backend-catalog-namespace/src/namespace.rs:2174	-	MISSING	no	fasthash internal; HashMap hashing folds this away
pg_leftmost_one_pos64	backend-catalog-namespace/src/namespace.rs:2181	-	MISSING	no	bit util used by simplehash sizing; HashMap manages its own capacity
pg_nextpower2_64	backend-catalog-namespace/src/namespace.rs:2186	-	MISSING	no	simplehash sizing util; HashMap manages its own capacity
nsphash_compute_size	backend-catalog-namespace/src/namespace.rs:2198	-	MISSING	no	simplehash internal; search-path cache modeled by std HashMap
nsphash_update_parameters	backend-catalog-namespace/src/namespace.rs:2237	-	MISSING	no	simplehash internal; HashMap manages its own params
nsphash_initial_bucket	backend-catalog-namespace/src/namespace.rs:2253	-	MISSING	no	simplehash internal; HashMap bucketing internal
nsphash_next	backend-catalog-namespace/src/namespace.rs:2260	-	MISSING	no	simplehash internal; HashMap probing internal
nsphash_prev	backend-catalog-namespace/src/namespace.rs:2269	-	MISSING	no	simplehash internal; HashMap probing internal
nsphash_distance	backend-catalog-namespace/src/namespace.rs:2278	-	MISSING	no	simplehash internal; HashMap probing internal
nsphash_entry_hash	backend-catalog-namespace/src/namespace.rs:2291	-	MISSING	no	simplehash internal; HashMap hashing internal
nsphash_allocate	backend-catalog-namespace/src/namespace.rs:2298	-	MISSING	no	simplehash internal; HashMap allocation internal
nsphash_free	backend-catalog-namespace/src/namespace.rs:2309	-	MISSING	no	simplehash internal; HashMap drop internal
nsphash_create	backend-catalog-namespace/src/namespace.rs:2316	-	MISSING	no	simplehash internal; HashMap::new in spcache_init
nsphash_grow	backend-catalog-namespace/src/namespace.rs:2345	-	MISSING	no	simplehash internal; HashMap auto-grows
nsphash_insert_hash_internal	backend-catalog-namespace/src/namespace.rs:2425	-	MISSING	no	simplehash internal; HashMap insert internal
nsphash_insert	backend-catalog-namespace/src/namespace.rs:2583	-	MISSING	no	simplehash internal; reached via spcache_insert -> HashMap insert
nsphash_lookup_hash_internal	backend-catalog-namespace/src/namespace.rs:2592	-	MISSING	no	simplehash internal; HashMap lookup internal
nsphash_lookup	backend-catalog-namespace/src/namespace.rs:2614	-	MISSING	no	simplehash internal; reached via spcache_lookup -> HashMap get
spcachekey_hash	backend-catalog-namespace/src/namespace.rs:2642	backend-catalog-namespace/src/lib.rs:derived-Hash	MATCH	yes	fasthash replaced by std HashMap hashing of (String,Oid); hash value is map-internal, equality semantics are what matter
