function	c2rust_loc	our_loc	verdict	perfect_match	note
cluster	cluster.rs:3587	lib.rs (cluster)	MATCH	yes	option-parse loop; single/multi-rel split; AccessExclusiveLock; OTHER_TEMP reject; index lookup; partitioned branch; PreventInTransactionBlock; RECHECK bits; cluster_context=mcx
cluster_multiple_rels	cluster.rs:3876	lib.rs (cluster_multiple_rels)	MATCH	yes	PopActiveSnapshot+Commit; per-rel Start/PushSnapshot/table_open(AccessExclusiveLock)/cluster_rel/Pop/Commit
cluster_rel	cluster.rs:3907	lib.rs (cluster_rel+cluster_rel_body)	MATCH	yes	goto out modeled as body fn + unconditional cleanup on Ok/Err; recheck legs; rejects; CheckTableNotInUse; rebuild_relation; SECURITY_RESTRICTED_OPERATION=0x0002
check_index_is_clusterable	cluster.rs:4134	lib.rs (check_index_is_clusterable)	MATCH	yes	rd_index NULL/wrong indrelid WRONG_OBJECT_TYPE; amclusterable; indpred; indisvalid FEATURE_NOT_SUPPORTED; index_close(NoLock)
mark_index_clustered	cluster.rs:4319	lib.rs (mark_index_clustered)	MATCH	yes	partitioned reject; already-clustered short-circuit; per-index deform/clear-or-set/reform/CatalogTupleUpdate; invalid-index elog; post-alter hook
rebuild_relation	cluster.rs:4478	lib.rs (rebuild_relation)	MATCH	yes	mark_index_clustered; remember relpersistence/is_system_catalog; make_new_heap; copy_table_data; finish_heap_swap(check_constraints=false, is_internal=true)
make_new_heap	cluster.rs:4533	lib.rs (make_new_heap)	MATCH	yes	reloptions; pg_temp vs same namespace; pg_temp_%u name; heap create; CCI; TOAST create if reltoastrelid valid; 20-arg heap_create_with_catalog -> fixed-arg transient seam (constant args)
copy_table_data	cluster.rs:4682	lib.rs (copy_table_data)	MATCH	yes	toast lock-to-EOXact; swap-by-content rd_toastoid; vacuum_get_cutoffs clamp; use_sort BTREE_AM_OID only; 3 log branches; AM copy; relpages/reltuples; self-update suppress; CCI; real PgRUsage by value
swap_relation_files	cluster.rs:4973	lib.rs (swap_relation_files)	MATCH	yes	non-mapped swap relfilenode/reltablespace/relam/relpersistence(+toast if !by_content); mapped backstop elogs; relfilelocator subid block (seam); frozenxid/minmxid; stats swap; changeDependencyFor!=1 elogs; hooks; toast recursion
finish_heap_swap	cluster.rs:5675	lib.rs (finish_heap_swap)	MATCH	yes	progress phases 5/6/7; swap_relation_files(target_is_pg_class=OIDOldHeap==1259); CacheInvalidateCatalog; reindex_flags; reindex_relation; pg_class fixup; performDeletion(DROP_RESTRICT, INTERNAL=0x0001); mapped removal; toast rename+ResetRelRewrite; RelationClearMissing
get_tables_to_cluster	cluster.rs:5843	lib.rs (get_tables_to_cluster)	MATCH	yes	indisclustered scan batched into scan_indisclustered seam; per-row aclcheck+push in-crate; List in mcx
get_tables_to_cluster_partitioned	cluster.rs:5902	lib.rs (get_tables_to_cluster_partitioned)	MATCH	yes	find_all_inheritors(NoLock); IndexGetRelation; RELKIND_INDEX leaf filter; per-leaf aclcheck; push
cluster_is_permitted_for_relation	cluster.rs:5945	lib.rs (cluster_is_permitted_for_relation)	MATCH	yes	pg_class_aclcheck(ACL_MAINTAIN)==OK->true; else WARNING skipping->false
