function	c2rust_loc	our_loc	verdict	perfect_match(yes|no)	note
MemoryContextSwitchTo	execTuples.rs:1876	owned-mcx model	MATCH	yes	header inline
CharGetDatum	execTuples.rs:1882	types-core	MATCH	yes	header inline; postgres.h
Int16GetDatum	execTuples.rs:1886	types-core	MATCH	yes	header inline; postgres.h
Int32GetDatum	execTuples.rs:1890	types-core	MATCH	yes	header inline; postgres.h
DatumGetPointer	execTuples.rs:1894	types-core	MATCH	yes	header inline; postgres.h
PointerGetDatum	execTuples.rs:1898	types-core	MATCH	yes	header inline; postgres.h
BlockIdSet	execTuples.rs:1904	types-tuple	MATCH	yes	header inline; block.h
ItemPointerSetInvalid	execTuples.rs:1913	types-tuple	MATCH	yes	header inline; itemptr.h
list_length	execTuples.rs:1919	types-nodes/pg_list	MATCH	yes	header inline; pg_list.h
TupleDescAttr	execTuples.rs:1923	types-tuple	MATCH	yes	header inline; tupdesc.h
TupleDescCompactAttr	execTuples.rs:1940	types-tuple	MATCH	yes	header inline; tupdesc.h
att_isnull	execTuples.rs:1950	types-tuple	MATCH	yes	header inline; tupmacs.h
fetch_att	execTuples.rs:1958	types-tuple	MATCH	yes	header inline; tupmacs.h
HeapTupleHeaderGetRawXmin	execTuples.rs:2009	types-tuple	MATCH	yes	header inline; htup_details.h
HeapTupleHeaderGetDatumLength	execTuples.rs:2015	types-tuple	MATCH	yes	header inline; htup_details.h
HeapTupleHeaderGetTypeId	execTuples.rs:2022	types-tuple	MATCH	yes	header inline; htup_details.h
HeapTupleHeaderGetTypMod	execTuples.rs:2028	types-tuple	MATCH	yes	header inline; htup_details.h
HeapTupleHasNulls	execTuples.rs:2038	types-tuple	MATCH	yes	header inline; htup_details.h
slot_getsomeattrs	execTuples.rs:2052	slot_deform.rs	MATCH	yes	header inline; tuptable.h dispatch
slot_getallattrs	execTuples.rs:2061	slot_deform.rs	MATCH	yes	header inline; tuptable.h dispatch
ExecClearTuple	execTuples.rs:2065	slot_store_fetch.rs	MATCH	yes	tuptable.h inline; ops->clear dispatch
ExecMaterializeSlot	execTuples.rs:2072	slot_store_fetch.rs	MATCH	yes	tuptable.h inline; ops->materialize dispatch
