function	c2rust_loc	our_loc	verdict	perfect_match(yes|no)	note
pq_writeint32	c2rust-runs/backend-libpq-pqformat/src/pqformat.rs:149	crates/backend-libpq-pqformat/src/lib.rs:232	MATCH	yes	pqformat.h inline; pg_hton32=to_be_bytes (cross-checked vs c2rust swap_bytes on LE)
pq_writeint64	c2rust-runs/backend-libpq-pqformat/src/pqformat.rs:161	crates/backend-libpq-pqformat/src/lib.rs:237	MATCH	yes	pqformat.h inline; pg_hton64=to_be_bytes
pq_sendint32	c2rust-runs/backend-libpq-pqformat/src/pqformat.rs:173	crates/backend-libpq-pqformat/src/lib.rs:259	MATCH	yes	pqformat.h inline; enlarge+write = fallible append
pq_sendint64	c2rust-runs/backend-libpq-pqformat/src/pqformat.rs:178	crates/backend-libpq-pqformat/src/lib.rs:264	MATCH	yes	pqformat.h inline; enlarge+write = fallible append
pq_beginmessage	c2rust-runs/backend-libpq-pqformat/src/pqformat.rs:183	crates/backend-libpq-pqformat/src/lib.rs:99	MATCH	yes	initStringInfo (1024 prealloc, len 0) then cursor=msgtype
pq_beginmessage_reuse	c2rust-runs/backend-libpq-pqformat/src/pqformat.rs:191	crates/backend-libpq-pqformat/src/lib.rs:107	MATCH	yes	resetStringInfo then stash msgtype in cursor
pq_sendbytes	c2rust-runs/backend-libpq-pqformat/src/pqformat.rs:199	crates/backend-libpq-pqformat/src/lib.rs:113	MATCH	yes	appendBinaryStringInfo -> append_binary
pq_sendcountedtext	c2rust-runs/backend-libpq-pqformat/src/pqformat.rs:207	crates/backend-libpq-pqformat/src/lib.rs:120	MATCH	yes	int32 count (excludes itself) then body; both conv/unconv branches verified
pq_sendtext	c2rust-runs/backend-libpq-pqformat/src/pqformat.rs:225	crates/backend-libpq-pqformat/src/lib.rs:140	MATCH	yes	same two branches, no count, no NUL
pq_sendstring	c2rust-runs/backend-libpq-pqformat/src/pqformat.rs:241	crates/backend-libpq-pqformat/src/lib.rs:153	MATCH	yes	appends string + NUL; cap-fire equivalence proven exact in audit
pq_send_ascii_string	c2rust-runs/backend-libpq-pqformat/src/pqformat.rs:265	crates/backend-libpq-pqformat/src/lib.rs:171	MATCH	yes	IS_HIGHBIT_SET -> '?'; per-char append; trailing NUL
pq_sendfloat4	c2rust-runs/backend-libpq-pqformat/src/pqformat.rs:288	crates/backend-libpq-pqformat/src/lib.rs:183	MATCH	yes	union pun = f32::to_bits then pq_sendint32
