function	c2rust_loc	our_loc	verdict	perfect_match(yes|no)	note
list_head	c2rust-runs/backend-optimizer-path-joinpath/src/joinpath.rs:3081	crates/backend-optimizer-path-joinpath/src/lib.rs	MATCH	yes	pg_list.h inline; realized as native list/slice access at call sites (no standalone fn), behavior-identical
list_length	c2rust-runs/backend-optimizer-path-joinpath/src/joinpath.rs:3089	crates/backend-optimizer-path-joinpath/src/lib.rs	MATCH	yes	pg_list.h inline; realized as native len() on list at call sites, behavior-identical
list_nth_cell	c2rust-runs/backend-optimizer-path-joinpath/src/joinpath.rs:3093	crates/backend-optimizer-path-joinpath/src/lib.rs	MATCH	yes	pg_list.h inline; realized as native indexing at call sites, behavior-identical
clause_sides_match_join	c2rust-runs/backend-optimizer-path-joinpath/src/joinpath.rs:3102	crates/backend-optimizer-path-joinpath/src/lib.rs:417	SEAMED	no	restrictinfo.h inline; delegated via jp::clause_sides_match_join::call to (unported) restrictinfo.c owner (also sets outer_is_left)
add_paths_to_joinrel	c2rust-runs/backend-optimizer-path-joinpath/src/joinpath.rs:3135	crates/backend-optimizer-path-joinpath/src/lib.rs:188	MATCH	yes	OTHER_JOINREL branch, inner_unique switch, mergeclause/semifactors gates, param_source_rels loop, lateral add, steps 1/2/4/5/6; step3 NOT_USED omitted
allow_star_schema_join	c2rust-runs/backend-optimizer-path-joinpath/src/joinpath.rs:3334	crates/backend-optimizer-path-joinpath/src/lib.rs:344	MATCH	yes	inline; bms_overlap && bms_nonempty_difference; root arg unused as in C
paraminfo_get_equal_hashops	c2rust-runs/backend-optimizer-path-joinpath/src/joinpath.rs:3348	crates/backend-optimizer-path-joinpath/src/lib.rs:394	MATCH	yes	ppi_clauses loop, OpExpr-2-arg, outer_is_left hasheq, InvalidOid bail, dedup, lateral_vars merge, volatile/hash+eq bail, binary_mode; None on reject
extract_lateral_vars_from_PHVs	c2rust-runs/backend-optimizer-path-joinpath/src/joinpath.rs:3460	crates/backend-optimizer-path-joinpath/src/lib.rs:498	MATCH	yes	hasLateralRTEs/BMS_MULTIPLE early-outs; per-PHV skips; pull_vars_of_level(0) with Var/PHV filters
get_memoize_path	c2rust-runs/backend-optimizer-path-joinpath/src/joinpath.rs:3563	crates/backend-optimizer-path-joinpath/src/lib.rs:572	MATCH	yes	enable_memoize/rows<2/cache-key/SEMI-ANTI/inner_unique-subset/volatile gates; hashops_outerrel top_parent fallback; singlerow/calls
try_nestloop_path	c2rust-runs/backend-optimizer-path-joinpath/src/joinpath.rs:3696	crates/backend-optimizer-path-joinpath/src/lib.rs:698	MATCH	yes	ojrelid bail; top_parent fallback; calc_nestloop_required_outer + star-schema override; reparam gate; precheck->create+add_path
try_partial_nestloop_path	c2rust-runs/backend-optimizer-path-joinpath/src/joinpath.rs:3821	crates/backend-optimizer-path-joinpath/src/lib.rs:801	MATCH	yes	asserts; inner-paramrels subset gate; reparam gate; cost+partial precheck->create(NULL)+add_partial_path
try_mergejoin_path	c2rust-runs/backend-optimizer-path-joinpath/src/joinpath.rs:3906	crates/backend-optimizer-path-joinpath/src/lib.rs:877	MATCH	yes	is_partial delegate; ojrelid bail; required_outer gate; outersort/innersort count_contained shortcut; cost+precheck->create+add_path
try_partial_mergejoin_path	c2rust-runs/backend-optimizer-path-joinpath/src/joinpath.rs:4039	crates/backend-optimizer-path-joinpath/src/lib.rs:993	MATCH	yes	asserts+inner-req_outer bail; sort-key shortcut; partial precheck->create(NULL)+add_partial_path
try_hashjoin_path	c2rust-runs/backend-optimizer-path-joinpath/src/joinpath.rs:4131	crates/backend-optimizer-path-joinpath/src/lib.rs:1077	MATCH	yes	ojrelid bail; required_outer gate; cost(parallel_hash=false); precheck NIL pathkeys->create(false)+add_path
try_partial_hashjoin_path	c2rust-runs/backend-optimizer-path-joinpath/src/joinpath.rs:4224	crates/backend-optimizer-path-joinpath/src/lib.rs:1149	MATCH	yes	asserts+inner-req_outer bail; cost(parallel_hash)+partial precheck NIL->create(NULL)+add_partial_path
sort_inner_and_outer	c2rust-runs/backend-optimizer-path-joinpath/src/joinpath.rs:4293	crates/backend-optimizer-path-joinpath/src/lib.rs:1207	MATCH	yes	empty-mergeclause early-out; cheapest in/out; cross-param bail; UNIQUE unique-ify; partial-merge 5 guards; per-pathkey front-first reorder; try_merge + conditional partial
generate_mergejoin_paths	c2rust-runs/backend-optimizer-path-joinpath/src/joinpath.rs:4458	crates/backend-optimizer-path-joinpath/src/lib.rs:1351	MATCH	yes	UNIQUE->INNER; find_mergeclauses; FULL-clauseless corner; useallclauses gate; sortkeycnt truncation loop total/startup branches; always-clone trialsortkeys observationally identical
