function	c2rust_loc	our_loc	verdict	perfect_match	note
isascii	regcomp.rs:590	-	SEAMED	no	libc ctype inline shim emitted by c2rust; real ctype/locale logic routed through pg-locale seam (regex_locale)
__istype_l	regcomp.rs:595	-	SEAMED	no	libc ctype inline shim emitted by c2rust; real ctype/locale logic routed through pg-locale seam (regex_locale)
__toupper_l	regcomp.rs:607	-	SEAMED	no	libc ctype inline shim emitted by c2rust; real ctype/locale logic routed through pg-locale seam (regex_locale)
__tolower_l	regcomp.rs:618	-	SEAMED	no	libc ctype inline shim emitted by c2rust; real ctype/locale logic routed through pg-locale seam (regex_locale)
isalnum_l	regcomp.rs:629	-	SEAMED	no	libc ctype inline shim emitted by c2rust; real ctype/locale logic routed through pg-locale seam (regex_locale)
isalpha_l	regcomp.rs:640	-	SEAMED	no	libc ctype inline shim emitted by c2rust; real ctype/locale logic routed through pg-locale seam (regex_locale)
isdigit_l	regcomp.rs:647	-	SEAMED	no	libc ctype inline shim emitted by c2rust; real ctype/locale logic routed through pg-locale seam (regex_locale)
isgraph_l	regcomp.rs:654	-	SEAMED	no	libc ctype inline shim emitted by c2rust; real ctype/locale logic routed through pg-locale seam (regex_locale)
islower_l	regcomp.rs:661	-	SEAMED	no	libc ctype inline shim emitted by c2rust; real ctype/locale logic routed through pg-locale seam (regex_locale)
isprint_l	regcomp.rs:668	-	SEAMED	no	libc ctype inline shim emitted by c2rust; real ctype/locale logic routed through pg-locale seam (regex_locale)
ispunct_l	regcomp.rs:675	-	SEAMED	no	libc ctype inline shim emitted by c2rust; real ctype/locale logic routed through pg-locale seam (regex_locale)
isspace_l	regcomp.rs:682	-	SEAMED	no	libc ctype inline shim emitted by c2rust; real ctype/locale logic routed through pg-locale seam (regex_locale)
isupper_l	regcomp.rs:689	-	SEAMED	no	libc ctype inline shim emitted by c2rust; real ctype/locale logic routed through pg-locale seam (regex_locale)
tolower_l	regcomp.rs:696	-	SEAMED	no	libc ctype inline shim emitted by c2rust; real ctype/locale logic routed through pg-locale seam (regex_locale)
toupper_l	regcomp.rs:703	-	SEAMED	no	libc ctype inline shim emitted by c2rust; real ctype/locale logic routed through pg-locale seam (regex_locale)
iswalnum_l	regcomp.rs:715	-	SEAMED	no	libc ctype inline shim emitted by c2rust; real ctype/locale logic routed through pg-locale seam (regex_locale)
iswalpha_l	regcomp.rs:726	-	SEAMED	no	libc ctype inline shim emitted by c2rust; real ctype/locale logic routed through pg-locale seam (regex_locale)
iswdigit_l	regcomp.rs:733	-	SEAMED	no	libc ctype inline shim emitted by c2rust; real ctype/locale logic routed through pg-locale seam (regex_locale)
iswgraph_l	regcomp.rs:740	-	SEAMED	no	libc ctype inline shim emitted by c2rust; real ctype/locale logic routed through pg-locale seam (regex_locale)
iswlower_l	regcomp.rs:747	-	SEAMED	no	libc ctype inline shim emitted by c2rust; real ctype/locale logic routed through pg-locale seam (regex_locale)
iswprint_l	regcomp.rs:754	-	SEAMED	no	libc ctype inline shim emitted by c2rust; real ctype/locale logic routed through pg-locale seam (regex_locale)
iswpunct_l	regcomp.rs:761	-	SEAMED	no	libc ctype inline shim emitted by c2rust; real ctype/locale logic routed through pg-locale seam (regex_locale)
iswspace_l	regcomp.rs:768	-	SEAMED	no	libc ctype inline shim emitted by c2rust; real ctype/locale logic routed through pg-locale seam (regex_locale)
iswupper_l	regcomp.rs:775	-	SEAMED	no	libc ctype inline shim emitted by c2rust; real ctype/locale logic routed through pg-locale seam (regex_locale)
towlower_l	regcomp.rs:782	-	SEAMED	no	libc ctype inline shim emitted by c2rust; real ctype/locale logic routed through pg-locale seam (regex_locale)
towupper_l	regcomp.rs:786	-	SEAMED	no	libc ctype inline shim emitted by c2rust; real ctype/locale logic routed through pg-locale seam (regex_locale)
pg_regcomp	regcomp.rs:882	regex_compile.rs:3222	MATCH	yes	audit PASS: all-MATCH; same-named port fn
moresubs	regcomp.rs:1080	regex_compile.rs:1495	MATCH	yes	audit PASS: all-MATCH; same-named port fn
freev	regcomp.rs:1119	-	MATCH	yes	pg_regcomp error/cleanup path subsumed by RegResult propagation + Drop (idiomatic Drop)
makesearch	regcomp.rs:1151	regex_compile.rs:3024	MATCH	yes	audit PASS: all-MATCH; same-named port fn
