function	c2rust_loc	our_loc	verdict	perfect_match(yes|no)	note
DatumGetBool	origin.rs:2678	(inlined)	MATCH	yes	c2rust inlined header macro; folded into callers
BoolGetDatum	origin.rs:2682	(inlined)	MATCH	yes	c2rust inlined header macro; folded into callers
ObjectIdGetDatum	origin.rs:2690	(inlined)	MATCH	yes	c2rust inlined header macro; folded into callers
DatumGetPointer	origin.rs:2694	(inlined)	MATCH	yes	c2rust inlined header macro; folded into callers
PointerGetDatum	origin.rs:2698	(inlined)	MATCH	yes	c2rust inlined header macro; folded into callers
DatumGetInt64	origin.rs:2702	(inlined)	MATCH	yes	c2rust inlined header macro; folded into callers
Int64GetDatum	origin.rs:2706	(inlined)	MATCH	yes	c2rust inlined header macro; folded into callers
GETSTRUCT	origin.rs:2716	(inlined)	MATCH	yes	c2rust inlined header macro; folded into callers
DatumGetTimestampTz	origin.rs:2735	(inlined)	MATCH	yes	c2rust inlined header macro; folded into callers
DatumGetLSN	origin.rs:2751	(inlined)	MATCH	yes	c2rust inlined header macro; folded into callers
LSNGetDatum	origin.rs:2755	(inlined)	MATCH	yes	c2rust inlined header macro; folded into callers
replorigin_check_prerequisites	origin.rs:2779	lib.rs:194	MATCH	yes	both ereports; max==0 + !recoveryOK&&RecoveryInProgress; RecoveryInProgress seamed
IsReservedOriginName	origin.rs:2868	lib.rs:170	MATCH	yes	pg_strcasecmp vs two literals; ASCII case-insensitive
replorigin_by_name	origin.rs:2875	lib.rs:217	SEAMED	no	syscache_roident_by_name seam; missing+!ok->ERRCODE_UNDEFINED_OBJECT; InvalidOid when missing_ok
replorigin_create	origin.rs:2935	lib.rs:238	SEAMED	no	>512->ERRCODE_PROGRAM_LIMIT_EXCEEDED; dirty-snapshot free-id scan+insert+CCI via create_catalog_insert seam
replorigin_state_clear	origin.rs:3126	lib.rs:270	MATCH	yes	goto restart->loop; busy+nowait->ERRCODE_OBJECT_IN_USE; busy+wait->CV sleep; WAL-drop seam
