function	c2rust_loc	our_loc	verdict	perfect_match(yes|no)	note
list_length	slot.rs:1478	(inline)	MATCH	yes	c2rust-inlined pg_list.h helper; realized via existing List infra
pgstat_report_wait_start	slot.rs:1482	(inline)	MATCH	yes	c2rust-inlined wait_event.h inline; realized via waitevent owner
pgstat_report_wait_end	slot.rs:1486	(inline)	MATCH	yes	c2rust-inlined wait_event.h inline; realized via waitevent owner
tas	slot.rs:1490	(inline)	MATCH	yes	c2rust-inlined s_lock.h test-and-set; realized via Spinlock infra
ReplicationSlotSetInactiveSince	slot.rs:1498	lib.rs:306	MATCH	yes	slot.h inline realized as real fn; acquire_lock ? control-lock-guarded write : direct write of inactive_since
ReplicationSlotsShmemSize	slot.rs:1574	lib.rs:363	MATCH	yes	max_replication_slots guard; offsetof+mul_size+add_size; matches add/mul Size discipline
ReplicationSlotsShmemInit	slot.rs:1590	lib.rs:377	MATCH	yes	ShmemInitStruct; !found zero + per-slot ConditionVariableInit + LWLockInitialize(io_in_progress) + active_pid=0
ReplicationSlotInitialize	slot.rs:1640	lib.rs:404	MATCH	yes	before_shmem_exit(ReplicationSlotShmemExit) registration
ReplicationSlotShmemExit	slot.rs:1649	lib.rs:412	MATCH	yes	if MyReplicationSlot set, cleanup; release path mirrors C exit callback
ReplicationSlotValidateName	slot.rs:1659	lib.rs:424	MATCH	yes	wraps ValidateNameInternal; ereport(elevel) on err_code; returns bool
ReplicationSlotValidateNameInternal	slot.rs:1713	lib.rs:442	MATCH	yes	empty-name check; per-char [a-z0-9_] validation; length<NAMEDATALEN; err_code/err_detail out-params
ReplicationSlotCreate	slot.rs:1765	lib.rs:497	MATCH	yes	CheckSlotRequirements; AllocationLock EXCLUSIVE; name dup scan; free-slot find; field init; in_use under control lock; create-on-disk; release alloc lock
SearchNamedReplicationSlot	slot.rs:2029	lib.rs:646	MATCH	yes	need_lock control-lock SHARED bracket; scan in_use && name match; returns index
ReplicationSlotIndex	slot.rs:2064	lib.rs:666	MATCH	yes	pointer arithmetic -> index; Assert range
ReplicationSlotName	slot.rs:2073	lib.rs:672	MATCH	yes	control-lock SHARED; in_use copy name under spinlock; returns (found,NameData)
