function	c2rust_loc	our_loc	verdict	perfect_match(yes|no)	note
brin_desc	brindesc.rs:217	brindesc.rs:22	MATCH	yes	all six opcodes; xl_brin_* offsets verified; OPMASK 0x70 applied
brin_identify	brindesc.rs:282	brindesc.rs:69	MATCH	yes	all 8 cases incl |INIT_PAGE combos; constants 0x00-0x50/0x80 verified
BlockIdGetBlockNumber	gindesc.rs:285	(inline)	MATCH	yes	c2rust-inlined itemptr.h helper; realized as block_id_at; Assert-only check inert
ItemPointerGetBlockNumberNoCheck	gindesc.rs:292	(inline)	MATCH	yes	c2rust-inlined itemptr.h helper; realized as direct offset read
ItemPointerGetBlockNumber	gindesc.rs:298	(inline)	MATCH	yes	c2rust-inlined itemptr.h helper; realized as direct offset read; Assert inert
ItemPointerGetOffsetNumberNoCheck	gindesc.rs:304	(inline)	MATCH	yes	c2rust-inlined itemptr.h helper; realized as u16_at read
ItemPointerGetOffsetNumber	gindesc.rs:310	(inline)	MATCH	yes	c2rust-inlined itemptr.h helper; realized as u16_at read; Assert inert
desc_recompress_leaf	gindesc.rs:332	gindesc.rs:36	MATCH	yes	walbuf cursor walk; SizeOfGinPostingList SHORTALIGN; ADDITEMS 2+6*nitems; unknown action early return
gin_desc	gindesc.rs:437	gindesc.rs:75	MATCH	yes	ginxlogInsert flags@0; children BlockIdData[2]; FPI/apply branches; split/deletelist offsets verified
gin_identify	gindesc.rs:615	gindesc.rs:169	MATCH	yes	9 opcodes 0x10-0x90 verified
out_gistxlogPageUpdate	gistdesc.rs:221	gistdesc.rs:19	MATCH	yes	intentionally empty in C; empty in port
out_gistxlogPageReuse	gistdesc.rs:225	gistdesc.rs:24	MATCH	yes	locator 0/4/8, block@12, FullTransactionId@16, isCatalogRel@24; epoch/xid hi/lo split
out_gistxlogDelete	gistdesc.rs:246	gistdesc.rs:41	MATCH	yes	snapshotConflictHorizon@0, ntodelete@4, isCatalogRel@6
out_gistxlogPageSplit	gistdesc.rs:263	gistdesc.rs:54	MATCH	yes	npage@18 (origrlink@0, orignsn u64@8, origleaf@16)
out_gistxlogPageDelete	gistdesc.rs:273	gistdesc.rs:61	MATCH	yes	deleteXid u64@0, downlinkOffset@8
gist_desc	gistdesc.rs:286	gistdesc.rs:74	MATCH	yes	6 opcodes dispatched identically; ASSIGN_LSN no-op
