function	c2rust_loc	our_loc	verdict	perfect_match(yes|no)	note
__isctype	fd.rs:1085	-	MISSING	no	c2rust-injected libc ctype inline (ctype.h), not an fd.c function; subsumed by Rust char classification, no standalone counterpart
isdigit	fd.rs:1097	sync_cleanup (looks_like_temp_rel_name uses is_ascii_digit)	MISSING	no	c2rust-injected libc inline; idiomatic char checks used inline, no standalone fn
DatumGetInt32	fd.rs:1107	types/fmgr crate	SEAMED	no	c2rust-injected postgres.h inline; Datum conversion lives in the shared types/fmgr layer, not duplicated in fd
Int32GetDatum	fd.rs:1111	types/fmgr crate	SEAMED	no	c2rust-injected postgres.h inline; same as DatumGetInt32
pgstat_report_wait_start	fd.rs:1144	backend-utils-activity-waitevent-seams	SEAMED	no	wait_event.h inline; routed to waitevent owner seam
pgstat_report_wait_end	fd.rs:1148	backend-utils-activity-waitevent-seams	SEAMED	no	wait_event.h inline; routed to waitevent owner seam
pg_preadv	fd.rs:1152	vfd_io::pg_preadv	MATCH	yes	preadv EINTR-retry wrapper; matches port.h/pg_iovec.h logic
pg_pwritev	fd.rs:1170	vfd_io::pg_pwritev	MATCH	yes	pwritev EINTR-retry wrapper
ResourceOwnerRememberFile	fd.rs:1241	vfd_core/temp_files (has_resowner RAII)	PARTIAL	no	resowner callback machinery folded into RAII has_resowner model (resowner.c unported); documented PARTIAL-by-design
ResourceOwnerForgetFile	fd.rs:1252	vfd_core/temp_files (has_resowner RAII)	PARTIAL	no	RAII has_resowner model; documented PARTIAL-by-design
pg_fsync	fd.rs:1260	sync_cleanup::pg_fsync	MATCH	yes	enableFsync gate + writethrough/datasync dispatch
pg_fsync_no_writethrough	fd.rs:1268	sync_cleanup::pg_fsync_no_writethrough	MATCH	yes	fsync/fdatasync branch on sync_method
pg_fsync_writethrough	fd.rs:1284	sync_cleanup::pg_fsync_writethrough	MATCH	yes	F_FULLFSYNC (darwin) / ENOSYS path
pg_fdatasync	fd.rs:1300	sync_cleanup::pg_fdatasync	MATCH	yes	fdatasync wrapper
pg_file_exists	fd.rs:1314	sync_cleanup::pg_file_exists	MATCH	yes	stat-based existence + S_ISDIR/errno handling
pg_flush_data	fd.rs:1371	sync_cleanup::pg_flush_data	MATCH	yes	sync_file_range/posix_fadvise/msync platform dispatch
