function	c2rust_loc	our_loc	verdict	perfect_match(yes|no)	note
tas	barrier.rs:44	(inlined)	MATCH	yes	c2rust transpile shim for SpinLockAcquire test-and-set; our code uses real Spinlock (s-lock); no separate C function.
BarrierInit	barrier.rs:48	barrier.rs:51	MATCH	yes	SpinLockInit + field init + ConditionVariableInit inlined; exact (audit).
BarrierArriveAndWait	barrier.rs:61	barrier.rs:77	MATCH	yes	spinlock region, election logic, prepare/sleep/cancel CV loop, re-election; 1:1 (audit).
BarrierArriveAndDetach	barrier.rs:119	barrier.rs:142	MATCH	yes	delegates BarrierDetachImpl(_, true).
BarrierArriveAndDetachExceptLast	barrier.rs:123	barrier.rs:152	MATCH	yes	participants>1 early-return false; else assert==1, ++phase, true.
BarrierAttach	barrier.rs:146	barrier.rs:173	MATCH	yes	assert !static_party, ++participants, return phase.
BarrierDetach	barrier.rs:163	barrier.rs:191	MATCH	yes	delegates BarrierDetachImpl(_, false).
BarrierPhase	barrier.rs:167	barrier.rs:204	MATCH	yes	lock-free phase read.
BarrierParticipants	barrier.rs:171	barrier.rs:214	MATCH	yes	spinlocked participants read.
BarrierDetachImpl	barrier.rs:189	barrier.rs:232	MATCH	yes	release predicate, ++phase, last=participants==0, broadcast outside lock; exact (audit spot-rederived).
PMSignalShmemSize	pmsignal.rs:98	pmsignal.rs:181	MATCH	yes	offsetof header + mul_size/add_size over MaxLivePostmasterChildren(); checked-arith ereports preserved (audit).
PMSignalShmemInit	pmsignal.rs:111	pmsignal.rs:211	MATCH	yes	!found zero-init, publish num_child_flags; OnceLock get_or_init models shmem find-or-create (audit).
SendPostmasterSignal	pmsignal.rs:149	pmsignal.rs:239	MATCH	yes	!IsUnderPostmaster early return; set flag; kill(PostmasterPid,SIGUSR1).
CheckPostmasterSignal	pmsignal.rs:160	pmsignal.rs:269	MATCH	yes	test-then-clear, no clear if unset.
SetQuitSignalReason	pmsignal.rs:171	pmsignal.rs:289	MATCH	yes	store reason.
GetQuitSignalReason	pmsignal.rs:178	pmsignal.rs:305	MATCH	yes	signal-handler-paranoid decode to NOT_SENT.
MarkPostmasterChildSlotAssigned	pmsignal.rs:185	pmsignal.rs:329	MATCH	yes	bounds assert, slot--, !=UNUSED->FATAL(Err), set ASSIGNED.
MarkPostmasterChildSlotUnassigned	pmsignal.rs:226	pmsignal.rs:355	MATCH	yes	result=(==ASSIGNED), set UNUSED, no state assert.
IsPostmasterChildWalSender	pmsignal.rs:241	pmsignal.rs:372	MATCH	yes	== WALSENDER.
RegisterPostmasterChildActive	pmsignal.rs:254	pmsignal.rs:391	MATCH	yes	asserts ASSIGNED, set ACTIVE, on_shmem_exit(MarkPostmasterChildInactive,0) via seam.
MarkPostmasterChildWalSender	pmsignal.rs:271	pmsignal.rs:419	MATCH	yes	asserts ACTIVE, set WALSENDER.
MarkPostmasterChildInactive	pmsignal.rs:280	pmsignal.rs:446	MATCH	yes	asserts ACTIVE||WALSENDER, set ASSIGNED.
