function	c2rust_loc	our_loc	verdict	perfect_match	note
pgstat_report_wait_start	lwlock.rs:949	lib.rs:730	SEAMED	no	Inlined header helper; LWLockReportWaitStart delegates pgstat_report_wait_start(PG_WAIT_LWLOCK|tranche) via waitevent seam.
pgstat_report_wait_end	lwlock.rs:953	lib.rs:735	SEAMED	no	Inlined header helper; LWLockReportWaitEnd delegates via waitevent seam.
pg_leftmost_one_pos32	lwlock.rs:957	-	MATCH	yes	Inlined pg_bitutils helper; used by pg_nextpower2_32, reproduced inline (next_power_of_two).
pg_nextpower2_32	lwlock.rs:961	-	MATCH	yes	Inlined pg_bitutils helper; (n).max(8).next_power_of_two() at LWLockRegisterTranche use site.
pg_atomic_compare_exchange_u32_impl	lwlock.rs:969	-	MATCH	yes	Inlined atomic header helper; reproduced inline via AtomicU32 compare_exchange in attempt/wakeup CAS loops.
pg_atomic_fetch_sub_u32_impl	lwlock.rs:979	-	MATCH	yes	Inlined atomic header helper; reproduced inline (fetch_sub) in LWLockReleaseInternal.
pg_atomic_fetch_and_u32_impl	lwlock.rs:986	-	MATCH	yes	Inlined atomic header helper; reproduced inline (fetch_and) in WaitListUnlock.
pg_atomic_fetch_or_u32_impl	lwlock.rs:993	-	MATCH	yes	Inlined atomic header helper; reproduced inline (fetch_or) in WaitListLock/QueueSelf.
pg_atomic_exchange_u64_impl	lwlock.rs:1000	-	MATCH	yes	Inlined atomic header helper; reproduced inline (swap SeqCst) in UpdateVar/ReleaseClearVar.
pg_atomic_read_u32_impl	lwlock.rs:1007	-	MATCH	yes	Inlined atomic header helper; reproduced inline (load) at read sites.
pg_atomic_init_u32_impl	lwlock.rs:1011	-	MATCH	yes	Inlined atomic header helper; reproduced inline (init store) in LWLockInitialize.
pg_atomic_sub_fetch_u32_impl	lwlock.rs:1018	-	MATCH	yes	Inlined atomic header helper; fetch_sub + wrapping_sub reproduces the new value in ReleaseInternal.
pg_atomic_read_u64_impl	lwlock.rs:1025	-	MATCH	yes	Inlined atomic header helper; reproduced inline (relaxed load) in ConflictsWithVar.
pg_atomic_init_u32	lwlock.rs:1029	-	MATCH	yes	Inlined wrapper over init_u32_impl; reproduced inline.
pg_atomic_read_u32	lwlock.rs:1036	-	MATCH	yes	Inlined wrapper over read_u32_impl; reproduced inline.
pg_atomic_compare_exchange_u32	lwlock.rs:1040	-	MATCH	yes	Inlined wrapper over cmpxchg_impl; reproduced inline.
pg_atomic_fetch_and_u32	lwlock.rs:1048	-	MATCH	yes	Inlined wrapper; reproduced inline.
pg_atomic_fetch_or_u32	lwlock.rs:1055	-	MATCH	yes	Inlined wrapper; reproduced inline.
pg_atomic_sub_fetch_u32	lwlock.rs:1062	-	MATCH	yes	Inlined wrapper; reproduced inline.
pg_atomic_read_u64	lwlock.rs:1069	-	MATCH	yes	Inlined wrapper; reproduced inline.
pg_atomic_exchange_u64	lwlock.rs:1073	-	MATCH	yes	Inlined wrapper; reproduced inline.
tas	lwlock.rs:1096	-	MATCH	yes	Inlined s-lock test-and-set; subsumed by atomic CAS in WaitListLock (no separate spinlock object).
init_spin_delay	lwlock.rs:1100	-	PARTIAL	no	Inlined s_lock header helper; SpinDelayStatus init has no counterpart - perform_spin_delay is unported s_lock.c, replaced by core::hint::spin_loop() (timing/backoff only, no lwlock-observable state). Ledgered in audit row 22.
proclist_init	lwlock.rs:1114	lib.rs:268	MATCH	yes	head=tail=INVALID_PROC_NUMBER.
proclist_is_empty	lwlock.rs:1119	lib.rs:273	MATCH	yes	head==INVALID_PROC_NUMBER.
proclist_node_get	lwlock.rs:1123	-	SEAMED	no	PGPROC.lwWaitLink node read/write delegated via lmgr-proc seams (proc_lw_wait_link / set_proc_lw_wait_link).
