function	c2rust_loc	our_loc	verdict	perfect_match(yes|no)	note
DatumGetInt32	proc.rs:608	(types/postgres.h inline)	MATCH	yes	postgres.h inline; Datum->i32 cast, realized inline at the InitAuxiliaryProcess callback-arg sites
Int32GetDatum	proc.rs:612	(types/postgres.h inline)	MATCH	yes	postgres.h inline; i32->Datum cast, realized inline at on_shmem_exit arg construction
dlist_init	proc.rs:619	(ProcFreeList model, proc_shmem.rs)	MATCH	yes	ilist.h inline; freelist heads modeled as ordered ProcNumber lists; init = empty list
dlist_node_init	proc.rs:624	(PGPROC links model)	MATCH	yes	ilist.h inline; detached-node marker via FreeList membership model; no separate node struct
dlist_is_empty	proc.rs:629	crates/backend-storage-lmgr-proc/src/proc_shmem.rs (ProcFreeList::is_empty)	MATCH	yes	ilist.h inline; list emptiness over ProcNumber list
dlist_push_head	proc.rs:634	crates/backend-storage-lmgr-proc/src/proc_shmem.rs:263	MATCH	yes	ilist.h inline; freelist_push_head -> ProcFreeList push_head
dlist_push_tail	proc.rs:647	crates/backend-storage-lmgr-proc/src/proc_shmem.rs:267	MATCH	yes	ilist.h inline; freelist_push_tail -> ProcFreeList push_tail
dlist_insert_before	proc.rs:660	crates/backend-storage-lmgr-proc/src/proc_waitqueue.rs	MATCH	yes	ilist.h inline; wait-queue priority insert realized as positional insert in JoinWaitQueue
dlist_delete	proc.rs:670	crates/backend-storage-lmgr-proc/src/proc_waitqueue.rs	MATCH	yes	ilist.h inline; wait-queue dequeue realized in ProcWakeup/dequeue
dlist_delete_thoroughly	proc.rs:675	crates/backend-storage-lmgr-proc/src/proc_waitqueue.rs	MATCH	yes	ilist.h inline; delete + node re-init, realized in dequeue with detach
dlist_delete_from_thoroughly	proc.rs:682	crates/backend-storage-lmgr-proc/src/proc_waitqueue.rs	MATCH	yes	ilist.h inline; same as above with explicit head; realized in queue removal
dlist_pop_head_node	proc.rs:689	crates/backend-storage-lmgr-proc/src/proc_shmem.rs:257	MATCH	yes	ilist.h inline; freelist pop -> ProcFreeList pop_head returning ProcNumber
