function	c2rust_loc	our_loc	verdict	perfect_match(yes|no)	note
BlockIdSet	itemptr.rs:35	crates/backend-storage-page/src/lib.rs:66	MATCH	yes	block.h inline; hi/lo16 split, identical
BlockIdGetBlockNumber	itemptr.rs:43	crates/backend-storage-page/src/lib.rs:71	MATCH	yes	block.h inline; (hi<<16)|lo, identical
ItemPointerGetBlockNumberNoCheck	itemptr.rs:50	crates/backend-storage-page/src/lib.rs:85	MATCH	yes	itemptr.h inline; BlockIdGetBlockNumber(&ip_blkid)
ItemPointerGetBlockNumber	itemptr.rs:56	crates/backend-storage-page/src/lib.rs:90	MATCH	yes	itemptr.h inline; valid-assert + NoCheck getter
ItemPointerGetOffsetNumberNoCheck	itemptr.rs:62	crates/backend-storage-page/src/lib.rs:95	MATCH	yes	itemptr.h inline; ip_posid read
ItemPointerGetOffsetNumber	itemptr.rs:68	crates/backend-storage-page/src/lib.rs:100	MATCH	yes	itemptr.h inline; valid-assert + NoCheck getter
ItemPointerSet	itemptr.rs:74	crates/backend-storage-page/src/lib.rs:105	MATCH	yes	itemptr.h inline; BlockIdSet + posid write
ItemPointerEquals	itemptr.rs:83	crates/backend-storage-page/src/lib.rs:141	MATCH	yes	block && offset equality, identical
ItemPointerCompare	itemptr.rs:100	crates/backend-storage-page/src/lib.rs:147	MATCH	yes	NoCheck getters (no posid!=0 assert); -1/0/1 ladder identical
ItemPointerInc	itemptr.rs:131	crates/backend-storage-page/src/lib.rs:168	MATCH	yes	off==0xffff -> if blk!=InvalidBlockNumber wrap else off++; identical
ItemPointerDec	itemptr.rs:149	crates/backend-storage-page/src/lib.rs:183	MATCH	yes	off==0 -> if blk!=0 borrow to 0xffff/blk-- else off--; identical
PageIsEmpty	bufpage.rs:691	crates/backend-storage-page/src/lib.rs:514	MATCH	yes	bufpage.h inline; pd_lower<=SizeOfPageHeaderData
PageIsNew	bufpage.rs:696	crates/backend-storage-page/src/lib.rs:519	MATCH	yes	bufpage.h inline; pd_upper==0
PageGetItemId	bufpage.rs:701	crates/backend-storage-page/src/lib.rs:559	MATCH	yes	bufpage.h inline; line-pointer fetch (copy + writeback model); range-checked
PageGetPageSize	bufpage.rs:710	crates/backend-storage-page/src/lib.rs:524	MATCH	yes	bufpage.h inline; pd_pagesize_version & 0xFF00
PageSetPageSizeAndVersion	bufpage.rs:715	crates/backend-storage-page/src/lib.rs:534	MATCH	yes	bufpage.h inline; (size&0xFF00)|(version&0x00FF)
PageGetSpecialSize	bufpage.rs:723	crates/backend-storage-page/src/lib.rs:540	MATCH	yes	bufpage.h inline; pageSize - pd_special
PageValidateSpecialPointer	bufpage.rs:728	crates/backend-storage-page/src/lib.rs:584	MATCH	yes	c2rust body empty (no-op assert); realized as range check inside PageGetSpecialPointer
