function	c2rust_loc	our_loc	verdict	perfect_match(yes|no)	note
NIStartBuild	spell.rs:1162	lib.rs:363 ni_start_build	MATCH	yes	owned-context model flips building flag; temp-context auto-free subsumed by McxOwned drop
NIFinishBuild	spell.rs:1174	lib.rs:371 ni_finish_build	MATCH	yes	clears Spell+CompoundAffixFlags scratch, flips building; == MemoryContextDelete(buildCxt)+nulling
compact_palloc0	spell.rs:1183	(eliminated)	MATCH	yes	pure palloc-overhead bump-arena optimization; no observable behaviour; replaced by per-item PgVec
cpstrdup	spell.rs:1206	lib.rs:569 new_bytes	MATCH	yes	strlen+1 copy -> NUL-free PgVec<u8>
lowerstr_ctx	spell.rs:1217	lib.rs:433 str_tolower	MATCH	yes	str_tolower(src,strlen,DEFAULT_COLLATION_OID=100) via formatting seam wrapper
cmpspell	spell.rs:1234	build.rs:1008 ni_sort_dictionary (bcmp word)	MATCH	yes	strcmp(word)
cmpspellaffix	spell.rs:1243	build.rs:1008 ni_sort_dictionary (bcmp flag)	MATCH	yes	strcmp(p.flag)
cmpcmdflag	spell.rs:1252	build.rs:606 cmpcmdflag	MATCH	yes	FM_NUM int compare else strcmp; debug_assert mirrors Assert
findchar	spell.rs:1272	lib.rs:511 findchar	MATCH	yes	walk by pg_mblen, t_iseq compare
findchar2	spell.rs:1286	lib.rs:523 findchar2	MATCH	yes	two-char variant
strbcmp	spell.rs:1303	lib.rs:473 strbcmp	MATCH	yes	backward compare; shorter sorts first
strbncmp	spell.rs:1333	lib.rs:490 strbncmp	MATCH	yes	backward bounded by count; l==0->0 first
cmpaffix	spell.rs:1371	build.rs:1527 sort_affix	MATCH	yes	type first; prefix->strcmp(repl), suffix->strbcmp(repl)
getNextFlagFromString	spell.rs:1392	build.rs:49 get_next_flag_from_string	MATCH	yes	Char/Long/Num state machine; strtol range checks; CONFIG_FILE_ERROR sqlstates
IsAffixFlagInUse	spell.rs:1751	build.rs:135 is_affix_flag_in_use	MATCH	yes	empty flag->true; scan AffixData strcmp; debug_assert mirrors Assert
NIAddSpell	spell.rs:1778	build.rs:157 ni_add_spell	MATCH	yes	grow-by-double subsumed by PgVec; flag==""->empty VoidString
NIImportDictionary	spell.rs:1819	build.rs:304 ni_import_dictionary	MATCH	yes	flag extraction at /; trailing-space truncation; lowercase; add
FindWord	spell.rs:1935	build.rs:178 find_word	MATCH	yes	trie binary search; flag&=FF_COMPOUNDFLAGMASK; isword/compoundflag predicates + IsAffixFlagInUse
NIAddAffix	spell.rs:1997	build.rs:230 ni_add_affix	MATCH	yes	simple/regis/regex matcher selection; flagflags promotion; regex error->INVALID_REGULAR_EXPRESSION
get_nextfield	spell.rs:2154	build.rs:353 get_nextfield	MATCH	yes	PAE_WAIT_MASK/INMASK; #->false; BUFSIZ truncation no-op under owned Vec
parse_ooaffentry	spell.rs:2196	build.rs:385 parse_ooaffentry	MATCH	yes	5-field state walk; state codes preserved; early-EOL break; state<0 exit
parse_affentry	spell.rs:2275	build.rs:458 parse_affentry	MATCH	yes	ispell mask>find,repl state machine; ' allowed in WAIT_FIND; syntax-error ereports
setCompoundAffixFlagValue	spell.rs:2572	build.rs:541 set_compound_affix_flag_value	MATCH	yes	FM_NUM strtol+range->Num; else Str
addCompoundAffixFlagValue	spell.rs:2678	build.rs:573 add_compound_affix_flag_value	MATCH	yes	leading-space skip; empty->syntax error; flag run stops at space/\n; sets usecompound
getCompoundAffixFlagValue	spell.rs:2772	build.rs:619 get_compound_affix_flag_value	MATCH	yes	empty table->0; per-flag bsearch OR-ing values
getAffixFlagSet	spell.rs:2824	build.rs:648 get_affix_flag_set	MATCH	yes	alias index resolution; >0 && <nAffixData / >nAffixData-error / VoidString branches
