function	c2rust_loc	our_loc	verdict	perfect_match(yes|no)	note
pgstat_progress_parallel_incr_param	backend_progress.rs:186	backend_progress.rs:110	MATCH	yes	IsParallelWorker (ParallelWorkerNumber>=0) selects worker branch: PqMsg_Progress msg + sendint32(index)/sendint64(incr); leader calls incr_param; pqformat SEAMED to owner
pgstat_progress_begin_write	backend_progress.rs:213	backend_progress.rs:33 pgstat_begin_write_activity	SEAMED	no	PGSTAT_BEGIN_WRITE_ACTIVITY macro; protocol + MyBEEntry owned by backend_status.c (seamed field op)
pgstat_progress_end_write	backend_progress.rs:224	backend_progress.rs:42 pgstat_end_write_activity	SEAMED	no	PGSTAT_END_WRITE_ACTIVITY macro; owned by backend_status.c
pgstat_progress_start_command	backend_progress.rs:235	backend_progress.rs:52	MATCH	yes	!beentry||!track early return; begin-write/set command/set target/zero st_progress_param/end-write in C order
pgstat_progress_update_param	backend_progress.rs:255	backend_progress.rs:71	MATCH	yes	debug_assert index bound before beentry/track check; write bracket + single st_progress_param[index]=val
pgstat_progress_incr_param	backend_progress.rs:272	backend_progress.rs:88	MATCH	yes	same shape with += incr
pgstat_progress_update_multi_param	backend_progress.rs:290	backend_progress.rs:132	MATCH	yes	two slices; !beentry||!track||nparam==0 early return; one write bracket around loop; per-iter debug_assert
pgstat_progress_end_command	backend_progress.rs:312	backend_progress.rs:157	MATCH	yes	beentry/track check; unbracketed INVALID early return; bracketed reset to INVALID/InvalidOid
pgstat_copy_changecounted_stats	pgstat_archiver.rs:278	changecount.rs:85	MATCH	yes	pgstat_internal.h inline; do/while copy-retry loop; memcpy == typed *dst=*src
pgstat_report_archiver	pgstat_archiver.rs:294	pgstat_archiver.rs:32	MATCH	yes	GetCurrentTimestamp (SEAMED) before write window; changecount bracket; failed/success branch ++count + memcpy 41-byte WAL name + timestamp
pgstat_fetch_stat_archiver	pgstat_archiver.rs:322	pgstat_archiver.rs:61	MATCH	yes	snapshot_fixed(PGSTAT_KIND_ARCHIVER=7) then &snapshot.archiver via seam
