function	c2rust_loc	our_loc	verdict	perfect_match	note
numeric_in	numeric.rs:2576	io.rs:371	MATCH	yes	
numeric_out	numeric.rs:2827	io.rs:690	MATCH	yes	
numeric_is_nan	numeric.rs:2866	types-numeric/lib.rs:221	MATCH	yes	
numeric_is_inf	numeric.rs:2870	types-numeric/lib.rs:239	MATCH	yes	
numeric_is_integral	numeric.rs:2874	ops_sql.rs:160	MATCH	yes	
make_numeric_typmod	numeric.rs:2896	types-numeric/lib.rs:331	MATCH	yes	
is_valid_numeric_typmod	numeric.rs:2904	types-numeric/lib.rs:337	MATCH	yes	
numeric_typmod_precision	numeric.rs:2908	types-numeric/lib.rs:343	MATCH	yes	
numeric_typmod_scale	numeric.rs:2913	types-numeric/lib.rs:350	MATCH	yes	
numeric_maximum_size	numeric.rs:2919	ops_sql.rs:1388	MATCH	yes	
numeric_out_sci	numeric.rs:2935	io.rs:711	MATCH	yes	
numeric_normalize	numeric.rs:2966	ops_sql.rs:1173	MATCH	yes	
numeric_recv	numeric.rs:3008	io.rs:776	MATCH	yes	
numeric_send	numeric.rs:3196	io.rs:831	MATCH	yes	
numeric_support	numeric.rs:3231	series_srf.rs:343	SEAMED	no	own decision logic in-crate; cross-unit callee (tuplesort abbrev / funcapi SRF / planner Node) reached via outbound seam per rangetypes planner-support precedent
numeric	numeric.rs:3274	io.rs:371	MATCH	yes	fmgr-boundary wrapper / no own logic beyond Datum marshalling; represented by core numeric_in
numerictypmodin	numeric.rs:3418	ops_sql.rs:1325	MATCH	yes	
numerictypmodout	numeric.rs:3619	ops_sql.rs:1366	MATCH	yes	
numeric_abs	numeric.rs:3641	ops_sql.rs:468	MATCH	yes	
numeric_uminus	numeric.rs:3673	ops_sql.rs:486	MATCH	yes	
numeric_uplus	numeric.rs:3756	ops_sql.rs:512	MATCH	yes	
numeric_sign_internal	numeric.rs:3764	ops_sql.rs:140	MATCH	yes	
numeric_sign	numeric.rs:3817	ops_sql.rs:528	MATCH	yes	
numeric_round	numeric.rs:3835	ops_sql.rs:581	MATCH	yes	
numeric_trunc	numeric.rs:3881	ops_sql.rs:602	MATCH	yes	
numeric_ceil	numeric.rs:3927	ops_sql.rs:620	MATCH	yes	
numeric_floor	numeric.rs:3954	ops_sql.rs:630	MATCH	yes	
generate_series_numeric	numeric.rs:3981	series_srf.rs:122	SEAMED	no	own decision logic in-crate; cross-unit callee (tuplesort abbrev / funcapi SRF / planner Node) reached via outbound seam per rangetypes planner-support precedent
generate_series_step_numeric	numeric.rs:3985	series_srf.rs:137	SEAMED	no	own decision logic in-crate; cross-unit callee (tuplesort abbrev / funcapi SRF / planner Node) reached via outbound seam per rangetypes planner-support precedent
generate_series_numeric_support	numeric.rs:4368	series_srf.rs:387	SEAMED	no	own decision logic in-crate; cross-unit callee (tuplesort abbrev / funcapi SRF / planner Node) reached via outbound seam per rangetypes planner-support precedent
width_bucket_numeric	numeric.rs:4511	ops_sql.rs:998	MATCH	yes	
compute_bucket	numeric.rs:4809	ops_sql.rs:1082	MATCH	yes	
numeric_sortsupport	numeric.rs:4865	aggregate.rs:1014	SEAMED	no	own decision logic in-crate; cross-unit callee (tuplesort abbrev / funcapi SRF / planner Node) reached via outbound seam per rangetypes planner-support precedent
numeric_abbrev_convert	numeric.rs:4906	aggregate.rs:828	MATCH	yes	
numeric_abbrev_abort	numeric.rs:4967	aggregate.rs:946	MATCH	yes	
numeric_fast_cmp	numeric.rs:5085	aggregate.rs:916	MATCH	yes	
numeric_cmp_abbrev	numeric.rs:5102	aggregate.rs:928	MATCH	yes	
