function	c2rust_loc	our_loc	verdict	perfect_match	note
range_in	../pgrust/c2rust-runs/backend-utils-adt-range-core/src/rangetypes.rs:90	FB/IO range_in	MATCH	yes	fmgr boundary + parse via get_range_io_data
range_out	../pgrust/c2rust-runs/backend-utils-adt-range-core/src/rangetypes.rs:139	FB/IO range_out	MATCH	yes	
range_recv	../pgrust/c2rust-runs/backend-utils-adt-range-core/src/rangetypes.rs:179	FB/IO range_recv	MATCH	yes	
range_send	../pgrust/c2rust-runs/backend-utils-adt-range-core/src/rangetypes.rs:263	FB/IO range_send	MATCH	yes	
get_range_io_data	../pgrust/c2rust-runs/backend-utils-adt-range-core/src/rangetypes.rs:319	IO get_range_io_data	SEAMED	no	body resolves lookup_type_cache / get_type_io_data / fmgr_info — all unported neighbors; mirror-PG-and-panic naming the owners (no own logic lost)
range_constructor2	../pgrust/c2rust-runs/backend-utils-adt-range-core/src/rangetypes.rs:379	FB range_constructor2	MATCH	yes	
range_constructor3	../pgrust/c2rust-runs/backend-utils-adt-range-core/src/rangetypes.rs:408	FB range_constructor3	MATCH	yes	
range_lower	../pgrust/c2rust-runs/backend-utils-adt-range-core/src/rangetypes.rs:448	FB range_lower	MATCH	yes	
range_upper	../pgrust/c2rust-runs/backend-utils-adt-range-core/src/rangetypes.rs:469	FB range_upper	MATCH	yes	
range_empty	../pgrust/c2rust-runs/backend-utils-adt-range-core/src/rangetypes.rs:493	FB range_empty	MATCH	yes	
range_lower_inc	../pgrust/c2rust-runs/backend-utils-adt-range-core/src/rangetypes.rs:503	FB range_lower_inc	MATCH	yes	
range_upper_inc	../pgrust/c2rust-runs/backend-utils-adt-range-core/src/rangetypes.rs:513	FB range_upper_inc	MATCH	yes	
range_lower_inf	../pgrust/c2rust-runs/backend-utils-adt-range-core/src/rangetypes.rs:523	FB range_lower_inf	MATCH	yes	
range_upper_inf	../pgrust/c2rust-runs/backend-utils-adt-range-core/src/rangetypes.rs:533	FB range_upper_inf	MATCH	yes	
range_contains_elem	../pgrust/c2rust-runs/backend-utils-adt-range-core/src/rangetypes.rs:546	FB range_contains_elem	MATCH	yes	
elem_contained_by_range	../pgrust/c2rust-runs/backend-utils-adt-range-core/src/rangetypes.rs:559	FB elem_contained_by_range	MATCH	yes	
range_eq_internal	../pgrust/c2rust-runs/backend-utils-adt-range-core/src/rangetypes.rs:575	BC range_eq_internal	MATCH	yes	type-match guard, empty handling, both-bounds cmp
