function	c2rust_loc	our_loc	verdict	perfect_match	note
RE_compile_and_cache	../pgrust/c2rust-runs/backend-utils-adt-regexp/src/regexp.rs:141	lib.rs:98	MATCH	yes	Self-organizing MRU cache; scan-from-front match on (len,cflags,collation,bytes), move-to-front, compile-on-miss, evict-at-32, insert-at-0. thread_local cache (per-backend global per AGENTS.md). Engine state owned behind RegexHandle; eviction frees via pg_regfree seam (C's MemoryContextDelete). Insert-failure path frees the just-compiled handle (C gets this from child-of-current context unwind).
RE_wchar_execute	../pgrust/c2rust-runs/backend-utils-adt-regexp/src/regexp.rs:282	lib.rs:199	MATCH	yes	pg_regexec seam; Matched/NoMatch/Failed arms; Failed → ERRCODE_INVALID_REGULAR_EXPRESSION "regular expression failed".
RE_execute	../pgrust/c2rust-runs/backend-utils-adt-regexp/src/regexp.rs:324	lib.rs:220	MATCH	yes	mb2wchar then RE_wchar_execute at start_search 0.
RE_compile_and_execute	../pgrust/c2rust-runs/backend-utils-adt-regexp/src/regexp.rs:358	lib.rs:230	MATCH	yes	nmatch<2 (pmatch.len()<2) ⇒ REG_NOSUB; compile+execute.
parse_re_flags	../pgrust/c2rust-runs/backend-utils-adt-regexp/src/regexp.rs:385	lib.rs:254	MATCH	yes	All 14 option chars + default error; bit set/clear identical; 'm'
nameregexeq	../pgrust/c2rust-runs/backend-utils-adt-regexp/src/regexp.rs:459	lib.rs:339	MATCH	yes	REG_ADVANCED, nmatch 0.
nameregexne	../pgrust/c2rust-runs/backend-utils-adt-regexp/src/regexp.rs:473	lib.rs:344	MATCH	yes	negation.
textregexeq	../pgrust/c2rust-runs/backend-utils-adt-regexp/src/regexp.rs:487	lib.rs:349	MATCH	yes	
textregexne	../pgrust/c2rust-runs/backend-utils-adt-regexp/src/regexp.rs:501	lib.rs:354	MATCH	yes	
nameicregexeq	../pgrust/c2rust-runs/backend-utils-adt-regexp/src/regexp.rs:522	lib.rs:359	MATCH	yes	REG_ADVANCED|REG_ICASE.
nameicregexne	../pgrust/c2rust-runs/backend-utils-adt-regexp/src/regexp.rs:536	lib.rs:364	MATCH	yes	
texticregexeq	../pgrust/c2rust-runs/backend-utils-adt-regexp/src/regexp.rs:550	lib.rs:369	MATCH	yes	
texticregexne	../pgrust/c2rust-runs/backend-utils-adt-regexp/src/regexp.rs:564	lib.rs:374	MATCH	yes	
textregexsubstr	../pgrust/c2rust-runs/backend-utils-adt-regexp/src/regexp.rs:583	lib.rs:380	MATCH	yes	2 pmatch slots; re_nsub>0 ⇒ subexpr[1] else whole[0]; so<0||eo<0 ⇒ NULL; text_substr(so+1, eo-so) via seam.
textregexreplace_noopt	../pgrust/c2rust-runs/backend-utils-adt-regexp/src/regexp.rs:642	lib.rs:423	MATCH	yes	REG_ADVANCED, search 0, n 1, via replace_text_regexp seam.
textregexreplace	../pgrust/c2rust-runs/backend-utils-adt-regexp/src/regexp.rs:658	lib.rs:434	MATCH	yes	leading-digit ⇒ invalid-option error + HINT; parse flags; n = glob?0:1.
textregexreplace_extended	../pgrust/c2rust-runs/backend-utils-adt-regexp/src/regexp.rs:700	lib.rs:472	MATCH	yes	start>0/n>=0 validation; n deduced from glob when absent; start-1. Optional args modeled as Option (C PG_NARGS).
textregexreplace_extended_no_n	../pgrust/c2rust-runs/backend-utils-adt-regexp/src/regexp.rs:745	lib.rs:526	MATCH	yes	delegates with n=None.
textregexreplace_extended_no_flags	../pgrust/c2rust-runs/backend-utils-adt-regexp/src/regexp.rs:752	lib.rs:540	MATCH	yes	delegates with flags=None.
similar_escape_internal	../pgrust/c2rust-runs/backend-utils-adt-regexp/src/regexp.rs:768	lib.rs:561	MATCH	yes	Full SIMILAR-TO→ARE transform: prefix `^(?:`, suffix `)$`, escape-double-quote part separators (`){1,1}?(` / `){1,1}(?:`, >2 ⇒ error), multibyte slow path, bracket-class parsing with charclass_pos states 1/2/3, %→.* _→. (→(?: and \.^$ escaping. Default escape `\`, empty escape ⇒ none, >1-char escape validated via pg_mbstrlen_with_len.
similar_to_escape_2	../pgrust/c2rust-runs/backend-utils-adt-regexp/src/regexp.rs:1078	lib.rs:742	MATCH	yes	Some(esc).
similar_to_escape_1	../pgrust/c2rust-runs/backend-utils-adt-regexp/src/regexp.rs:1094	lib.rs:752	MATCH	yes	None ⇒ default escape.
similar_escape	../pgrust/c2rust-runs/backend-utils-adt-regexp/src/regexp.rs:1112	lib.rs:761	MATCH	yes	Non-strict: NULL pat ⇒ NULL; NULL esc ⇒ default.
