function	c2rust_loc	our_loc	verdict	perfect_match	note
RI_FKey_check	../pgrust/c2rust-runs/backend-utils-adt-ri-triggers/src/ri_triggers.rs:250	triggers.rs `ri_fkey_check`/`finish_fkey_check`	MATCH	yes	SnapshotSelf skip, RowShareLock, NullCheck switch, temporal query, detectNewRows=is_partitioned, SPI_finish.
RI_FKey_check_ins	../pgrust/c2rust-runs/backend-utils-adt-ri-triggers/src/ri_triggers.rs:474	`ri_fkey_check_ins`	MATCH	yes	CheckTrigger INSERT then shared.
RI_FKey_check_upd	../pgrust/c2rust-runs/backend-utils-adt-ri-triggers/src/ri_triggers.rs:490	`ri_fkey_check_upd`	MATCH	yes	CheckTrigger UPDATE then shared.
ri_Check_Pk_Match	../pgrust/c2rust-runs/backend-utils-adt-ri-triggers/src/ri_triggers.rs:511	checks.rs `ri_check_pk_match`	MATCH	yes	LOOKUPPK_FROM_PK, pp_eq_oprs, temporal HAVING, SPI_OK_SELECT.
RI_FKey_noaction_del	../pgrust/c2rust-runs/backend-utils-adt-ri-triggers/src/ri_triggers.rs:639	`ri_fkey_noaction_del`	MATCH	yes	DELETE, ri_restrict(true).
RI_FKey_restrict_del	../pgrust/c2rust-runs/backend-utils-adt-ri-triggers/src/ri_triggers.rs:659	`ri_fkey_restrict_del`	MATCH	yes	DELETE, ri_restrict(false).
RI_FKey_noaction_upd	../pgrust/c2rust-runs/backend-utils-adt-ri-triggers/src/ri_triggers.rs:676	`ri_fkey_noaction_upd`	MATCH	yes	UPDATE, ri_restrict(true).
RI_FKey_restrict_upd	../pgrust/c2rust-runs/backend-utils-adt-ri-triggers/src/ri_triggers.rs:696	`ri_fkey_restrict_upd`	MATCH	yes	UPDATE, ri_restrict(false).
ri_restrict	../pgrust/c2rust-runs/backend-utils-adt-ri-triggers/src/ri_triggers.rs:712	triggers.rs `ri_restrict`	MATCH	yes	NO ACTION Pk_Match short-circuit; temporal subquery byte-identical; is_restrict=!is_no_action; detectNewRows=true.
RI_FKey_cascade_del	../pgrust/c2rust-runs/backend-utils-adt-ri-triggers/src/ri_triggers.rs:915	`ri_fkey_cascade_del`	MATCH	yes	RowExclusiveLock, DELETE FROM, SPI_OK_DELETE.
