function	c2rust_loc	our_loc	verdict	perfect_match(yes|no)	note
__isctype	varlena.rs:2381	(n/a)	MATCH	yes	c2rust libc ctype inline; not a varlena.c fn
isxdigit	varlena.rs:2393	misc_encoding.rs:653	MATCH	yes	ctype inline; isxdigits_n reimplements the predicate over n bytes
initReadOnlyStringInfo	varlena.rs:2398	(inline)	MATCH	yes	stringinfo.h inline; modeled inline at recv sites
MemoryContextSwitchTo	varlena.rs:2410	(inline)	MATCH	yes	mcxt inline; Mcx model handles context
DatumGetBool	varlena.rs:2416	(inline)	MATCH	yes	postgres.h macro inline
BoolGetDatum	varlena.rs:2420	(inline)	MATCH	yes	postgres.h macro inline
CharGetDatum	varlena.rs:2428	(inline)	MATCH	yes	postgres.h macro inline
DatumGetInt16	varlena.rs:2432	(inline)	MATCH	yes	postgres.h macro inline
Int16GetDatum	varlena.rs:2436	(inline)	MATCH	yes	postgres.h macro inline
DatumGetInt32	varlena.rs:2440	split_format.rs:2017	MATCH	yes	macro inline; datum_get_int32 helper where needed
Int32GetDatum	varlena.rs:2444	(inline)	MATCH	yes	postgres.h macro inline
DatumGetUInt32	varlena.rs:2448	(inline)	MATCH	yes	postgres.h macro inline
UInt32GetDatum	varlena.rs:2452	(inline)	MATCH	yes	postgres.h macro inline
ObjectIdGetDatum	varlena.rs:2456	(inline)	MATCH	yes	postgres.h macro inline
DatumGetPointer	varlena.rs:2460	(inline)	MATCH	yes	postgres.h macro inline
PointerGetDatum	varlena.rs:2464	(inline)	MATCH	yes	postgres.h macro inline
DatumGetCString	varlena.rs:2468	(inline)	MATCH	yes	postgres.h macro inline
CStringGetDatum	varlena.rs:2472	(inline)	MATCH	yes	postgres.h macro inline
DatumGetName	varlena.rs:2476	(inline)	MATCH	yes	postgres.h macro inline
NameGetDatum	varlena.rs:2480	(inline)	MATCH	yes	postgres.h macro inline
DatumGetInt64	varlena.rs:2484	(inline)	MATCH	yes	postgres.h macro inline
Int64GetDatum	varlena.rs:2488	(inline)	MATCH	yes	postgres.h macro inline
hash_any	varlena.rs:2494	(seam)	SEAMED	no	hashfn.c owner; seamed (used by abbrev convert)
hash_uint32	varlena.rs:2501	(seam)	SEAMED	no	hashfn.c owner; seamed
pg_add_s32_overflow	varlena.rs:2505	(inline)	MATCH	yes	port/int.h inline; checked_add used where needed
pg_mul_s32_overflow	varlena.rs:2515	(inline)	MATCH	yes	port/int.h inline; checked_mul used where needed
is_valid_unicode_codepoint	varlena.rs:2525	misc_encoding.rs:911	MATCH	yes	mb inline reimplemented
is_utf16_surrogate_first	varlena.rs:2529	misc_encoding.rs:916	MATCH	yes	mb inline reimplemented
is_utf16_surrogate_second	varlena.rs:2533	misc_encoding.rs:921	MATCH	yes	mb inline reimplemented
surrogate_pair_to_codepoint	varlena.rs:2537	misc_encoding.rs:927	MATCH	yes	mb inline reimplemented
utf8_to_unicode	varlena.rs:2546	misc_encoding.rs:853	MATCH	yes	mb inline reimplemented
unicode_to_utf8	varlena.rs:2581	misc_encoding.rs:876	MATCH	yes	mb inline reimplemented
fetch_att	varlena.rs:2612	(inline)	MATCH	yes	tupmacs.h inline; not varlena.c logic
pg_popcount	varlena.rs:2662	bytea.rs:351	MATCH	yes	pg_bitutils inline; folded into bytea_bit_count
pq_writeint8	varlena.rs:2689	(inline)	MATCH	yes	pqformat.h inline at send sites
pq_writeint16	varlena.rs:2701	(inline)	MATCH	yes	pqformat.h inline at send sites
pq_writeint32	varlena.rs:2713	(inline)	MATCH	yes	pqformat.h inline at send sites
pq_sendint8	varlena.rs:2725	(inline)	MATCH	yes	pqformat.h inline at send sites
pq_sendint16	varlena.rs:2730	(inline)	MATCH	yes	pqformat.h inline at send sites
pq_sendint32	varlena.rs:2735	(inline)	MATCH	yes	pqformat.h inline at send sites
pq_sendint	varlena.rs:2740	(inline)	MATCH	yes	pqformat.h inline at send sites
cstring_to_text	varlena.rs:2794	keystone.rs:174	MATCH	yes	delegates to cstring_to_text_with_len(strlen)
cstring_to_text_with_len	varlena.rs:2800	keystone.rs:181	MATCH	yes	palloc VARHDRSZ+len, set varsize, memcpy
