function	c2rust_loc	our_loc	verdict	perfect_match	note
BoolGetDatum	lsyscache.rs:2909	(intrinsic)	MATCH	yes	c2rust-emitted Datum/struct cast intrinsic; idiomatic in-language op
CharGetDatum	lsyscache.rs:2917	(intrinsic)	MATCH	yes	c2rust-emitted Datum/struct cast intrinsic; idiomatic in-language op
Int16GetDatum	lsyscache.rs:2921	(intrinsic)	MATCH	yes	c2rust-emitted Datum/struct cast intrinsic; idiomatic in-language op
ObjectIdGetDatum	lsyscache.rs:2925	(intrinsic)	MATCH	yes	c2rust-emitted Datum/struct cast intrinsic; idiomatic in-language op
DatumGetPointer	lsyscache.rs:2929	(intrinsic)	MATCH	yes	c2rust-emitted Datum/struct cast intrinsic; idiomatic in-language op
PointerGetDatum	lsyscache.rs:2933	(intrinsic)	MATCH	yes	c2rust-emitted Datum/struct cast intrinsic; idiomatic in-language op
CStringGetDatum	lsyscache.rs:2937	(intrinsic)	MATCH	yes	c2rust-emitted Datum/struct cast intrinsic; idiomatic in-language op
GETSTRUCT	lsyscache.rs:2961	(intrinsic)	MATCH	yes	c2rust-emitted Datum/struct cast intrinsic; idiomatic in-language op
op_in_opfamily	lsyscache.rs:2992	opfamily_operator.rs	MATCH	yes	per audit table; logic parity vs C/c2rust
get_op_opfamily_strategy	lsyscache.rs:3002	opfamily_operator.rs	MATCH	yes	per audit table; logic parity vs C/c2rust
get_op_opfamily_sortfamily	lsyscache.rs:3024	opfamily_operator.rs	MATCH	yes	per audit table; logic parity vs C/c2rust
get_op_opfamily_properties	lsyscache.rs:3046	opfamily_operator.rs	MATCH	yes	per audit table; logic parity vs C/c2rust
get_opfamily_member	lsyscache.rs:3107	opfamily_operator.rs	MATCH	yes	per audit table; logic parity vs C/c2rust
get_opfamily_member_for_cmptype	lsyscache.rs:3132	opfamily_operator.rs	MATCH	yes	per audit table; logic parity vs C/c2rust
get_opmethod_canorder	lsyscache.rs:3147	opfamily_operator.rs	MATCH	yes	per audit table; logic parity vs C/c2rust
get_ordering_op_properties	lsyscache.rs:3164	opfamily_operator.rs	MATCH	yes	per audit table; logic parity vs C/c2rust
get_equality_op_for_ordering_op	lsyscache.rs:3219	opfamily_operator.rs	MATCH	yes	per audit table; logic parity vs C/c2rust
get_ordering_op_for_equality_op	lsyscache.rs:3247	opfamily_operator.rs	MATCH	yes	per audit table; logic parity vs C/c2rust
get_mergejoin_opfamilies	lsyscache.rs:3303	opfamily_operator.rs	MATCH	yes	per audit table; logic parity vs C/c2rust
get_compatible_hash_operators	lsyscache.rs:3339	opfamily_operator.rs	MATCH	yes	per audit table; logic parity vs C/c2rust
get_op_hash_functions	lsyscache.rs:3429	opfamily_operator.rs	MATCH	yes	per audit table; logic parity vs C/c2rust
get_op_index_interpretation	lsyscache.rs:3513	opfamily_operator.rs	MATCH	yes	per audit table; logic parity vs C/c2rust
equality_ops_are_compatible	lsyscache.rs:3611	opfamily_operator.rs	MATCH	yes	per audit table; logic parity vs C/c2rust
comparison_ops_are_compatible	lsyscache.rs:3653	opfamily_operator.rs	MATCH	yes	per audit table; logic parity vs C/c2rust
get_opfamily_proc	lsyscache.rs:3695	opclass.rs	MATCH	yes	per audit table; logic parity vs C/c2rust
get_attname	lsyscache.rs:3720	attribute.rs	MATCH	yes	per audit table; logic parity vs C/c2rust
get_attnum	lsyscache.rs:3775	attribute.rs	MATCH	yes	per audit table; logic parity vs C/c2rust
get_attgenerated	lsyscache.rs:3793	attribute.rs	MATCH	yes	per audit table; logic parity vs C/c2rust
get_atttype	lsyscache.rs:3844	attribute.rs	MATCH	yes	per audit table; logic parity vs C/c2rust
get_atttypetypmodcoll	lsyscache.rs:3863	attribute.rs	MATCH	yes	per audit table; logic parity vs C/c2rust
get_attoptions	lsyscache.rs:3917	attribute.rs	MATCH	yes	per audit table; logic parity vs C/c2rust
get_cast_oid	lsyscache.rs:3973	collation_constraint_language_cast.rs	MATCH	yes	per audit table; logic parity vs C/c2rust
get_collation_name	lsyscache.rs:4032	collation_constraint_language_cast.rs	MATCH	yes	per audit table; logic parity vs C/c2rust
get_collation_isdeterministic	lsyscache.rs:4051	collation_constraint_language_cast.rs	MATCH	yes	per audit table; logic parity vs C/c2rust
get_constraint_name	lsyscache.rs:4095	collation_constraint_language_cast.rs	MATCH	yes	per audit table; logic parity vs C/c2rust
get_constraint_index	lsyscache.rs:4114	collation_constraint_language_cast.rs	MATCH	yes	per audit table; logic parity vs C/c2rust
get_constraint_type	lsyscache.rs:4136	collation_constraint_language_cast.rs	MATCH	yes	per audit table; logic parity vs C/c2rust
get_language_name	lsyscache.rs:4175	collation_constraint_language_cast.rs	MATCH	yes	per audit table; logic parity vs C/c2rust
get_opclass_family	lsyscache.rs:4224	opclass.rs	MATCH	yes	per audit table; logic parity vs C/c2rust
get_opclass_input_type	lsyscache.rs:4265	opclass.rs	MATCH	yes	per audit table; logic parity vs C/c2rust
get_opclass_opfamily_and_input_type	lsyscache.rs:4306	opclass.rs	MATCH	yes	per audit table; logic parity vs C/c2rust
get_opclass_method	lsyscache.rs:4324	opclass.rs	MATCH	yes	per audit table; logic parity vs C/c2rust
get_opfamily_method	lsyscache.rs:4365	opclass.rs	MATCH	yes	per audit table; logic parity vs C/c2rust
get_opfamily_name	lsyscache.rs:4406	opclass.rs	MATCH	yes	per audit table; logic parity vs C/c2rust
get_opcode	lsyscache.rs:4455	opfamily_operator.rs	MATCH	yes	per audit table; logic parity vs C/c2rust
get_opname	lsyscache.rs:4470	opfamily_operator.rs	MATCH	yes	per audit table; logic parity vs C/c2rust
get_op_rettype	lsyscache.rs:4487	opfamily_operator.rs	MATCH	yes	per audit table; logic parity vs C/c2rust
op_input_types	lsyscache.rs:4502	opfamily_operator.rs	MATCH	yes	per audit table; logic parity vs C/c2rust
op_mergejoinable	lsyscache.rs:4546	opfamily_operator.rs	MATCH	yes	ARRAY_EQ_OP/RECORD_EQ_OP via typcache cmp_proc seam; else oprcanmerge
op_hashjoinable	lsyscache.rs:4572	opfamily_operator.rs	MATCH	yes	ARRAY_EQ_OP/RECORD_EQ_OP via typcache hash_proc seam; else oprcanhash
op_strict	lsyscache.rs:4598	opfamily_operator.rs	MATCH	yes	per audit table; logic parity vs C/c2rust
op_volatile	lsyscache.rs:4633	opfamily_operator.rs	MATCH	yes	per audit table; logic parity vs C/c2rust
get_commutator	lsyscache.rs:4668	opfamily_operator.rs	MATCH	yes	per audit table; logic parity vs C/c2rust
get_negator	lsyscache.rs:4683	opfamily_operator.rs	MATCH	yes	per audit table; logic parity vs C/c2rust
get_oprrest	lsyscache.rs:4698	opfamily_operator.rs	MATCH	yes	per audit table; logic parity vs C/c2rust
get_oprjoin	lsyscache.rs:4713	opfamily_operator.rs	MATCH	yes	per audit table; logic parity vs C/c2rust
get_func_name	lsyscache.rs:4728	function.rs	MATCH	yes	per audit table; logic parity vs C/c2rust
get_func_namespace	lsyscache.rs:4745	function.rs	MATCH	yes	per audit table; logic parity vs C/c2rust
get_func_rettype	lsyscache.rs:4760	function.rs	MATCH	yes	per audit table; logic parity vs C/c2rust
get_func_nargs	lsyscache.rs:4799	function.rs	MATCH	yes	per audit table; logic parity vs C/c2rust
get_func_signature	lsyscache.rs:4839	function.rs	MATCH	yes	per audit table; logic parity vs C/c2rust
get_func_variadictype	lsyscache.rs:4894	function.rs	MATCH	yes	per audit table; logic parity vs C/c2rust
get_func_retset	lsyscache.rs:4933	function.rs	MATCH	yes	per audit table; logic parity vs C/c2rust
func_strict	lsyscache.rs:4972	function.rs	MATCH	yes	per audit table; logic parity vs C/c2rust
func_volatile	lsyscache.rs:5011	function.rs	MATCH	yes	per audit table; logic parity vs C/c2rust
func_parallel	lsyscache.rs:5050	function.rs	MATCH	yes	per audit table; logic parity vs C/c2rust
get_func_prokind	lsyscache.rs:5089	function.rs	MATCH	yes	per audit table; logic parity vs C/c2rust
get_func_leakproof	lsyscache.rs:5128	function.rs	MATCH	yes	per audit table; logic parity vs C/c2rust
