function	c2rust_loc	our_loc	verdict	perfect_match(yes|no)	note
CharGetDatum	syscache.rs:1021	(typed Datum)	MATCH	yes	c2rust-inlined header macro (postgres.h); subsumed by typed Datum constructors (Datum::from_*); used where C builds keys.
Int16GetDatum	syscache.rs:1025	lib.rs:546	MATCH	yes	header macro; Datum::from_i16 (SearchSysCacheAttNum key).
Int32GetDatum	syscache.rs:1029	(typed Datum)	MATCH	yes	header macro; Datum::from_i32 equivalent.
ObjectIdGetDatum	syscache.rs:1033	lib.rs:494,545	MATCH	yes	header macro; Datum::from_oid.
PointerGetDatum	syscache.rs:1037	(typed Datum)	MATCH	yes	header macro; subsumed by typed Datum.
CStringGetDatum	syscache.rs:1041	(SysCacheKey::Str)	MATCH	yes	header macro; cstring keys carried by SysCacheKey::Str.
BlockIdSet	syscache.rs:1047	(ItemPointerData::new)	MATCH	yes	header macro (block.h); subsumed by ItemPointerData::new / BlockIdData.
BlockIdGetBlockNumber	syscache.rs:1055	lib.rs:855,360	MATCH	yes	header macro; ip_blkid.block_number().
ItemPointerIsValid	syscache.rs:1063	lib.rs:849	MATCH	yes	header macro (itemptr.h); posid!=0. (C also checks pointer!=NULL; the value here is always present.)
ItemPointerGetBlockNumberNoCheck	syscache.rs:1068	lib.rs:855	MATCH	yes	header macro; block_number().
ItemPointerGetBlockNumber	syscache.rs:1074	lib.rs:360,855	MATCH	yes	header macro; block_number() (the Assert(IsValid) is debug-only in C).
ItemPointerGetOffsetNumberNoCheck	syscache.rs:1080	lib.rs:361	MATCH	yes	header macro; ip_posid.
ItemPointerGetOffsetNumber	syscache.rs:1086	lib.rs:361	MATCH	yes	header macro; ip_posid.
ItemPointerSetInvalid	syscache.rs:1092	lib.rs:844	MATCH	yes	header macro; item_pointer_invalid() = InvalidBlockNumber(0xffffffff)+posid 0.
TupleDescAttr	syscache.rs:1100	(tupdesc.attrs[])	MATCH	yes	header macro (tupdesc.h); tupdesc.attrs indexing in SysCacheGetAttrNotNull / heap_getattr.
TupleDescCompactAttr	syscache.rs:1117	(heaptuple unit)	MATCH	yes	header macro; compact-attr access lives in heaptuple unit used by nocachegetattr.
att_isnull	syscache.rs:1128	(heaptuple unit)	MATCH	yes	header macro; null-bitmap test inside heap_attisnull (heaptuple unit).
fetch_att	syscache.rs:1136	(heaptuple unit)	MATCH	yes	header macro; byval fetch lives in heaptuple nocachegetattr.
GETSTRUCT	syscache.rs:1186	(deformed access)	MATCH	yes	header macro; Form_* field reads via DeformedColumn / nocachegetattr.
HeapTupleHasNulls	syscache.rs:1194	(heaptuple unit)	MATCH	yes	header macro; subsumed by heap_attisnull path.
HeapTupleNoNulls	syscache.rs:1199	(heaptuple unit)	MATCH	yes	header macro; subsumed.
fastgetattr	syscache.rs:1203	lib.rs:581	MATCH	yes	header macro; the fast byval/non-null path folded into heap_getattr -> nocachegetattr (heaptuple unit).
