function	c2rust_loc	our_loc	verdict	perfect_match(yes|no)	note
fmgr_isbuiltin	fmgr.rs:2738	crates/backend-utils-fmgr-core/src/lib.rs:118	MATCH	yes	
fmgr_lookupByName	fmgr.rs:2750	crates/backend-utils-fmgr-core/src/lib.rs:129	MATCH	yes	
fmgr_info	fmgr.rs:2769	crates/backend-utils-fmgr-core/src/lib.rs:551	MATCH	yes	
fmgr_info_cxt	fmgr.rs:2773	crates/backend-utils-fmgr-core/src/lib.rs:556	MATCH	yes	
fmgr_info_cxt_security	fmgr.rs:2780	crates/backend-utils-fmgr-core/src/lib.rs:565	MATCH	yes	builtin fast path + prolang switch; SQL leg unported callee
fmgr_symbol	fmgr.rs:2946	crates/backend-utils-fmgr-core/src/lib.rs:814	MATCH	yes	
fmgr_info_C_lang	fmgr.rs:3045	crates/backend-utils-fmgr-core/src/lib.rs:724	MATCH	yes	api_version switch kept in-crate
fmgr_info_other_lang	fmgr.rs:3135	crates/backend-utils-fmgr-core/src/lib.rs:786	MATCH	yes	
fetch_finfo_record	fmgr.rs:3205	backend-utils-fmgr-dfmgr-seams	SEAMED	no	dfmgr internals via load_external_function seam
lookup_C_func	fmgr.rs:3348	crates/backend-utils-fmgr-core/src/lib.rs:685	MATCH	yes	
record_C_func	fmgr.rs:3378	crates/backend-utils-fmgr-core/src/lib.rs:702	MATCH	yes	
fmgr_info_copy	fmgr.rs:3427	crates/backend-utils-fmgr-core/src/lib.rs:862	MATCH	yes	
fmgr_internal_function	fmgr.rs:3441	crates/backend-utils-fmgr-core/src/lib.rs:141	MATCH	yes	
fmgr_security_definer	fmgr.rs:3451	crates/backend-utils-fmgr-core/src/lib.rs:1011	MATCH	yes	+1032 body; pgstat usage faithful no-op
DirectFunctionCall1Coll	fmgr.rs:3702	crates/backend-utils-fmgr-core/src/lib.rs:359	MATCH	yes	macro lib.rs:359-369
DirectFunctionCall2Coll	fmgr.rs:3767	crates/backend-utils-fmgr-core/src/lib.rs:359	MATCH	yes	macro
DirectFunctionCall3Coll	fmgr.rs:3839	crates/backend-utils-fmgr-core/src/lib.rs:359	MATCH	yes	macro
DirectFunctionCall4Coll	fmgr.rs:3918	crates/backend-utils-fmgr-core/src/lib.rs:359	MATCH	yes	macro
DirectFunctionCall5Coll	fmgr.rs:4004	crates/backend-utils-fmgr-core/src/lib.rs:359	MATCH	yes	macro
DirectFunctionCall6Coll	fmgr.rs:4097	crates/backend-utils-fmgr-core/src/lib.rs:359	MATCH	yes	macro
DirectFunctionCall7Coll	fmgr.rs:4197	crates/backend-utils-fmgr-core/src/lib.rs:359	MATCH	yes	macro
