function	c2rust_loc	our_loc	verdict	perfect_match(yes|no)	note
ObjectIdGetDatum	miscinit.rs:1488	folded inline	MATCH	yes	postgres.h inline cast (Oid->Datum); idiomatic at call sites
PointerGetDatum	miscinit.rs:1492	folded inline	MATCH	yes	postgres.h inline cast; idiomatic at call sites
__sigbits	miscinit.rs:1500	folded inline	MATCH	yes	signal.h inline (1<<(signo-1)); folded into sigmask handling
GETSTRUCT	miscinit.rs:1514	folded inline	MATCH	yes	htup_details.h inline (tuple data ptr); idiomatic tuple access
pgstat_report_wait_start	miscinit.rs:1530	via pgstat seam	MATCH	yes	wait_event.h inline; reached via pgstat/waitevent seam
pgstat_report_wait_end	miscinit.rs:1534	via pgstat seam	MATCH	yes	wait_event.h inline; reached via pgstat/waitevent seam
InitPostmasterChild	miscinit.rs:1556	lib.rs InitPostmasterChild	MATCH	yes	full child-init sequence; per audit MATCH
InitStandaloneProcess	miscinit.rs:1633	process.rs InitStandaloneProcess	MATCH	yes	seam now ->PgResult; sequence + path resolution + sigmask; find_my_exec failure FATAL
SwitchToSharedLatch	miscinit.rs:1687	lib.rs SwitchToSharedLatch	MATCH	yes	MyLatch=&shared; SetLatch if owned
InitProcessLocalLatch	miscinit.rs:1700	lib.rs InitProcessLocalLatch	MATCH	yes	InitLatch(&LocalLatchData); MyLatch=&LocalLatchData
SwitchBackToLocalLatch	miscinit.rs:1705	lib.rs SwitchBackToLocalLatch	MATCH	yes	MyLatch=&LocalLatchData; ModifyWaitEvent
GetBackendTypeDesc	miscinit.rs:1718	lib.rs GetBackendTypeDesc	MATCH	yes	all 18 strings; B_INVALID->"not initialized"; exhaustive enum match
SetDatabasePath	miscinit.rs:1791	lib.rs SetDatabasePath	MATCH	yes	one-shot Assert(!DatabasePath); MemoryContextStrdup into TopMemoryContext
checkDataDir	miscinit.rs:1795	lib.rs checkDataDir	MATCH	yes	stat ENOENT/other file-access SQLSTATE; S_ISDIR; euid; PG_MODE_MASK_GROUP=0o027; SetDataDirectoryCreatePerm+umask
SetDataDir	miscinit.rs:2016	lib.rs SetDataDir	MATCH	yes	make_absolute_path; free old; set DataDir
ChangeToDataDir	miscinit.rs:2025	lib.rs ChangeToDataDir	MATCH	yes	chdir(DataDir); FATAL on failure with file-access SQLSTATE
GetUserId	miscinit.rs:2069	lib.rs GetUserId	MATCH	yes	Assert OidIsValid(CurrentUserId); return CurrentUserId
GetOuterUserId	miscinit.rs:2073	lib.rs GetOuterUserId	MATCH	yes	Assert valid; return OuterUserId
SetOuterUserId	miscinit.rs:2076	lib.rs SetOuterUserId	MATCH	yes	Assert valid; set OuterUserId + CurrentUserId; superuser flag
GetSessionUserId	miscinit.rs:2091	lib.rs GetSessionUserId	MATCH	yes	Assert valid; return SessionUserId
GetSessionUserIsSuperuser	miscinit.rs:2095	lib.rs GetSessionUserIsSuperuser	MATCH	yes	Assert valid; return SessionUserIsSuperuser
