file	sloc	kani	fuzz	regress	any
crates/backend/utils/adt/bool/src/builtins.rs	103	11	77	0	85
crates/backend/utils/adt/bool/src/lib.rs	101	68	101	0	101
crates/backend/utils/adt/bool/src/tests.rs	0	0	0	0	0
crates/backend/utils/adt/char/src/builtins.rs	53	0	44	0	44
crates/backend/utils/adt/char/src/lib.rs	54	32	54	0	54
crates/backend/utils/adt/char/src/tests.rs	0	0	0	0	0
crates/backend/utils/adt/pg_lsn/src/builtins.rs	76	14	67	0	73
crates/backend/utils/adt/pg_lsn/src/lib.rs	93	26	93	0	93
crates/backend/utils/adt/pg_lsn/src/tests.rs	0	0	0	0	0
crates/backend/utils/adt/pseudotypes/src/builtins.rs	92	51	38	0	81
crates/backend/utils/adt/pseudotypes/src/lib.rs	104	74	51	0	92
crates/backend/utils/adt/pseudotypes/src/tests.rs	0	0	0	0	0
CRATE:crates/backend/utils/adt/bool	204	79	178	0	186
CRATE:crates/backend/utils/adt/char	107	32	98	0	98
CRATE:crates/backend/utils/adt/pg_lsn	169	40	160	0	166
CRATE:crates/backend/utils/adt/pseudotypes	196	125	89	0	173
TOTAL	676	276	525	0	623
