# proofs/coverage-lane-n/network-residual.tsv — adt/network residual adjudication
# (p1-lanen, 2026-07-31). Merge of record: kani capture (proofs/sloc-rule-v2,
# 15/15 harnesses, source unchanged since 69c3c7eb90) UNION fleet fuzz lcov
# (jobs pgrust-fuzz-campaign-1785481804-5bb3-66755 @2d395af5024 + -1785483251-7777-99627
# @3efbbfa104d, 2x10.0M execs, 0 divergences), SLOC v2 tables-excluded.
# IN-SCOPE 1187/1400 = 84.79% measured; 213 residual lines below, all adjudicated;
# 68 lines CARVED out-of-scope (claim scope_note): builtins.rs 291-304
# (network_subset_support - blocked: planner node + port gap, ledger 1173) and
# builtins.rs 310-397 (session_addr/port + client/server quartet - blocked:
# libc FFI + session state, ledger 2196-2199).
# classes:
#   instrument-structural-false-red    - decls/attrs/else/loop/match-arm continuation
#                                        lines llvm-cov leaves unmapped (known class)
#   macro-invocation-unmapped-executed - fc*! macro def+invocation lines; the generated
#                                        wrappers EXECUTE every fleet exec via the fc
#                                        planes (tree-wide fc*! false-UNCOVERED class)
#   const-eval-machinery-unmapped      - const fn/static registry machinery, const-evaluated
#   defensive-c-parity                 - dst/size-guard + cold format-error arms mirroring C
#                                        (inet_net_ntop.c/inet_cidr_ntop.c emsgsize class),
#                                        unreachable through the shipped 50-byte OUT buffer
#                                        and 4/16-byte fenced addrs
#   stateful-sortsupport-carve         - abbrev.rs HLL cardinality estimator (abort()) +
#                                        state struct: stateful sortsupport heuristic,
#                                        documented target skip
#   soft-error-plane-unwired           - builtins.rs:52 network_in escontext soft-Ok(None)
#                                        arm; target drives hard-error plane only. FLAGGED
#                                        follow-up: wire ErrorSaveNode fc plane.
file	line	class	source
crates/backend/utils/adt/network/src/abbrev.rs	3	instrument-structural-false-red	use crate::{InetRef, PGSQL_AF_INET, PGSQL_AF_INET6};
crates/backend/utils/adt/network/src/abbrev.rs	4	instrument-structural-false-red	use hyperloglog::HyperLogLog;
crates/backend/utils/adt/network/src/abbrev.rs	6	instrument-structural-false-red	const ABBREV_BITS_INET4_NETMASK_SIZE: u32 = 6;
crates/backend/utils/adt/network/src/abbrev.rs	7	instrument-structural-false-red	const ABBREV_BITS_INET4_SUBNET: u32 = 25;
crates/backend/utils/adt/network/src/abbrev.rs	9	stateful-sortsupport-carve	pub struct NetworkAbbrevState {
crates/backend/utils/adt/network/src/abbrev.rs	10	stateful-sortsupport-carve	input_count: i64,
crates/backend/utils/adt/network/src/abbrev.rs	11	stateful-sortsupport-carve	estimating: bool,
crates/backend/utils/adt/network/src/abbrev.rs	12	stateful-sortsupport-carve	abbr_card: HyperLogLog,
crates/backend/utils/adt/network/src/abbrev.rs	15	stateful-sortsupport-carve	impl NetworkAbbrevState {
crates/backend/utils/adt/network/src/abbrev.rs	33	instrument-structural-false-red	} else {
crates/backend/utils/adt/network/src/abbrev.rs	45	instrument-structural-false-red	} else {
crates/backend/utils/adt/network/src/abbrev.rs	71	stateful-sortsupport-carve	pub fn abort(&mut self, memtupcount: i32) -> bool {
crates/backend/utils/adt/network/src/abbrev.rs	72	stateful-sortsupport-carve	if memtupcount < 10000 || self.input_count < 10000 || !self.estimating {
crates/backend/utils/adt/network/src/abbrev.rs	73	stateful-sortsupport-carve	return false;
crates/backend/utils/adt/network/src/abbrev.rs	75	stateful-sortsupport-carve	let card = self.abbr_card.estimate();
crates/backend/utils/adt/network/src/abbrev.rs	76	stateful-sortsupport-carve	if card > 100000.0 {
crates/backend/utils/adt/network/src/abbrev.rs	77	stateful-sortsupport-carve	self.estimating = false;
crates/backend/utils/adt/network/src/abbrev.rs	78	stateful-sortsupport-carve	return false;
crates/backend/utils/adt/network/src/abbrev.rs	80	stateful-sortsupport-carve	card < self.input_count as f64 / 2000.0 + 0.5
crates/backend/utils/adt/network/src/abbrev.rs	84	instrument-structural-false-red	impl Default for NetworkAbbrevState {
crates/backend/utils/adt/network/src/builtins.rs	5	instrument-structural-false-red	use std::borrow::Cow;
crates/backend/utils/adt/network/src/builtins.rs	7	instrument-structural-false-red	use ::datum::{Datum, Varlena};
crates/backend/utils/adt/network/src/builtins.rs	8	instrument-structural-false-red	use ::mcx::Mcx;
crates/backend/utils/adt/network/src/builtins.rs	9	instrument-structural-false-red	use ::types_core::Oid;
crates/backend/utils/adt/network/src/builtins.rs	10	instrument-structural-false-red	use ::types_error::PgResult;
