ledger_lineno	file	line	class	author	review	flags
556	crates/backend/utils/adt/pseudotypes/src/builtins.rs	97	platform-other	lane-0a	pending	
557	crates/backend/utils/adt/pseudotypes/src/builtins.rs	98	platform-other	lane-0a	pending	
558	crates/backend/utils/adt/pseudotypes/src/lib.rs	106	platform-other	lane-0a	pending	
559	crates/backend/utils/adt/pseudotypes/src/lib.rs	107	platform-other	lane-0a	pending	
560	crates/backend/utils/adt/pseudotypes/src/lib.rs	108	platform-other	lane-0a	pending	
561	crates/backend/utils/adt/pseudotypes/src/lib.rs	115	platform-other	lane-0a	pending	
562	crates/backend/utils/adt/pseudotypes/src/lib.rs	116	platform-other	lane-0a	pending	
563	crates/backend/utils/adt/pseudotypes/src/lib.rs	117	platform-other	lane-0a	pending	
564	crates/backend/utils/adt/pseudotypes/src/lib.rs	118	platform-other	lane-0a	pending	
565	crates/backend/utils/adt/pseudotypes/src/lib.rs	119	platform-other	lane-0a	pending	
566	crates/backend/utils/adt/pseudotypes/src/lib.rs	120	platform-other	lane-0a	pending	
567	crates/backend/utils/adt/pseudotypes/src/lib.rs	121	platform-other	lane-0a	pending	
568	crates/backend/utils/adt/pseudotypes/src/lib.rs	122	platform-other	lane-0a	pending	
569	crates/backend/utils/adt/pseudotypes/src/lib.rs	123	platform-other	lane-0a	pending	
584	crates/backend/utils/adt/json/src/jsonapi.rs	659	cross-crate-entry	p1-laneab	pending	
585	crates/backend/utils/adt/json/src/jsonapi.rs	660	cross-crate-entry	p1-laneab	pending	
614	crates/backend/utils/adt/json/src/lib.rs	75	cross-crate-entry	p1-laneab	pending	
615	crates/backend/utils/adt/json/src/lib.rs	76	cross-crate-entry	p1-laneab	pending	
616	crates/backend/utils/adt/json/src/lib.rs	77	cross-crate-entry	p1-laneab	pending	
617	crates/backend/utils/adt/json/src/lib.rs	78	cross-crate-entry	p1-laneab	pending	
618	crates/backend/utils/adt/json/src/lib.rs	79	cross-crate-entry	p1-laneab	pending	
619	crates/backend/utils/adt/json/src/lib.rs	80	cross-crate-entry	p1-laneab	pending	
620	crates/backend/utils/adt/json/src/lib.rs	81	cross-crate-entry	p1-laneab	pending	
621	crates/backend/utils/adt/json/src/lib.rs	82	cross-crate-entry	p1-laneab	pending	
622	crates/backend/utils/adt/json/src/lib.rs	84	cross-crate-entry	p1-laneab	pending	
633	crates/backend/utils/adt/json/src/builtins.rs	38	cross-crate-entry	p1-laneab	pending	
634	crates/backend/utils/adt/json/src/builtins.rs	40	cross-crate-entry	p1-laneab	pending	
635	crates/backend/utils/adt/json/src/builtins.rs	41	cross-crate-entry	p1-laneab	pending	
636	crates/backend/utils/adt/json/src/builtins.rs	42	cross-crate-entry	p1-laneab	pending	
836	crates/backend/utils/adt/json/src/tojson.rs	171	cross-crate-entry	p1-laneab	pending	
837	crates/backend/utils/adt/json/src/tojson.rs	172	cross-crate-entry	p1-laneab	pending	
838	crates/backend/utils/adt/json/src/tojson.rs	177	cross-crate-entry	p1-laneab	pending	
839	crates/backend/utils/adt/json/src/tojson.rs	178	cross-crate-entry	p1-laneab	pending	
840	crates/backend/utils/adt/json/src/tojson.rs	179	cross-crate-entry	p1-laneab	pending	
841	crates/backend/utils/adt/json/src/tojson.rs	180	cross-crate-entry	p1-laneab	pending	
842	crates/backend/utils/adt/json/src/tojson.rs	181	cross-crate-entry	p1-laneab	pending	
843	crates/backend/utils/adt/json/src/tojson.rs	182	cross-crate-entry	p1-laneab	pending	
844	crates/backend/utils/adt/json/src/tojson.rs	184	cross-crate-entry	p1-laneab	pending	
845	crates/backend/utils/adt/json/src/tojson.rs	186	cross-crate-entry	p1-laneab	pending	
846	crates/backend/utils/adt/json/src/tojson.rs	187	cross-crate-entry	p1-laneab	pending	
847	crates/backend/utils/adt/json/src/tojson.rs	188	cross-crate-entry	p1-laneab	pending	
848	crates/backend/utils/adt/json/src/tojson.rs	189	cross-crate-entry	p1-laneab	pending	
849	crates/backend/utils/adt/json/src/tojson.rs	190	cross-crate-entry	p1-laneab	pending	
850	crates/backend/utils/adt/json/src/tojson.rs	194	cross-crate-entry	p1-laneab	pending	
851	crates/backend/utils/adt/json/src/tojson.rs	195	cross-crate-entry	p1-laneab	pending	
852	crates/backend/utils/adt/json/src/tojson.rs	196	cross-crate-entry	p1-laneab	pending	
853	crates/backend/utils/adt/json/src/tojson.rs	197	cross-crate-entry	p1-laneab	pending	
854	crates/backend/utils/adt/json/src/tojson.rs	198	cross-crate-entry	p1-laneab	pending	
855	crates/backend/utils/adt/json/src/tojson.rs	199	cross-crate-entry	p1-laneab	pending	
856	crates/backend/utils/adt/json/src/tojson.rs	202	cross-crate-entry	p1-laneab	pending	
857	crates/backend/utils/adt/json/src/tojson.rs	203	cross-crate-entry	p1-laneab	pending	
858	crates/backend/utils/adt/json/src/tojson.rs	204	cross-crate-entry	p1-laneab	pending	
859	crates/backend/utils/adt/json/src/tojson.rs	206	cross-crate-entry	p1-laneab	pending	
860	crates/backend/utils/adt/json/src/tojson.rs	207	cross-crate-entry	p1-laneab	pending	
861	crates/backend/utils/adt/json/src/tojson.rs	208	cross-crate-entry	p1-laneab	pending	
862	crates/backend/utils/adt/json/src/tojson.rs	209	cross-crate-entry	p1-laneab	pending	
863	crates/backend/utils/adt/json/src/tojson.rs	210	cross-crate-entry	p1-laneab	pending	
864	crates/backend/utils/adt/json/src/tojson.rs	211	cross-crate-entry	p1-laneab	pending	
865	crates/backend/utils/adt/json/src/tojson.rs	213	cross-crate-entry	p1-laneab	pending	
866	crates/backend/utils/adt/json/src/tojson.rs	217	cross-crate-entry	p1-laneab	pending	
867	crates/backend/utils/adt/json/src/tojson.rs	218	cross-crate-entry	p1-laneab	pending	
868	crates/backend/utils/adt/json/src/tojson.rs	219	cross-crate-entry	p1-laneab	pending	
869	crates/backend/utils/adt/json/src/tojson.rs	221	cross-crate-entry	p1-laneab	pending	
870	crates/backend/utils/adt/json/src/tojson.rs	222	cross-crate-entry	p1-laneab	pending	
871	crates/backend/utils/adt/json/src/tojson.rs	223	cross-crate-entry	p1-laneab	pending	
872	crates/backend/utils/adt/json/src/tojson.rs	224	cross-crate-entry	p1-laneab	pending	
873	crates/backend/utils/adt/json/src/tojson.rs	225	cross-crate-entry	p1-laneab	pending	
874	crates/backend/utils/adt/json/src/tojson.rs	229	cross-crate-entry	p1-laneab	pending	
875	crates/backend/utils/adt/json/src/tojson.rs	230	cross-crate-entry	p1-laneab	pending	
876	crates/backend/utils/adt/json/src/tojson.rs	231	cross-crate-entry	p1-laneab	pending	
877	crates/backend/utils/adt/json/src/tojson.rs	232	cross-crate-entry	p1-laneab	pending	
878	crates/backend/utils/adt/json/src/tojson.rs	233	cross-crate-entry	p1-laneab	pending	
879	crates/backend/utils/adt/json/src/tojson.rs	235	cross-crate-entry	p1-laneab	pending	
880	crates/backend/utils/adt/json/src/tojson.rs	236	cross-crate-entry	p1-laneab	pending	
881	crates/backend/utils/adt/json/src/tojson.rs	238	cross-crate-entry	p1-laneab	pending	
882	crates/backend/utils/adt/json/src/tojson.rs	239	cross-crate-entry	p1-laneab	pending	
883	crates/backend/utils/adt/json/src/tojson.rs	240	cross-crate-entry	p1-laneab	pending	
884	crates/backend/utils/adt/json/src/tojson.rs	241	cross-crate-entry	p1-laneab	pending	
885	crates/backend/utils/adt/json/src/tojson.rs	242	cross-crate-entry	p1-laneab	pending	
886	crates/backend/utils/adt/json/src/tojson.rs	243	cross-crate-entry	p1-laneab	pending	
887	crates/backend/utils/adt/json/src/tojson.rs	244	cross-crate-entry	p1-laneab	pending	
888	crates/backend/utils/adt/json/src/tojson.rs	245	cross-crate-entry	p1-laneab	pending	
889	crates/backend/utils/adt/json/src/tojson.rs	246	cross-crate-entry	p1-laneab	pending	
890	crates/backend/utils/adt/json/src/tojson.rs	247	cross-crate-entry	p1-laneab	pending	
891	crates/backend/utils/adt/json/src/tojson.rs	249	cross-crate-entry	p1-laneab	pending	
892	crates/backend/utils/adt/json/src/tojson.rs	250	cross-crate-entry	p1-laneab	pending	
893	crates/backend/utils/adt/json/src/tojson.rs	251	cross-crate-entry	p1-laneab	pending	
894	crates/backend/utils/adt/json/src/tojson.rs	253	cross-crate-entry	p1-laneab	pending	
895	crates/backend/utils/adt/json/src/tojson.rs	254	cross-crate-entry	p1-laneab	pending	
896	crates/backend/utils/adt/json/src/tojson.rs	255	cross-crate-entry	p1-laneab	pending	
897	crates/backend/utils/adt/json/src/tojson.rs	256	cross-crate-entry	p1-laneab	pending	
898	crates/backend/utils/adt/json/src/tojson.rs	257	cross-crate-entry	p1-laneab	pending	
899	crates/backend/utils/adt/json/src/tojson.rs	258	cross-crate-entry	p1-laneab	pending	
900	crates/backend/utils/adt/json/src/tojson.rs	259	cross-crate-entry	p1-laneab	pending	
901	crates/backend/utils/adt/json/src/tojson.rs	260	cross-crate-entry	p1-laneab	pending	
902	crates/backend/utils/adt/json/src/tojson.rs	264	cross-crate-entry	p1-laneab	pending	
903	crates/backend/utils/adt/json/src/tojson.rs	266	cross-crate-entry	p1-laneab	pending	
904	crates/backend/utils/adt/json/src/tojson.rs	270	cross-crate-entry	p1-laneab	pending	
905	crates/backend/utils/adt/json/src/tojson.rs	271	cross-crate-entry	p1-laneab	pending	
906	crates/backend/utils/adt/json/src/tojson.rs	272	cross-crate-entry	p1-laneab	pending	
907	crates/backend/utils/adt/json/src/tojson.rs	273	cross-crate-entry	p1-laneab	pending	
908	crates/backend/utils/adt/json/src/tojson.rs	274	cross-crate-entry	p1-laneab	pending	
909	crates/backend/utils/adt/json/src/tojson.rs	275	cross-crate-entry	p1-laneab	pending	
910	crates/backend/utils/adt/json/src/tojson.rs	276	cross-crate-entry	p1-laneab	pending	
911	crates/backend/utils/adt/json/src/tojson.rs	277	cross-crate-entry	p1-laneab	pending	
912	crates/backend/utils/adt/json/src/tojson.rs	280	cross-crate-entry	p1-laneab	pending	
913	crates/backend/utils/adt/json/src/tojson.rs	281	cross-crate-entry	p1-laneab	pending	
914	crates/backend/utils/adt/json/src/tojson.rs	282	cross-crate-entry	p1-laneab	pending	
915	crates/backend/utils/adt/json/src/tojson.rs	283	cross-crate-entry	p1-laneab	pending	
916	crates/backend/utils/adt/json/src/tojson.rs	284	cross-crate-entry	p1-laneab	pending	
917	crates/backend/utils/adt/json/src/tojson.rs	285	cross-crate-entry	p1-laneab	pending	
918	crates/backend/utils/adt/json/src/tojson.rs	286	cross-crate-entry	p1-laneab	pending	
919	crates/backend/utils/adt/json/src/tojson.rs	287	cross-crate-entry	p1-laneab	pending	
920	crates/backend/utils/adt/json/src/tojson.rs	288	cross-crate-entry	p1-laneab	pending	
921	crates/backend/utils/adt/json/src/tojson.rs	289	cross-crate-entry	p1-laneab	pending	
2092	crates/backend/utils/adt/float/src/io.rs	559	instrument-unmappable	excreview-flagfix	pending	E4-measured
2093	crates/backend/utils/adt/float/src/io.rs	629	instrument-unmappable	excreview-flagfix	pending	
2094	crates/backend/utils/adt/float/src/io.rs	344	defensive-c-parity	excreview-flagfix	pending	E4-measured
4655	crates/common/wchar/src/lib.rs	1161	platform-other	p1-laneah	pending	
4656	crates/common/wchar/src/lib.rs	1165	platform-other	p1-laneah	pending	
4657	crates/common/wchar/src/lib.rs	1166	platform-other	p1-laneah	pending	
4658	crates/common/wchar/src/lib.rs	1167	platform-other	p1-laneah	pending	
4659	crates/common/wchar/src/lib.rs	1168	platform-other	p1-laneah	pending	
4660	crates/common/wchar/src/lib.rs	1169	platform-other	p1-laneah	pending	
4661	crates/common/wchar/src/lib.rs	1170	platform-other	p1-laneah	pending	
4662	crates/common/wchar/src/lib.rs	1176	platform-other	p1-laneah	pending	
4663	crates/common/wchar/src/lib.rs	1179	platform-other	p1-laneah	pending	
4664	crates/common/wchar/src/lib.rs	1180	platform-other	p1-laneah	pending	
4665	crates/common/wchar/src/lib.rs	1181	platform-other	p1-laneah	pending	
4666	crates/common/wchar/src/lib.rs	1182	platform-other	p1-laneah	pending	
4667	crates/common/wchar/src/lib.rs	1183	platform-other	p1-laneah	pending	
4668	crates/common/wchar/src/lib.rs	1184	platform-other	p1-laneah	pending	
4669	crates/common/wchar/src/lib.rs	1185	platform-other	p1-laneah	pending	
4670	crates/common/wchar/src/lib.rs	1186	platform-other	p1-laneah	pending	
4671	crates/common/wchar/src/lib.rs	1188	platform-other	p1-laneah	pending	
4939	crates/backend/utils/adt/jsonb/src/builtins.rs	53	cross-crate-entry	p1-lanev	pending	
4940	crates/backend/utils/adt/jsonb/src/builtins.rs	54	cross-crate-entry	p1-lanev	pending	
4941	crates/backend/utils/adt/jsonb/src/builtins.rs	55	cross-crate-entry	p1-lanev	pending	
4942	crates/backend/utils/adt/jsonb/src/builtins.rs	56	cross-crate-entry	p1-lanev	pending	
4943	crates/backend/utils/adt/jsonb/src/builtins.rs	57	cross-crate-entry	p1-lanev	pending	
4944	crates/backend/utils/adt/jsonb/src/builtins.rs	58	cross-crate-entry	p1-lanev	pending	
4945	crates/backend/utils/adt/jsonb/src/builtins.rs	59	cross-crate-entry	p1-lanev	pending	
4946	crates/backend/utils/adt/jsonb/src/builtins.rs	61	cross-crate-entry	p1-lanev	pending	
5114	crates/backend/utils/adt/jsonb/src/container.rs	66	cross-crate-entry	p1-lanev	pending	
5115	crates/backend/utils/adt/jsonb/src/container.rs	67	cross-crate-entry	p1-lanev	pending	
5116	crates/backend/utils/adt/jsonb/src/container.rs	68	cross-crate-entry	p1-lanev	pending	
5117	crates/backend/utils/adt/jsonb/src/container.rs	69	cross-crate-entry	p1-lanev	pending	
5118	crates/backend/utils/adt/jsonb/src/container.rs	71	cross-crate-entry	p1-lanev	pending	
5166	crates/backend/utils/adt/jsonb/src/iter.rs	183	cross-crate-entry	p1-lanev	pending	
5167	crates/backend/utils/adt/jsonb/src/iter.rs	184	cross-crate-entry	p1-lanev	pending	
5195	crates/backend/utils/adt/jsonb/src/mutate.rs	327	cross-crate-entry	p1-lanev	pending	
6175	crates/backend/utils/adt/adt_timestamp/src/lib.rs	1282	debug-only	p1-laney	pending	
6176	crates/backend/utils/adt/adt_timestamp/src/lib.rs	1283	debug-only	p1-laney	pending	
6177	crates/backend/utils/adt/adt_timestamp/src/lib.rs	1284	debug-only	p1-laney	pending	
6178	crates/backend/utils/adt/adt_timestamp/src/lib.rs	1285	debug-only	p1-laney	pending	
6179	crates/backend/utils/adt/adt_timestamp/src/lib.rs	1286	debug-only	p1-laney	pending	
6421	crates/backend/utils/adt/jsonpath/src/path.rs	434	platform-other	p1-laneaa	pending	
6465	crates/backend/utils/adt/jsonpath/src/path.rs	710	platform-other	p1-laneaa	pending	
7369	crates/backend/utils/adt/char/src/builtins.rs	18	proof-covered-unmeasured	lane-0a (banked by evidence-bank 2026-07-31)	pending	E4-measured
7370	crates/backend/utils/adt/char/src/builtins.rs	19	proof-covered-unmeasured	lane-0a (banked by evidence-bank 2026-07-31)	pending	E4-measured
7371	crates/backend/utils/adt/char/src/builtins.rs	20	proof-covered-unmeasured	lane-0a (banked by evidence-bank 2026-07-31)	pending	E4-measured
7372	crates/backend/utils/adt/char/src/builtins.rs	21	proof-covered-unmeasured	lane-0a (banked by evidence-bank 2026-07-31)	pending	E4-measured
7373	crates/backend/utils/adt/char/src/builtins.rs	22	proof-covered-unmeasured	lane-0a (banked by evidence-bank 2026-07-31)	pending	E4-measured
7374	crates/backend/utils/adt/char/src/builtins.rs	23	proof-covered-unmeasured	lane-0a (banked by evidence-bank 2026-07-31)	pending	E4-measured
7375	crates/backend/utils/adt/varlena/src/string_agg.rs	28	excluded-state	p1-lanes (banked by evidence-bank 2026-07-31)	pending	
7376	crates/backend/utils/adt/varlena/src/string_agg.rs	31	excluded-state	p1-lanes (banked by evidence-bank 2026-07-31)	pending	
7377	crates/backend/utils/adt/varlena/src/string_agg.rs	34	excluded-state	p1-lanes (banked by evidence-bank 2026-07-31)	pending	
7378	crates/backend/utils/adt/varlena/src/string_agg.rs	35	excluded-state	p1-lanes (banked by evidence-bank 2026-07-31)	pending	
7379	crates/backend/utils/adt/varlena/src/string_agg.rs	36	excluded-state	p1-lanes (banked by evidence-bank 2026-07-31)	pending	
7380	crates/backend/utils/adt/varlena/src/string_agg.rs	37	excluded-state	p1-lanes (banked by evidence-bank 2026-07-31)	pending	
7381	crates/backend/utils/adt/varlena/src/string_agg.rs	38	excluded-state	p1-lanes (banked by evidence-bank 2026-07-31)	pending	
7382	crates/backend/utils/adt/varlena/src/string_agg.rs	39	excluded-state	p1-lanes (banked by evidence-bank 2026-07-31)	pending	
7383	crates/backend/utils/adt/varlena/src/string_agg.rs	41	excluded-state	p1-lanes (banked by evidence-bank 2026-07-31)	pending	
7384	crates/backend/utils/adt/varlena/src/string_agg.rs	42	excluded-state	p1-lanes (banked by evidence-bank 2026-07-31)	pending	
7385	crates/backend/utils/adt/varlena/src/string_agg.rs	43	excluded-state	p1-lanes (banked by evidence-bank 2026-07-31)	pending	
7386	crates/backend/utils/adt/varlena/src/string_agg.rs	44	excluded-state	p1-lanes (banked by evidence-bank 2026-07-31)	pending	
7387	crates/backend/utils/adt/varlena/src/string_agg.rs	45	excluded-state	p1-lanes (banked by evidence-bank 2026-07-31)	pending	
7388	crates/backend/utils/adt/varlena/src/string_agg.rs	46	excluded-state	p1-lanes (banked by evidence-bank 2026-07-31)	pending	
7389	crates/backend/utils/adt/varlena/src/string_agg.rs	49	excluded-state	p1-lanes (banked by evidence-bank 2026-07-31)	pending	
7390	crates/backend/utils/adt/varlena/src/string_agg.rs	50	excluded-state	p1-lanes (banked by evidence-bank 2026-07-31)	pending	
7391	crates/backend/utils/adt/varlena/src/string_agg.rs	51	excluded-state	p1-lanes (banked by evidence-bank 2026-07-31)	pending	
7392	crates/backend/utils/adt/varlena/src/string_agg.rs	55	excluded-state	p1-lanes (banked by evidence-bank 2026-07-31)	pending	
7393	crates/backend/utils/adt/varlena/src/string_agg.rs	56	excluded-state	p1-lanes (banked by evidence-bank 2026-07-31)	pending	
7394	crates/backend/utils/adt/varlena/src/string_agg.rs	57	excluded-state	p1-lanes (banked by evidence-bank 2026-07-31)	pending	
7395	crates/backend/utils/adt/varlena/src/string_agg.rs	58	excluded-state	p1-lanes (banked by evidence-bank 2026-07-31)	pending	
7396	crates/backend/utils/adt/varlena/src/string_agg.rs	61	excluded-state	p1-lanes (banked by evidence-bank 2026-07-31)	pending	
7397	crates/backend/utils/adt/varlena/src/string_agg.rs	62	excluded-state	p1-lanes (banked by evidence-bank 2026-07-31)	pending	
7398	crates/backend/utils/adt/varlena/src/string_agg.rs	69	excluded-state	p1-lanes (banked by evidence-bank 2026-07-31)	pending	
7399	crates/backend/utils/adt/varlena/src/string_agg.rs	70	excluded-state	p1-lanes (banked by evidence-bank 2026-07-31)	pending	
7400	crates/backend/utils/adt/varlena/src/string_agg.rs	76	excluded-state	p1-lanes (banked by evidence-bank 2026-07-31)	pending	
7401	crates/backend/utils/adt/varlena/src/string_agg.rs	77	excluded-state	p1-lanes (banked by evidence-bank 2026-07-31)	pending	
7402	crates/backend/utils/adt/varlena/src/string_agg.rs	80	excluded-state	p1-lanes (banked by evidence-bank 2026-07-31)	pending	
7403	crates/backend/utils/adt/varlena/src/string_agg.rs	81	excluded-state	p1-lanes (banked by evidence-bank 2026-07-31)	pending	
