family	suite_harness	kani_harness	rc	wall_s	verdict	status	kaniraw_new
datetime-b	proofs::cover_intervaltypmodout_prec_bands	proofs::cover_intervaltypmodout_prec_bands	0	1	VERIFICATION:- SUCCESSFUL	RAN	1
datetime-b	proofs::eq_interval_avg_accum_core	proofs::eq_interval_avg_accum_core	0	4	VERIFICATION:- SUCCESSFUL	RAN	1
datetime-b	proofs::eq_interval_avg_fc_conflict	proofs::eq_interval_avg_fc_conflict	0	5	VERIFICATION:- SUCCESSFUL	RAN	1
datetime-b	proofs::eq_interval_avg_fc_empty	proofs::eq_interval_avg_fc_empty	0	4	VERIFICATION:- SUCCESSFUL	RAN	1
datetime-b	proofs::eq_interval_avg_fc_ninf	proofs::eq_interval_avg_fc_ninf	0	6	VERIFICATION:- SUCCESSFUL	RAN	1
datetime-b	proofs::eq_interval_avg_fc_pinf	proofs::eq_interval_avg_fc_pinf	0	6	VERIFICATION:- SUCCESSFUL	RAN	1
datetime-b	proofs::eq_intervaltypmodin_n0	proofs::eq_intervaltypmodin_n0	0	4	VERIFICATION:- SUCCESSFUL	RAN	1
datetime-b	proofs::eq_intervaltypmodin_n1	proofs::eq_intervaltypmodin_n1	0	4	VERIFICATION:- SUCCESSFUL	RAN	1
datetime-b	proofs::eq_intervaltypmodin_n2	proofs::eq_intervaltypmodin_n2	0	5	VERIFICATION:- SUCCESSFUL	RAN	1
datetime-b	proofs::eq_intervaltypmodin_n3	proofs::eq_intervaltypmodin_n3	0	4	VERIFICATION:- SUCCESSFUL	RAN	1
datetime-b	proofs::eq_intervaltypmodout_fieldstr_fullprec	proofs::eq_intervaltypmodout_fieldstr_fullprec	0	7	VERIFICATION:- SUCCESSFUL	RAN	1
datetime-b	proofs::eq_intervaltypmodout_fullrange_prec_d2	proofs::eq_intervaltypmodout_fullrange_prec_d2	0	6	VERIFICATION:- SUCCESSFUL	RAN	1
datetime-b	proofs::eq_intervaltypmodout_prec_d1	proofs::eq_intervaltypmodout_prec_d1	0	6	VERIFICATION:- SUCCESSFUL	RAN	1
datetime-b	proofs::eq_intervaltypmodout_prec_d2	proofs::eq_intervaltypmodout_prec_d2	0	7	VERIFICATION:- SUCCESSFUL	RAN	1
datetime-b	proofs::eq_intervaltypmodout_prec_d3	proofs::eq_intervaltypmodout_prec_d3	0	8	VERIFICATION:- SUCCESSFUL	RAN	1
datetime-b	proofs::eq_intervaltypmodout_prec_d4	proofs::eq_intervaltypmodout_prec_d4	0	10	VERIFICATION:- SUCCESSFUL	RAN	1
datetime-b	proofs::eq_intervaltypmodout_prec_d5	proofs::eq_intervaltypmodout_prec_d5	0	9	VERIFICATION:- SUCCESSFUL	RAN	1
datetime-b	proofs::spot_interval_avg_fc_mean	proofs::spot_interval_avg_fc_mean	0	6	VERIFICATION:- SUCCESSFUL	RAN	1
datetime-b	rem::eq_date_mi_interval_nobegin	rem::eq_date_mi_interval_nobegin	0	8	VERIFICATION:- SUCCESSFUL	RAN	1
datetime-b	rem::eq_date_mi_interval_noend	rem::eq_date_mi_interval_noend	0	8	VERIFICATION:- SUCCESSFUL	RAN	1
datetime-b	rem::eq_date_pl_interval_nobegin	rem::eq_date_pl_interval_nobegin	0	15	VERIFICATION:- SUCCESSFUL	RAN	1
datetime-b	rem::eq_date_pl_interval_noend	rem::eq_date_pl_interval_noend	0	7	VERIFICATION:- SUCCESSFUL	RAN	1
datetime-b	rem::eq_f8tstz_nonfinite	rem::eq_f8tstz_nonfinite	0	3	VERIFICATION:- SUCCESSFUL	RAN	1
datetime-b	rem::eq_f8tstz_range_reject	rem::eq_f8tstz_range_reject	0	3	VERIFICATION:- SUCCESSFUL	RAN	1
datetime-b	rem::eq_tstypmodin_check	rem::eq_tstypmodin_check	0	5	VERIFICATION:- SUCCESSFUL	RAN	1
datetime-b	rem::eq_tstztypmodin_check	rem::eq_tstztypmodin_check	0	5	VERIFICATION:- SUCCESSFUL	RAN	1
datetime-b	rem::spot_f8tstz_value	rem::spot_f8tstz_value	0	3	VERIFICATION:- SUCCESSFUL	RAN	1
