family	suite_harness	kani_harness	rc	wall_s	verdict	status	kaniraw_new
datetime-cmp	arith_proofs::eq_date_mii	arith_proofs::eq_date_mii	0	4	VERIFICATION:- SUCCESSFUL	RAN	1
datetime-cmp	arith_proofs::eq_date_pli	arith_proofs::eq_date_pli	0	4	VERIFICATION:- SUCCESSFUL	RAN	1
datetime-cmp	arith_proofs::eq_interval_mi	arith_proofs::eq_interval_mi	0	14	VERIFICATION:- SUCCESSFUL	RAN	1
datetime-cmp	arith_proofs::eq_interval_pl	arith_proofs::eq_interval_pl	0	12	VERIFICATION:- SUCCESSFUL	RAN	1
datetime-cmp	arith_proofs::eq_interval_um	arith_proofs::eq_interval_um	0	9	VERIFICATION:- SUCCESSFUL	RAN	1
datetime-cmp	arith_proofs::eq_timestamp_mi_interval_m0d0	arith_proofs::eq_timestamp_mi_interval_m0d0	0	7	VERIFICATION:- SUCCESSFUL	RAN	1
datetime-cmp	arith_proofs::eq_timestamp_mi_interval_nobegin	arith_proofs::eq_timestamp_mi_interval_nobegin	0	5	VERIFICATION:- SUCCESSFUL	RAN	1
datetime-cmp	arith_proofs::eq_timestamp_mi_interval_noend	arith_proofs::eq_timestamp_mi_interval_noend	0	5	VERIFICATION:- SUCCESSFUL	RAN	1
datetime-cmp	arith_proofs::eq_timestamp_pl_interval_m0d0	arith_proofs::eq_timestamp_pl_interval_m0d0	0	6	VERIFICATION:- SUCCESSFUL	RAN	1
datetime-cmp	arith_proofs::eq_timestamp_pl_interval_nobegin	arith_proofs::eq_timestamp_pl_interval_nobegin	0	8	VERIFICATION:- SUCCESSFUL	RAN	1
datetime-cmp	arith_proofs::eq_timestamp_pl_interval_noend	arith_proofs::eq_timestamp_pl_interval_noend	0	4	VERIFICATION:- SUCCESSFUL	RAN	1
datetime-cmp	arith_proofs::spot_time_pl_mi_interval	arith_proofs::spot_time_pl_mi_interval	0	19	VERIFICATION:- SUCCESSFUL	RAN	1
datetime-cmp	arith_proofs::spot_timestamp_mi	arith_proofs::spot_timestamp_mi	0	21	VERIFICATION:- SUCCESSFUL	RAN	1
datetime-cmp	arith_proofs::spot_timetz_pl_mi_interval	arith_proofs::spot_timetz_pl_mi_interval	0	23	VERIFICATION:- SUCCESSFUL	RAN	1
datetime-cmp	native_diff_dividers	proofs::native_diff_dividers	-	0	NAME-UNRESOLVED	FAILED-TO-RUN	0
datetime-cmp	proofs::eq_date_cmp	proofs::eq_date_cmp	0	1	VERIFICATION:- SUCCESSFUL	RAN	1
