family	suite_harness	kani_harness	rc	wall_s	verdict	status	kaniraw_new
network	arith_proofs::cover_arith_family_cases	arith_proofs::cover_arith_family_cases	0	1	VERIFICATION:- SUCCESSFUL	RAN	1
network	arith_proofs::cover_inetmi_arms	arith_proofs::cover_inetmi_arms	0	6	VERIFICATION:- SUCCESSFUL	RAN	1
network	arith_proofs::cover_inetpl_arms	arith_proofs::cover_inetpl_arms	0	1	VERIFICATION:- SUCCESSFUL	RAN	1
network	arith_proofs::cover_set_masklen_arms	arith_proofs::cover_set_masklen_arms	0	1	VERIFICATION:- SUCCESSFUL	RAN	1
network	arith_proofs::eq_cidr_set_masklen	arith_proofs::eq_cidr_set_masklen	0	3	VERIFICATION:- SUCCESSFUL	RAN	1
network	arith_proofs::eq_hashinet_v4	arith_proofs::eq_hashinet_v4	0	3	VERIFICATION:- SUCCESSFUL	RAN	1
network	arith_proofs::eq_hashinet_v6	arith_proofs::eq_hashinet_v6	0	4	VERIFICATION:- SUCCESSFUL	RAN	1
network	arith_proofs::eq_hashinetextended_v4	arith_proofs::eq_hashinetextended_v4	0	4	VERIFICATION:- SUCCESSFUL	RAN	1
network	arith_proofs::eq_hashinetextended_v6	arith_proofs::eq_hashinetextended_v6	0	7	VERIFICATION:- SUCCESSFUL	RAN	1
network	arith_proofs::eq_inet_set_masklen	arith_proofs::eq_inet_set_masklen	0	3	VERIFICATION:- SUCCESSFUL	RAN	1
network	arith_proofs::eq_inet_to_cidr	arith_proofs::eq_inet_to_cidr	0	2	VERIFICATION:- SUCCESSFUL	RAN	1
network	arith_proofs::eq_inetmi_v4	arith_proofs::eq_inetmi_v4	0	1	VERIFICATION:- SUCCESSFUL	RAN	1
network	arith_proofs::eq_inetmi_v6	arith_proofs::eq_inetmi_v6	0	3	VERIFICATION:- SUCCESSFUL	RAN	1
network	arith_proofs::eq_inetmi_xf	arith_proofs::eq_inetmi_xf	0	3	VERIFICATION:- SUCCESSFUL	RAN	1
network	bitncmp_equiv	proofs::bitncmp_equiv	0	8	VERIFICATION:- SUCCESSFUL	RAN	1
network	bitncommon_equiv	proofs::bitncommon_equiv	0	5	VERIFICATION:- SUCCESSFUL	RAN	1
network	eq_inet_merge	op_proofs::eq_inet_merge	0	13	VERIFICATION:- SUCCESSFUL	RAN	1
network	eq_inet_same_family	op_proofs::eq_inet_same_family	0	5	VERIFICATION:- SUCCESSFUL	RAN	1
network	eq_inetnot	op_proofs::eq_inetnot	0	4	VERIFICATION:- SUCCESSFUL	RAN	1
network	eq_network_cmp_v4	op_proofs::eq_network_cmp_v4	0	10	VERIFICATION:- SUCCESSFUL	RAN	1
network	eq_network_cmp_v6	op_proofs::eq_network_cmp_v6	0	17	VERIFICATION:- SUCCESSFUL	RAN	1
network	eq_network_cmp_xf	op_proofs::eq_network_cmp_xf	0	11	VERIFICATION:- SUCCESSFUL	RAN	1
network	eq_network_larger_v4	op_proofs::eq_network_larger_v4	0	12	VERIFICATION:- SUCCESSFUL	RAN	1
network	eq_network_larger_v6	op_proofs::eq_network_larger_v6	0	17	VERIFICATION:- SUCCESSFUL	RAN	1
network	eq_network_larger_xf	op_proofs::eq_network_larger_xf	0	17	VERIFICATION:- SUCCESSFUL	RAN	1
network	eq_network_network	op_proofs::eq_network_network	0	1	VERIFICATION:- SUCCESSFUL	RAN	1
network	eq_network_smaller_v4	op_proofs::eq_network_smaller_v4	0	11	VERIFICATION:- SUCCESSFUL	RAN	1
network	eq_network_smaller_v6	op_proofs::eq_network_smaller_v6	0	18	VERIFICATION:- SUCCESSFUL	RAN	1
network	eq_network_smaller_xf	op_proofs::eq_network_smaller_xf	0	17	VERIFICATION:- SUCCESSFUL	RAN	1
network	recvsend_proofs::cover_recv_arms	recvsend_proofs::cover_recv_arms	0	2	VERIFICATION:- SUCCESSFUL	RAN	1
network	recvsend_proofs::cover_send_family_cases	recvsend_proofs::cover_send_family_cases	0	1	VERIFICATION:- SUCCESSFUL	RAN	1
