family	suite_harness	kani_harness	rc	wall_s	verdict	status	kaniraw_new
typcache-inst	proofs::eq_elem_contained_by_daterange	proofs::eq_elem_contained_by_daterange	0	11	VERIFICATION:- SUCCESSFUL	RAN	1
typcache-inst	proofs::eq_elem_contained_by_int4range	proofs::eq_elem_contained_by_int4range	0	10	VERIFICATION:- SUCCESSFUL	RAN	1
typcache-inst	proofs::eq_elem_contained_by_int8range	proofs::eq_elem_contained_by_int8range	0	12	VERIFICATION:- SUCCESSFUL	RAN	1
typcache-inst	proofs::eq_range_after_daterange	proofs::eq_range_after_daterange	0	21	VERIFICATION:- SUCCESSFUL	RAN	1
typcache-inst	proofs::eq_range_after_int4range	proofs::eq_range_after_int4range	0	18	VERIFICATION:- SUCCESSFUL	RAN	1
typcache-inst	proofs::eq_range_after_int8range	proofs::eq_range_after_int8range	0	23	VERIFICATION:- SUCCESSFUL	RAN	1
typcache-inst	proofs::eq_range_before_daterange	proofs::eq_range_before_daterange	0	20	VERIFICATION:- SUCCESSFUL	RAN	1
typcache-inst	proofs::eq_range_before_int4range	proofs::eq_range_before_int4range	0	19	VERIFICATION:- SUCCESSFUL	RAN	1
typcache-inst	proofs::eq_range_before_int8range	proofs::eq_range_before_int8range	0	23	VERIFICATION:- SUCCESSFUL	RAN	1
typcache-inst	proofs::eq_range_cmp_daterange	proofs::eq_range_cmp_daterange	0	26	VERIFICATION:- SUCCESSFUL	RAN	1
typcache-inst	proofs::eq_range_cmp_int4range	proofs::eq_range_cmp_int4range	0	24	VERIFICATION:- SUCCESSFUL	RAN	1
typcache-inst	proofs::eq_range_cmp_int8range	proofs::eq_range_cmp_int8range	0	30	VERIFICATION:- SUCCESSFUL	RAN	1
typcache-inst	proofs::eq_range_contained_by_daterange	proofs::eq_range_contained_by_daterange	0	25	VERIFICATION:- SUCCESSFUL	RAN	1
typcache-inst	proofs::eq_range_contained_by_int4range	proofs::eq_range_contained_by_int4range	0	23	VERIFICATION:- SUCCESSFUL	RAN	1
typcache-inst	proofs::eq_range_contained_by_int8range	proofs::eq_range_contained_by_int8range	0	29	VERIFICATION:- SUCCESSFUL	RAN	1
typcache-inst	proofs::eq_range_contains_daterange	proofs::eq_range_contains_daterange	0	25	VERIFICATION:- SUCCESSFUL	RAN	1
typcache-inst	proofs::eq_range_contains_elem_daterange	proofs::eq_range_contains_elem_daterange	0	12	VERIFICATION:- SUCCESSFUL	RAN	1
typcache-inst	proofs::eq_range_contains_elem_int4range	proofs::eq_range_contains_elem_int4range	0	9	VERIFICATION:- SUCCESSFUL	RAN	1
typcache-inst	proofs::eq_range_contains_elem_int8range	proofs::eq_range_contains_elem_int8range	0	15	VERIFICATION:- SUCCESSFUL	RAN	1
typcache-inst	proofs::eq_range_contains_int4range	proofs::eq_range_contains_int4range	0	23	VERIFICATION:- SUCCESSFUL	RAN	1
typcache-inst	proofs::eq_range_contains_int8range	proofs::eq_range_contains_int8range	0	28	VERIFICATION:- SUCCESSFUL	RAN	1
typcache-inst	proofs::eq_range_empty_daterange	proofs::eq_range_empty_daterange	0	4	VERIFICATION:- SUCCESSFUL	RAN	1
typcache-inst	proofs::eq_range_empty_int4range	proofs::eq_range_empty_int4range	0	3	VERIFICATION:- SUCCESSFUL	RAN	1
typcache-inst	proofs::eq_range_empty_int8range	proofs::eq_range_empty_int8range	0	4	VERIFICATION:- SUCCESSFUL	RAN	1
typcache-inst	proofs::eq_range_eq_daterange	proofs::eq_range_eq_daterange	0	25	VERIFICATION:- SUCCESSFUL	RAN	1
typcache-inst	proofs::eq_range_eq_int4range	proofs::eq_range_eq_int4range	0	28	VERIFICATION:- SUCCESSFUL	RAN	1
typcache-inst	proofs::eq_range_eq_int8range	proofs::eq_range_eq_int8range	0	69	VERIFICATION:- SUCCESSFUL	RAN	1
typcache-inst	proofs::eq_range_ge_daterange	proofs::eq_range_ge_daterange	0	27	VERIFICATION:- SUCCESSFUL	RAN	1
typcache-inst	proofs::eq_range_ge_int4range	proofs::eq_range_ge_int4range	0	23	VERIFICATION:- SUCCESSFUL	RAN	1
typcache-inst	proofs::eq_range_ge_int8range	proofs::eq_range_ge_int8range	0	32	VERIFICATION:- SUCCESSFUL	RAN	1
