family	suite_harness	kani_harness	rc	wall_s	verdict	status	kaniraw_new
varbit-rows	cover_w10_scalar_arms	proofs_w10::cover_w10_scalar_arms	0	1	VERIFICATION:- SUCCESSFUL	RAN	1
varbit-rows	eq_anybit_typmodin	proofs_w10::eq_anybit_typmodin	0	3	VERIFICATION:- SUCCESSFUL	RAN	1
varbit-rows	eq_bit_and	proofs::eq_bit_and	0	8	VERIFICATION:- SUCCESSFUL	RAN	1
varbit-rows	eq_bit_bit_count	proofs_w10::eq_bit_bit_count	0	6	VERIFICATION:- SUCCESSFUL	RAN	1
varbit-rows	eq_bit_logic_verdict	proofs::eq_bit_logic_verdict	0	3	VERIFICATION:- SUCCESSFUL	RAN	1
varbit-rows	eq_bit_or	proofs::eq_bit_or	0	8	VERIFICATION:- SUCCESSFUL	RAN	1
varbit-rows	eq_bitcmp	proofs::eq_bitcmp	0	5	VERIFICATION:- SUCCESSFUL	RAN	1
varbit-rows	eq_biteq	proofs::eq_biteq	0	8	VERIFICATION:- SUCCESSFUL	RAN	1
varbit-rows	eq_bitge	proofs::eq_bitge	0	5	VERIFICATION:- SUCCESSFUL	RAN	1
varbit-rows	eq_bitgetbit	proofs_w10::eq_bitgetbit	0	4	VERIFICATION:- SUCCESSFUL	RAN	1
varbit-rows	eq_bitgt	proofs::eq_bitgt	0	4	VERIFICATION:- SUCCESSFUL	RAN	1
varbit-rows	eq_bitle	proofs::eq_bitle	0	5	VERIFICATION:- SUCCESSFUL	RAN	1
varbit-rows	eq_bitlength_octetlength	proofs::eq_bitlength_octetlength	0	3	VERIFICATION:- SUCCESSFUL	RAN	1
varbit-rows	eq_bitlt	proofs::eq_bitlt	0	5	VERIFICATION:- SUCCESSFUL	RAN	1
varbit-rows	eq_bitne	proofs::eq_bitne	0	5	VERIFICATION:- SUCCESSFUL	RAN	1
varbit-rows	eq_bitnot	proofs::eq_bitnot	0	6	VERIFICATION:- SUCCESSFUL	RAN	1
varbit-rows	eq_bitposition_p_empty_str	proofs_w10::eq_bitposition_p_empty_str	0	3	VERIFICATION:- SUCCESSFUL	RAN	1
varbit-rows	eq_bitposition_p_empty_sub	proofs_w10::eq_bitposition_p_empty_sub	0	3	VERIFICATION:- SUCCESSFUL	RAN	1
varbit-rows	eq_bitposition_p_long_sub	proofs_w10::eq_bitposition_p_long_sub	0	2	VERIFICATION:- SUCCESSFUL	RAN	1
varbit-rows	eq_bitposition_y1_1	proofs_w10::eq_bitposition_y1_1	0	4	VERIFICATION:- SUCCESSFUL	RAN	1
varbit-rows	eq_bitposition_y2_1	proofs_w10::eq_bitposition_y2_1	0	6	VERIFICATION:- SUCCESSFUL	RAN	1
varbit-rows	eq_bitposition_y3_2	proofs_w10::eq_bitposition_y3_2	0	7	VERIFICATION:- SUCCESSFUL	RAN	1
varbit-rows	eq_bitshiftleft	proofs::eq_bitshiftleft	0	10	VERIFICATION:- SUCCESSFUL	RAN	1
varbit-rows	eq_bitshiftright	proofs::eq_bitshiftright	0	11	VERIFICATION:- SUCCESSFUL	RAN	1
varbit-rows	eq_bittoint4	proofs::eq_bittoint4	0	4	VERIFICATION:- SUCCESSFUL	RAN	1
varbit-rows	eq_bittoint8	proofs::eq_bittoint8	0	4	VERIFICATION:- SUCCESSFUL	RAN	1
varbit-rows	eq_bitxor	proofs::eq_bitxor	0	7	VERIFICATION:- SUCCESSFUL	RAN	1
