# auto-exceptions.tsv — MECHANICALLY classified instrument-unmappable residual lines.
# Generated by proofs/coverage/auto_exceptions.py; classes licensed by proofs/coverage/rig-auto-classes.py (GREEN required).
# DISTINCT from hand-adjudicated exception rows: an auto: row is a measurement note (the
# instrument emits no mapping for the line), NOT a semantic adjudication. Rows here need
# no PR review to exist, but they never move a line out of any denominator.
file	line	class	rule	evidence
crates/backend/utils/mb/conv/src/cyrillic_and_mic.rs	76	auto:macro-inv-cont	head/argument line of a multi-line paren-form generator-macro invocation — expansion spans land in the macro definition body (rig-auto-classes: macro-inv-cont)	shape rig-verified; line table has no DA at 76
crates/backend/utils/mb/conv/src/cyrillic_and_mic.rs	77	auto:macro-inv-cont	head/argument line of a multi-line paren-form generator-macro invocation — expansion spans land in the macro definition body (rig-auto-classes: macro-inv-cont)	shape rig-verified; line table has no DA at 77
crates/backend/utils/mb/conv/src/cyrillic_and_mic.rs	78	auto:macro-inv-cont	head/argument line of a multi-line paren-form generator-macro invocation — expansion spans land in the macro definition body (rig-auto-classes: macro-inv-cont)	shape rig-verified; line table has no DA at 78
crates/backend/utils/mb/conv/src/cyrillic_and_mic.rs	79	auto:macro-inv-cont	head/argument line of a multi-line paren-form generator-macro invocation — expansion spans land in the macro definition body (rig-auto-classes: macro-inv-cont)	shape rig-verified; line table has no DA at 79
crates/backend/utils/mb/conv/src/cyrillic_and_mic.rs	80	auto:macro-inv-cont	head/argument line of a multi-line paren-form generator-macro invocation — expansion spans land in the macro definition body (rig-auto-classes: macro-inv-cont)	shape rig-verified; line table has no DA at 80
crates/backend/utils/mb/conv/src/cyrillic_and_mic.rs	81	auto:macro-inv-cont	head/argument line of a multi-line paren-form generator-macro invocation — expansion spans land in the macro definition body (rig-auto-classes: macro-inv-cont)	shape rig-verified; line table has no DA at 81
crates/backend/utils/mb/conv/src/cyrillic_and_mic.rs	83	auto:macro-inv-cont	head/argument line of a multi-line paren-form generator-macro invocation — expansion spans land in the macro definition body (rig-auto-classes: macro-inv-cont)	shape rig-verified; line table has no DA at 83
crates/backend/utils/mb/conv/src/cyrillic_and_mic.rs	84	auto:macro-inv-cont	head/argument line of a multi-line paren-form generator-macro invocation — expansion spans land in the macro definition body (rig-auto-classes: macro-inv-cont)	shape rig-verified; line table has no DA at 84
crates/backend/utils/mb/conv/src/cyrillic_and_mic.rs	85	auto:macro-inv-cont	head/argument line of a multi-line paren-form generator-macro invocation — expansion spans land in the macro definition body (rig-auto-classes: macro-inv-cont)	shape rig-verified; line table has no DA at 85
crates/backend/utils/mb/conv/src/cyrillic_and_mic.rs	86	auto:macro-inv-cont	head/argument line of a multi-line paren-form generator-macro invocation — expansion spans land in the macro definition body (rig-auto-classes: macro-inv-cont)	shape rig-verified; line table has no DA at 86
crates/backend/utils/mb/conv/src/cyrillic_and_mic.rs	87	auto:macro-inv-cont	head/argument line of a multi-line paren-form generator-macro invocation — expansion spans land in the macro definition body (rig-auto-classes: macro-inv-cont)	shape rig-verified; line table has no DA at 87
crates/backend/utils/mb/conv/src/cyrillic_and_mic.rs	88	auto:macro-inv-cont	head/argument line of a multi-line paren-form generator-macro invocation — expansion spans land in the macro definition body (rig-auto-classes: macro-inv-cont)	shape rig-verified; line table has no DA at 88
crates/backend/utils/mb/conv/src/euc2004_sjis2004.rs	147	auto:let-decl	bare `let x: T;` without initializer (rig-auto-classes: let-decl)	shape rig-verified; line table has no DA at 147
crates/backend/utils/mb/conv/src/euc2004_sjis2004.rs	148	auto:let-decl	bare `let x: T;` without initializer (rig-auto-classes: let-decl)	shape rig-verified; line table has no DA at 148
crates/backend/utils/mb/conv/src/euc_tw_and_big5/big5.rs	66	auto:let-decl	bare `let x: T;` without initializer (rig-auto-classes: let-decl)	shape rig-verified; line table has no DA at 66
crates/backend/utils/mb/conv/src/lib.rs	810	auto:table-head	multi-line const/static bracket-initializer head (rig-auto-classes: table-head)	shape rig-verified; line table has no DA at 810
crates/backend/utils/mb/conv/src/lib.rs	815	auto:table-head	multi-line const/static bracket-initializer head (rig-auto-classes: table-head)	shape rig-verified; line table has no DA at 815
crates/backend/utils/mb/conv/src/lib.rs	836	auto:fmt-cont	literal/bare-arg continuation line of format-family macro invocation (rig-auto-classes: fmt-cont)	no DA record at crates/backend/utils/mb/conv/src/lib.rs:836; instrumented context within +-10 lines (line table)
crates/backend/utils/mb/conv/src/lib.rs	889	auto:table-head	multi-line const/static bracket-initializer head (rig-auto-classes: table-head)	shape rig-verified; line table has no DA at 889
crates/backend/utils/mb/conv/src/maps/big5.rs	3	auto:table-head	multi-line const/static bracket-initializer head (rig-auto-classes: table-head)	shape rig-verified; no line table supplied
crates/backend/utils/mb/conv/src/maps/big5.rs	2141	auto:brace-table-head	multi-line const/static data binding (brace-initializer head/field rows or `=`-continuation; call/closure-bearing lines excluded; rig-auto-classes: brace-table-head/eq-cont)	shape rig-verified; no line table supplied
crates/backend/utils/mb/conv/src/maps/big5.rs	2142	auto:brace-table-head	multi-line const/static data binding (brace-initializer head/field rows or `=`-continuation; call/closure-bearing lines excluded; rig-auto-classes: brace-table-head/eq-cont)	shape rig-verified; no line table supplied
crates/backend/utils/mb/conv/src/maps/big5.rs	2143	auto:brace-table-head	multi-line const/static data binding (brace-initializer head/field rows or `=`-continuation; call/closure-bearing lines excluded; rig-auto-classes: brace-table-head/eq-cont)	shape rig-verified; no line table supplied
crates/backend/utils/mb/conv/src/maps/big5.rs	2144	auto:brace-table-head	multi-line const/static data binding (brace-initializer head/field rows or `=`-continuation; call/closure-bearing lines excluded; rig-auto-classes: brace-table-head/eq-cont)	shape rig-verified; no line table supplied
crates/backend/utils/mb/conv/src/maps/big5.rs	2145	auto:brace-table-head	multi-line const/static data binding (brace-initializer head/field rows or `=`-continuation; call/closure-bearing lines excluded; rig-auto-classes: brace-table-head/eq-cont)	shape rig-verified; no line table supplied
crates/backend/utils/mb/conv/src/maps/big5.rs	2146	auto:brace-table-head	multi-line const/static data binding (brace-initializer head/field rows or `=`-continuation; call/closure-bearing lines excluded; rig-auto-classes: brace-table-head/eq-cont)	shape rig-verified; no line table supplied
crates/backend/utils/mb/conv/src/maps/big5.rs	2147	auto:brace-table-head	multi-line const/static data binding (brace-initializer head/field rows or `=`-continuation; call/closure-bearing lines excluded; rig-auto-classes: brace-table-head/eq-cont)	shape rig-verified; no line table supplied
crates/backend/utils/mb/conv/src/maps/big5.rs	2149	auto:table-head	multi-line const/static bracket-initializer head (rig-auto-classes: table-head)	shape rig-verified; no line table supplied
crates/backend/utils/mb/conv/src/maps/big5.rs	5006	auto:brace-table-head	multi-line const/static data binding (brace-initializer head/field rows or `=`-continuation; call/closure-bearing lines excluded; rig-auto-classes: brace-table-head/eq-cont)	shape rig-verified; no line table supplied
crates/backend/utils/mb/conv/src/maps/big5.rs	5007	auto:brace-table-head	multi-line const/static data binding (brace-initializer head/field rows or `=`-continuation; call/closure-bearing lines excluded; rig-auto-classes: brace-table-head/eq-cont)	shape rig-verified; no line table supplied
crates/backend/utils/mb/conv/src/maps/big5.rs	5008	auto:brace-table-head	multi-line const/static data binding (brace-initializer head/field rows or `=`-continuation; call/closure-bearing lines excluded; rig-auto-classes: brace-table-head/eq-cont)	shape rig-verified; no line table supplied
crates/backend/utils/mb/conv/src/maps/big5.rs	5009	auto:brace-table-head	multi-line const/static data binding (brace-initializer head/field rows or `=`-continuation; call/closure-bearing lines excluded; rig-auto-classes: brace-table-head/eq-cont)	shape rig-verified; no line table supplied
crates/backend/utils/mb/conv/src/maps/big5.rs	5010	auto:brace-table-head	multi-line const/static data binding (brace-initializer head/field rows or `=`-continuation; call/closure-bearing lines excluded; rig-auto-classes: brace-table-head/eq-cont)	shape rig-verified; no line table supplied
crates/backend/utils/mb/conv/src/maps/big5.rs	5011	auto:brace-table-head	multi-line const/static data binding (brace-initializer head/field rows or `=`-continuation; call/closure-bearing lines excluded; rig-auto-classes: brace-table-head/eq-cont)	shape rig-verified; no line table supplied
crates/backend/utils/mb/conv/src/maps/big5.rs	5012	auto:brace-table-head	multi-line const/static data binding (brace-initializer head/field rows or `=`-continuation; call/closure-bearing lines excluded; rig-auto-classes: brace-table-head/eq-cont)	shape rig-verified; no line table supplied
crates/backend/utils/mb/conv/src/maps/cyrillic.rs	3	auto:table-head	multi-line const/static bracket-initializer head (rig-auto-classes: table-head)	shape rig-verified; no line table supplied
crates/backend/utils/mb/conv/src/maps/cyrillic.rs	37	auto:brace-table-head	multi-line const/static data binding (brace-initializer head/field rows or `=`-continuation; call/closure-bearing lines excluded; rig-auto-classes: brace-table-head/eq-cont)	shape rig-verified; no line table supplied
crates/backend/utils/mb/conv/src/maps/cyrillic.rs	38	auto:brace-table-head	multi-line const/static data binding (brace-initializer head/field rows or `=`-continuation; call/closure-bearing lines excluded; rig-auto-classes: brace-table-head/eq-cont)	shape rig-verified; no line table supplied
