file	sloc	kani	fuzz	regress	any
crates/backend/utils/adt/float/src/aggregates.rs	225	0	0	0	0
crates/backend/utils/adt/float/src/builtins.rs	490	49	0	0	49
crates/backend/utils/adt/float/src/funcs.rs	663	71	0	0	71
crates/backend/utils/adt/float/src/io.rs	496	0	0	0	0
crates/backend/utils/adt/float/src/lib.rs	341	125	0	0	125
crates/backend/utils/adt/float/src/tests.rs	0	0	0	0	0
crates/backend/utils/adt/geo/src/boxes.rs	138	0	0	0	0
crates/backend/utils/adt/geo/src/builtins.rs	796	0	0	0	0
crates/backend/utils/adt/geo/src/circle.rs	122	0	0	0	0
crates/backend/utils/adt/geo/src/io.rs	585	0	0	0	0
crates/backend/utils/adt/geo/src/lib.rs	277	0	0	0	0
crates/backend/utils/adt/geo/src/line.rs	137	0	0	0	0
crates/backend/utils/adt/geo/src/lseg.rs	89	0	0	0	0
crates/backend/utils/adt/geo/src/path.rs	110	0	0	0	0
crates/backend/utils/adt/geo/src/point.rs	81	0	0	0	0
crates/backend/utils/adt/geo/src/poly.rs	164	0	0	0	0
crates/backend/utils/adt/geo/src/proximity.rs	320	0	0	0	0
crates/backend/utils/adt/geo/src/tests_full.rs	0	0	0	0	0
crates/backend/utils/adt/jsonb/src/aggs.rs	254	0	0	0	0
crates/backend/utils/adt/jsonb/src/build.rs	383	0	0	0	0
crates/backend/utils/adt/jsonb/src/builtins.rs	748	0	0	0	0
crates/backend/utils/adt/jsonb/src/container.rs	151	0	0	0	0
crates/backend/utils/adt/jsonb/src/getfield.rs	154	0	0	0	0
crates/backend/utils/adt/jsonb/src/gin.rs	549	0	0	0	0
crates/backend/utils/adt/jsonb/src/io.rs	297	0	0	0	0
crates/backend/utils/adt/jsonb/src/iter.rs	170	0	0	0	0
crates/backend/utils/adt/jsonb/src/iterate.rs	215	0	0	0	0
crates/backend/utils/adt/jsonb/src/lib.rs	15	0	0	0	0
crates/backend/utils/adt/jsonb/src/mutate.rs	562	0	0	0	0
crates/backend/utils/adt/jsonb/src/ops.rs	287	0	0	0	0
crates/backend/utils/adt/jsonb/src/populate.rs	1381	0	0	0	0
crates/backend/utils/adt/jsonb/src/srfs.rs	194	0	0	0	0
crates/backend/utils/adt/jsonb/src/subs.rs	71	0	0	0	0
crates/backend/utils/adt/jsonb/src/tests.rs	0	0	0	0	0
crates/backend/utils/adt/jsonb/src/tojsonb.rs	444	0	0	0	0
crates/backend/utils/adt/network/src/abbrev.rs	57	0	0	0	0
crates/backend/utils/adt/network/src/builtins.rs	316	0	0	0	0
crates/backend/utils/adt/network/src/cidr_ntop.rs	157	0	0	0	0
crates/backend/utils/adt/network/src/lib.rs	490	0	0	0	0
crates/backend/utils/adt/network/src/ntop.rs	142	0	0	0	0
crates/backend/utils/adt/network/src/pton.rs	356	0	0	0	0
crates/backend/utils/adt/network/src/tests.rs	0	0	0	0	0
crates/backend/utils/adt/numeric/src/aggregates.rs	559	0	0	0	0
crates/backend/utils/adt/numeric/src/arith.rs	808	0	0	0	0
crates/backend/utils/adt/numeric/src/builtins.rs	864	0	0	0	0
crates/backend/utils/adt/numeric/src/fixed.rs	332	0	0	0	0
crates/backend/utils/adt/numeric/src/io.rs	395	0	0	0	0
crates/backend/utils/adt/numeric/src/keypack.rs	67	0	0	0	0
crates/backend/utils/adt/numeric/src/lib.rs	191	0	0	0	0
crates/backend/utils/adt/numeric/src/math.rs	952	0	0	0	0
crates/backend/utils/adt/numeric/src/ops.rs	788	0	0	0	0
crates/backend/utils/adt/numeric/src/random.rs	103	0	0	0	0
crates/backend/utils/adt/numeric/src/series.rs	70	0	0	0	0
crates/backend/utils/adt/numeric/src/sortsupport.rs	82	0	0	0	0
crates/backend/utils/adt/numeric/src/tests.rs	0	0	0	0	0
crates/backend/utils/adt/numeric/src/var.rs	502	0	0	0	0
crates/backend/utils/adt/varbit/src/lib.rs	866	0	0	0	0
crates/backend/utils/adt/varbit/src/tests.rs	0	0	0	0	0
crates/backend/utils/adt/varlena/src/abbrev.rs	68	0	0	0	0
crates/backend/utils/adt/varlena/src/builtins.rs	695	0	0	0	0
crates/backend/utils/adt/varlena/src/bytea.rs	365	0	0	0	0
crates/backend/utils/adt/varlena/src/concat_format.rs	418	0	0	0	0
crates/backend/utils/adt/varlena/src/levenshtein.rs	159	0	0	0	0
crates/backend/utils/adt/varlena/src/lib.rs	767	0	0	0	0
crates/backend/utils/adt/varlena/src/replace_regexp.rs	151	0	0	0	0
crates/backend/utils/adt/varlena/src/split_text.rs	154	0	0	0	0
crates/backend/utils/adt/varlena/src/string_agg.rs	122	0	0	0	0
crates/backend/utils/adt/varlena/src/tests.rs	0	0	0	0	0
crates/backend/utils/adt/varlena/src/unicode.rs	81	0	0	0	0
CRATE:crates/backend/utils/adt/float	2215	245	0	0	245
CRATE:crates/backend/utils/adt/geo	2819	0	0	0	0
CRATE:crates/backend/utils/adt/jsonb	5875	0	0	0	0
CRATE:crates/backend/utils/adt/network	1518	0	0	0	0
CRATE:crates/backend/utils/adt/numeric	5713	0	0	0	0
CRATE:crates/backend/utils/adt/varbit	866	0	0	0	0
CRATE:crates/backend/utils/adt/varlena	2980	0	0	0	0
TOTAL	21986	245	0	0	245
