# residual-rows-laneaj.tsv — MACHINE-READABLE residual rows for p1-laneaj
# (adt/numutils; adt/oracle_compat rows appended at its capture). Same columns
# and semantics as proofs/coverage/auto-exceptions.tsv: auto:/instrument-
# unmappable rows are MEASUREMENT NOTES (the instrument emits no mapping for
# the line), NOT semantic adjudications; they never move a line out of any
# denominator.
#
# adt/numutils accounting (capture of record = fleet campaign
# pgrust-fuzz-campaign-1785507523-7bce-55712 lcov @ 1e797c8cd4, 10M execs,
# 0 divergences): 343/406 v2-SLOC fuzz-covered, 63 residual rows below.
# Dominant class = the strtoint! macro_rules! DEFINITION body (47 lines):
# executed by all three instantiations (FNDA>0), llvm-cov maps only 12 body
# lines; i32 core cross-covered by proofs/strtoint (ledger 42 int4in proved).
file	line	class	rule	evidence
crates/backend/utils/adt/numutils/src/lib.rs	6	auto:table-cont-class	byte-string continuation lines of const DIGIT_TABLE (data-table shape; SLOC-v2 keeps them, instrument emits no DA)	line table has no DA at the line; table content exercised by every pg_ultoa_n/pg_ulltoa_n emit compare (10M-exec campaign pgrust-fuzz-campaign-1785507523-7bce-55712, 0 div)
crates/backend/utils/adt/numutils/src/lib.rs	7	auto:table-cont-class	byte-string continuation lines of const DIGIT_TABLE (data-table shape; SLOC-v2 keeps them, instrument emits no DA)	line table has no DA at the line; table content exercised by every pg_ultoa_n/pg_ulltoa_n emit compare (10M-exec campaign pgrust-fuzz-campaign-1785507523-7bce-55712, 0 div)
crates/backend/utils/adt/numutils/src/lib.rs	8	auto:table-cont-class	byte-string continuation lines of const DIGIT_TABLE (data-table shape; SLOC-v2 keeps them, instrument emits no DA)	line table has no DA at the line; table content exercised by every pg_ultoa_n/pg_ulltoa_n emit compare (10M-exec campaign pgrust-fuzz-campaign-1785507523-7bce-55712, 0 div)
crates/backend/utils/adt/numutils/src/lib.rs	9	auto:table-cont-class	byte-string continuation lines of const DIGIT_TABLE (data-table shape; SLOC-v2 keeps them, instrument emits no DA)	line table has no DA at the line; table content exercised by every pg_ultoa_n/pg_ulltoa_n emit compare (10M-exec campaign pgrust-fuzz-campaign-1785507523-7bce-55712, 0 div)
crates/backend/utils/adt/numutils/src/lib.rs	10	auto:table-cont-class	byte-string continuation lines of const DIGIT_TABLE (data-table shape; SLOC-v2 keeps them, instrument emits no DA)	line table has no DA at the line; table content exercised by every pg_ultoa_n/pg_ulltoa_n emit compare (10M-exec campaign pgrust-fuzz-campaign-1785507523-7bce-55712, 0 div)
crates/backend/utils/adt/numutils/src/lib.rs	11	auto:table-cont-class	byte-string continuation lines of const DIGIT_TABLE (data-table shape; SLOC-v2 keeps them, instrument emits no DA)	line table has no DA at the line; table content exercised by every pg_ultoa_n/pg_ulltoa_n emit compare (10M-exec campaign pgrust-fuzz-campaign-1785507523-7bce-55712, 0 div)
crates/backend/utils/adt/numutils/src/lib.rs	30	auto:fmt-cont	literal/bare-arg continuation line of format-family macro invocation (rig-auto-classes: fmt-cont)	no DA record; instrumented context within +-10 lines; error ctor executed (error-plane compares in campaign)
crates/backend/utils/adt/numutils/src/lib.rs	40	auto:fmt-cont	literal/bare-arg continuation line of format-family macro invocation (rig-auto-classes: fmt-cont)	no DA record; instrumented context within +-10 lines; error ctor executed (error-plane compares in campaign)
crates/backend/utils/adt/numutils/src/lib.rs	445	auto:fmt-cont	literal/bare-arg continuation line of format-family macro invocation (rig-auto-classes: fmt-cont)	no DA record; instrumented context within +-10 lines; error ctor executed (error-plane compares in campaign)
crates/backend/utils/adt/numutils/src/lib.rs	453	auto:fmt-cont	literal/bare-arg continuation line of format-family macro invocation (rig-auto-classes: fmt-cont)	no DA record; instrumented context within +-10 lines; error ctor executed (error-plane compares in campaign)
