family	suite_harness	kani_harness	rc	wall_s	verdict	status	kaniraw_new
datetime-b	hlp::eq_dtk_m_shiftdom	hlp::eq_dtk_m_shiftdom	0	4.0	VERIFICATION-SUCCESSFUL-on-fleet	FAILED-TO-RUN	0
datetime-b	hlp::eq_interval_mask_shiftdom	hlp::eq_interval_mask_shiftdom	0	50	VERIFICATION-SUCCESSFUL-on-fleet	FAILED-TO-RUN	0
datetime-b	hlp::eq_is_valid_julian_full	hlp::eq_is_valid_julian_full	0	50	VERIFICATION-SUCCESSFUL-on-fleet	FAILED-TO-RUN	0
datetime-b	hlp::eq_isleap_full	hlp::eq_isleap_full	0	3.8	VERIFICATION-SUCCESSFUL-on-fleet	FAILED-TO-RUN	0
datetime-b	hlp::eq_j2day_full	hlp::eq_j2day_full	0	2.0	VERIFICATION-SUCCESSFUL-on-fleet	FAILED-TO-RUN	0
datetime-b	hlp::eq_date2j_full	hlp::eq_date2j_full	0	601	TIMEOUT-601s-cadical	WALLED	0
datetime-b	hlp::eq_j2date_full	hlp::eq_j2date_full	0	601	TIMEOUT-601s-cadical	WALLED	0
datetime-b	hlp::eq_j2date_spots	hlp::eq_j2date_spots	0	50	VERIFICATION-SUCCESSFUL-on-fleet	FAILED-TO-RUN	0
datetime-b	hlp::eq_dt2time_full	hlp::eq_dt2time_full	0	601	TIMEOUT-601s-cadical	WALLED	0
datetime-b	hlp::eq_dt2time_spots	hlp::eq_dt2time_spots	0	50	VERIFICATION-SUCCESSFUL-on-fleet	FAILED-TO-RUN	0
datetime-b	hlp::eq_time_overflows_full	hlp::eq_time_overflows_full	0	51	VERIFICATION-SUCCESSFUL-on-fleet	FAILED-TO-RUN	0
datetime-b	hlp::eq_isoweek2j_ad_band	hlp::eq_isoweek2j_ad_band	0	601	TIMEOUT-601s-cadical	WALLED	0
datetime-b	hlp::eq_isoweek2j_bc_band	hlp::eq_isoweek2j_bc_band	0	601	TIMEOUT-601s-cadical	WALLED	0
datetime-b	hlp::panicfree_date2j_full	hlp::panicfree_date2j_full	0	0.06	VERIFICATION-SUCCESSFUL-on-fleet	FAILED-TO-RUN	0
datetime-b	hlp::panicfree_j2date_full	hlp::panicfree_j2date_full	0	309.4	VERIFICATION-SUCCESSFUL-on-fleet	FAILED-TO-RUN	0
datetime-b	hlp::panicfree_dt2time_full	hlp::panicfree_dt2time_full	0	0.09	VERIFICATION-SUCCESSFUL-on-fleet	FAILED-TO-RUN	0
datetime-b	hlp::panicfree_isoweek2j_full	hlp::panicfree_isoweek2j_full	0	0.07	VERIFICATION-SUCCESSFUL-on-fleet	FAILED-TO-RUN	0
datetime-b	hlp::control_panicfree_isoweek2j_checked_sub	hlp::control_panicfree_isoweek2j_checked_sub	0	0.03	EXPECTED-FAIL-OK	FAILED-TO-RUN	0
