# auto-exceptions.tsv — MECHANICALLY classified instrument-unmappable residual lines.
# Generated by proofs/coverage/auto_exceptions.py; classes licensed by proofs/coverage/rig-auto-classes.py (GREEN required).
# DISTINCT from hand-adjudicated exception rows: an auto: row is a measurement note (the
# instrument emits no mapping for the line), NOT a semantic adjudication. Rows here need
# no PR review to exist, but they never move a line out of any denominator.
file	line	class	rule	evidence
crates/backend/utils/adt/adt_date/src/builtins.rs	157	auto:macro-decl	declaration row inside generator-macro invocation block (rig-auto-classes: macro-decl; macro_attrib geometry)	shape rig-verified; line table has no DA at 157
crates/backend/utils/adt/adt_date/src/builtins.rs	159	auto:macro-decl	declaration row inside generator-macro invocation block (rig-auto-classes: macro-decl; macro_attrib geometry)	shape rig-verified; line table has no DA at 159
crates/backend/utils/adt/adt_date/src/builtins.rs	261	auto:macro-decl	declaration row inside generator-macro invocation block (rig-auto-classes: macro-decl; macro_attrib geometry)	shape rig-verified; line table has no DA at 261
crates/backend/utils/adt/adt_date/src/builtins.rs	262	auto:macro-decl	declaration row inside generator-macro invocation block (rig-auto-classes: macro-decl; macro_attrib geometry)	shape rig-verified; line table has no DA at 262
crates/backend/utils/adt/adt_date/src/builtins.rs	265	auto:macro-decl	declaration row inside generator-macro invocation block (rig-auto-classes: macro-decl; macro_attrib geometry)	shape rig-verified; line table has no DA at 265
crates/backend/utils/adt/adt_date/src/builtins.rs	268	auto:macro-decl	declaration row inside generator-macro invocation block (rig-auto-classes: macro-decl; macro_attrib geometry)	shape rig-verified; line table has no DA at 268
crates/backend/utils/adt/adt_date/src/builtins.rs	269	auto:macro-decl	declaration row inside generator-macro invocation block (rig-auto-classes: macro-decl; macro_attrib geometry)	shape rig-verified; line table has no DA at 269
crates/backend/utils/adt/adt_date/src/builtins.rs	272	auto:macro-decl	declaration row inside generator-macro invocation block (rig-auto-classes: macro-decl; macro_attrib geometry)	shape rig-verified; line table has no DA at 272
crates/backend/utils/adt/adt_date/src/builtins.rs	275	auto:macro-decl	declaration row inside generator-macro invocation block (rig-auto-classes: macro-decl; macro_attrib geometry)	shape rig-verified; line table has no DA at 275
crates/backend/utils/adt/adt_date/src/builtins.rs	276	auto:macro-decl	declaration row inside generator-macro invocation block (rig-auto-classes: macro-decl; macro_attrib geometry)	shape rig-verified; line table has no DA at 276
crates/backend/utils/adt/adt_date/src/builtins.rs	279	auto:macro-decl	declaration row inside generator-macro invocation block (rig-auto-classes: macro-decl; macro_attrib geometry)	shape rig-verified; line table has no DA at 279
crates/backend/utils/adt/adt_date/src/builtins.rs	282	auto:macro-decl	declaration row inside generator-macro invocation block (rig-auto-classes: macro-decl; macro_attrib geometry)	shape rig-verified; line table has no DA at 282
crates/backend/utils/adt/adt_date/src/builtins.rs	283	auto:macro-decl	declaration row inside generator-macro invocation block (rig-auto-classes: macro-decl; macro_attrib geometry)	shape rig-verified; line table has no DA at 283
crates/backend/utils/adt/adt_date/src/builtins.rs	286	auto:macro-decl	declaration row inside generator-macro invocation block (rig-auto-classes: macro-decl; macro_attrib geometry)	shape rig-verified; line table has no DA at 286
crates/backend/utils/adt/adt_date/src/builtins.rs	330	auto:macro-decl	declaration row inside generator-macro invocation block (rig-auto-classes: macro-decl; macro_attrib geometry)	shape rig-verified; line table has no DA at 330
crates/backend/utils/adt/adt_date/src/builtins.rs	332	auto:macro-decl	declaration row inside generator-macro invocation block (rig-auto-classes: macro-decl; macro_attrib geometry)	shape rig-verified; line table has no DA at 332
crates/backend/utils/adt/adt_date/src/builtins.rs	414	auto:macro-decl	declaration row inside generator-macro invocation block (rig-auto-classes: macro-decl; macro_attrib geometry)	shape rig-verified; line table has no DA at 414
crates/backend/utils/adt/adt_date/src/builtins.rs	416	auto:macro-decl	declaration row inside generator-macro invocation block (rig-auto-classes: macro-decl; macro_attrib geometry)	shape rig-verified; line table has no DA at 416
crates/backend/utils/adt/adt_date/src/builtins.rs	547	auto:macro-decl	declaration row inside generator-macro invocation block (rig-auto-classes: macro-decl; macro_attrib geometry)	shape rig-verified; line table has no DA at 547
crates/backend/utils/adt/adt_date/src/builtins.rs	549	auto:macro-decl	declaration row inside generator-macro invocation block (rig-auto-classes: macro-decl; macro_attrib geometry)	shape rig-verified; line table has no DA at 549
crates/backend/utils/adt/adt_date/src/builtins.rs	724	auto:macro-decl	declaration row inside generator-macro invocation block (rig-auto-classes: macro-decl; macro_attrib geometry)	shape rig-verified; line table has no DA at 724
crates/backend/utils/adt/adt_date/src/builtins.rs	726	auto:macro-decl	declaration row inside generator-macro invocation block (rig-auto-classes: macro-decl; macro_attrib geometry)	shape rig-verified; line table has no DA at 726
crates/backend/utils/adt/adt_date/src/builtins.rs	881	auto:macro-decl	declaration row inside generator-macro invocation block (rig-auto-classes: macro-decl; macro_attrib geometry)	shape rig-verified; line table has no DA at 881
crates/backend/utils/adt/adt_date/src/builtins.rs	884	auto:macro-decl	declaration row inside generator-macro invocation block (rig-auto-classes: macro-decl; macro_attrib geometry)	shape rig-verified; line table has no DA at 884
crates/backend/utils/adt/adt_date/src/builtins.rs	887	auto:macro-decl	declaration row inside generator-macro invocation block (rig-auto-classes: macro-decl; macro_attrib geometry)	shape rig-verified; line table has no DA at 887
crates/backend/utils/adt/adt_date/src/builtins.rs	888	auto:macro-decl	declaration row inside generator-macro invocation block (rig-auto-classes: macro-decl; macro_attrib geometry)	shape rig-verified; line table has no DA at 888
crates/backend/utils/adt/adt_date/src/builtins.rs	891	auto:macro-decl	declaration row inside generator-macro invocation block (rig-auto-classes: macro-decl; macro_attrib geometry)	shape rig-verified; line table has no DA at 891
crates/backend/utils/adt/adt_date/src/builtins.rs	894	auto:macro-decl	declaration row inside generator-macro invocation block (rig-auto-classes: macro-decl; macro_attrib geometry)	shape rig-verified; line table has no DA at 894
crates/backend/utils/adt/adt_date/src/builtins.rs	953	auto:macro-decl	declaration row inside generator-macro invocation block (rig-auto-classes: macro-decl; macro_attrib geometry)	shape rig-verified; line table has no DA at 953
crates/backend/utils/adt/adt_date/src/builtins.rs	954	auto:macro-decl	declaration row inside generator-macro invocation block (rig-auto-classes: macro-decl; macro_attrib geometry)	shape rig-verified; line table has no DA at 954
crates/backend/utils/adt/adt_date/src/builtins.rs	955	auto:macro-decl	declaration row inside generator-macro invocation block (rig-auto-classes: macro-decl; macro_attrib geometry)	shape rig-verified; line table has no DA at 955
crates/backend/utils/adt/adt_date/src/builtins.rs	956	auto:macro-decl	declaration row inside generator-macro invocation block (rig-auto-classes: macro-decl; macro_attrib geometry)	shape rig-verified; line table has no DA at 956
crates/backend/utils/adt/adt_date/src/builtins.rs	998	auto:call-str-cont	string-literal continuation of plain call arg list (context-evidence class; rig boundary plain-call-str-boundary)	no DA record at crates/backend/utils/adt/adt_date/src/builtins.rs:998; instrumented context within +-10 lines (line table)
crates/backend/utils/adt/adt_date/src/builtins.rs	1160	auto:table-head	multi-line const/static bracket-initializer head (rig-auto-classes: table-head)	shape rig-verified; line table has no DA at 1160
crates/backend/utils/adt/adt_date/src/interval_corpus.rs	5	auto:table-head	multi-line const/static bracket-initializer head (rig-auto-classes: table-head)	shape rig-verified; no line table supplied
crates/backend/utils/adt/adt_date/src/interval_corpus.rs	477	auto:table-head	multi-line const/static bracket-initializer head (rig-auto-classes: table-head)	shape rig-verified; no line table supplied
crates/backend/utils/adt/adt_date/src/interval_corpus.rs	510	auto:table-head	multi-line const/static bracket-initializer head (rig-auto-classes: table-head)	shape rig-verified; no line table supplied
crates/backend/utils/adt/adt_date/src/interval_corpus.rs	529	auto:table-head	multi-line const/static bracket-initializer head (rig-auto-classes: table-head)	shape rig-verified; no line table supplied
crates/backend/utils/adt/adt_date/src/interval_corpus.rs	548	auto:table-head	multi-line const/static bracket-initializer head (rig-auto-classes: table-head)	shape rig-verified; no line table supplied
crates/backend/utils/adt/adt_date/src/interval_corpus.rs	567	auto:table-head	multi-line const/static bracket-initializer head (rig-auto-classes: table-head)	shape rig-verified; no line table supplied
crates/backend/utils/adt/adt_date/src/interval_corpus.rs	591	auto:table-head	multi-line const/static bracket-initializer head (rig-auto-classes: table-head)	shape rig-verified; no line table supplied
crates/backend/utils/adt/adt_date/src/interval_corpus.rs	1440	auto:table-head	multi-line const/static bracket-initializer head (rig-auto-classes: table-head)	shape rig-verified; no line table supplied
crates/backend/utils/adt/adt_date/src/interval_corpus.rs	1466	auto:table-head	multi-line const/static bracket-initializer head (rig-auto-classes: table-head)	shape rig-verified; no line table supplied
crates/backend/utils/adt/adt_date/src/lib.rs	671	auto:fmt-cont	literal/bare-arg continuation line of format-family macro invocation (rig-auto-classes: fmt-cont)	no DA record at crates/backend/utils/adt/adt_date/src/lib.rs:671; instrumented context within +-10 lines (line table)
crates/backend/utils/adt/adt_date/src/lib.rs	674	auto:call-str-cont	string-literal continuation of plain call arg list (context-evidence class; rig boundary plain-call-str-boundary)	no DA record at crates/backend/utils/adt/adt_date/src/lib.rs:674; instrumented context within +-10 lines (line table)
crates/backend/utils/adt/adt_date/src/lib.rs	676	auto:call-str-cont	string-literal continuation of plain call arg list (context-evidence class; rig boundary plain-call-str-boundary)	no DA record at crates/backend/utils/adt/adt_date/src/lib.rs:676; instrumented context within +-10 lines (line table)
crates/backend/utils/adt/adt_date/src/lib.rs	1117	auto:fmt-cont	literal/bare-arg continuation line of format-family macro invocation (rig-auto-classes: fmt-cont)	no DA record at crates/backend/utils/adt/adt_date/src/lib.rs:1117; instrumented context within +-10 lines (line table)
crates/backend/utils/adt/adt_date/src/lib.rs	1129	auto:fmt-cont	literal/bare-arg continuation line of format-family macro invocation (rig-auto-classes: fmt-cont)	no DA record at crates/backend/utils/adt/adt_date/src/lib.rs:1129; instrumented context within +-10 lines (line table)
crates/backend/utils/adt/adt_datetime/src/calendar.rs	1	auto:table-head	multi-line const/static bracket-initializer head (rig-auto-classes: table-head)	shape rig-verified; line table has no DA at 1
crates/backend/utils/adt/adt_datetime/src/calendar.rs	6	auto:table-head	multi-line const/static bracket-initializer head (rig-auto-classes: table-head)	shape rig-verified; line table has no DA at 6
crates/backend/utils/adt/adt_datetime/src/calendar.rs	10	auto:table-head	multi-line const/static bracket-initializer head (rig-auto-classes: table-head)	shape rig-verified; line table has no DA at 10
crates/backend/utils/adt/adt_datetime/src/decode.rs	2290	auto:let-decl	bare `let x: T;` without initializer (rig-auto-classes: let-decl)	shape rig-verified; line table has no DA at 2290
crates/backend/utils/adt/adt_datetime/src/errors.rs	53	auto:fmt-cont	literal/bare-arg continuation line of format-family macro invocation (rig-auto-classes: fmt-cont)	no DA record at crates/backend/utils/adt/adt_datetime/src/errors.rs:53; instrumented context within +-10 lines (line table)
crates/backend/utils/adt/adt_datetime/src/tables.rs	15	auto:table-head	multi-line const/static bracket-initializer head (rig-auto-classes: table-head)	shape rig-verified; line table has no DA at 15
crates/backend/utils/adt/adt_datetime/src/tables.rs	90	auto:table-head	multi-line const/static bracket-initializer head (rig-auto-classes: table-head)	shape rig-verified; line table has no DA at 90
