# auto-exceptions.tsv — MECHANICALLY classified instrument-unmappable residual lines.
# Generated by proofs/coverage/auto_exceptions.py; classes licensed by proofs/coverage/rig-auto-classes.py (GREEN required).
# DISTINCT from hand-adjudicated exception rows: an auto: row is a measurement note (the
# instrument emits no mapping for the line), NOT a semantic adjudication. Rows here need
# no PR review to exist, but they never move a line out of any denominator.
file	line	class	rule	evidence
crates/backend/utils/adt/adt_timestamp/src/builtins.rs	168	auto:macro-decl	declaration row inside generator-macro invocation block (rig-auto-classes: macro-decl; macro_attrib geometry)	shape rig-verified; line table has no DA at 168
crates/backend/utils/adt/adt_timestamp/src/builtins.rs	170	auto:macro-decl	declaration row inside generator-macro invocation block (rig-auto-classes: macro-decl; macro_attrib geometry)	shape rig-verified; line table has no DA at 170
crates/backend/utils/adt/adt_timestamp/src/builtins.rs	248	auto:macro-decl	declaration row inside generator-macro invocation block (rig-auto-classes: macro-decl; macro_attrib geometry)	shape rig-verified; line table has no DA at 248
crates/backend/utils/adt/adt_timestamp/src/builtins.rs	249	auto:macro-decl	declaration row inside generator-macro invocation block (rig-auto-classes: macro-decl; macro_attrib geometry)	shape rig-verified; line table has no DA at 249
crates/backend/utils/adt/adt_timestamp/src/builtins.rs	252	auto:macro-decl	declaration row inside generator-macro invocation block (rig-auto-classes: macro-decl; macro_attrib geometry)	shape rig-verified; line table has no DA at 252
crates/backend/utils/adt/adt_timestamp/src/builtins.rs	255	auto:macro-decl	declaration row inside generator-macro invocation block (rig-auto-classes: macro-decl; macro_attrib geometry)	shape rig-verified; line table has no DA at 255
crates/backend/utils/adt/adt_timestamp/src/builtins.rs	256	auto:macro-decl	declaration row inside generator-macro invocation block (rig-auto-classes: macro-decl; macro_attrib geometry)	shape rig-verified; line table has no DA at 256
crates/backend/utils/adt/adt_timestamp/src/builtins.rs	259	auto:macro-decl	declaration row inside generator-macro invocation block (rig-auto-classes: macro-decl; macro_attrib geometry)	shape rig-verified; line table has no DA at 259
crates/backend/utils/adt/adt_timestamp/src/builtins.rs	386	auto:macro-decl	declaration row inside generator-macro invocation block (rig-auto-classes: macro-decl; macro_attrib geometry)	shape rig-verified; line table has no DA at 386
crates/backend/utils/adt/adt_timestamp/src/builtins.rs	387	auto:macro-decl	declaration row inside generator-macro invocation block (rig-auto-classes: macro-decl; macro_attrib geometry)	shape rig-verified; line table has no DA at 387
crates/backend/utils/adt/adt_timestamp/src/builtins.rs	388	auto:macro-decl	declaration row inside generator-macro invocation block (rig-auto-classes: macro-decl; macro_attrib geometry)	shape rig-verified; line table has no DA at 388
crates/backend/utils/adt/adt_timestamp/src/builtins.rs	389	auto:macro-decl	declaration row inside generator-macro invocation block (rig-auto-classes: macro-decl; macro_attrib geometry)	shape rig-verified; line table has no DA at 389
crates/backend/utils/adt/adt_timestamp/src/builtins.rs	781	auto:macro-decl	declaration row inside generator-macro invocation block (rig-auto-classes: macro-decl; macro_attrib geometry)	shape rig-verified; line table has no DA at 781
crates/backend/utils/adt/adt_timestamp/src/builtins.rs	782	auto:macro-decl	declaration row inside generator-macro invocation block (rig-auto-classes: macro-decl; macro_attrib geometry)	shape rig-verified; line table has no DA at 782
crates/backend/utils/adt/adt_timestamp/src/builtins.rs	870	auto:macro-decl	declaration row inside generator-macro invocation block (rig-auto-classes: macro-decl; macro_attrib geometry)	shape rig-verified; line table has no DA at 870
crates/backend/utils/adt/adt_timestamp/src/builtins.rs	871	auto:macro-decl	declaration row inside generator-macro invocation block (rig-auto-classes: macro-decl; macro_attrib geometry)	shape rig-verified; line table has no DA at 871
crates/backend/utils/adt/adt_timestamp/src/builtins.rs	1360	auto:table-head	multi-line const/static bracket-initializer head (rig-auto-classes: table-head)	shape rig-verified; line table has no DA at 1360
crates/backend/utils/adt/adt_timestamp/src/interval.rs	121	auto:brace-table-head	multi-line const/static data binding (brace-initializer head/field rows or `=`-continuation; call/closure-bearing lines excluded; rig-auto-classes: brace-table-head/eq-cont)	shape rig-verified; line table has no DA at 121
crates/backend/utils/adt/adt_timestamp/src/interval.rs	123	auto:brace-table-head	multi-line const/static data binding (brace-initializer head/field rows or `=`-continuation; call/closure-bearing lines excluded; rig-auto-classes: brace-table-head/eq-cont)	shape rig-verified; line table has no DA at 123
crates/backend/utils/adt/adt_timestamp/src/interval.rs	184	auto:fmt-cont	literal/bare-arg continuation line of format-family macro invocation (rig-auto-classes: fmt-cont)	no DA record at crates/backend/utils/adt/adt_timestamp/src/interval.rs:184; instrumented context within +-10 lines (line table)
crates/backend/utils/adt/adt_timestamp/src/interval.rs	1137	auto:fmt-cont	literal/bare-arg continuation line of format-family macro invocation (rig-auto-classes: fmt-cont)	no DA record at crates/backend/utils/adt/adt_timestamp/src/interval.rs:1137; instrumented context within +-10 lines (line table)
crates/backend/utils/adt/adt_timestamp/src/interval.rs	1398	auto:fmt-cont	literal/bare-arg continuation line of format-family macro invocation (rig-auto-classes: fmt-cont)	no DA record at crates/backend/utils/adt/adt_timestamp/src/interval.rs:1398; instrumented context within +-10 lines (line table)
crates/backend/utils/adt/adt_timestamp/src/interval.rs	1554	auto:fmt-cont	literal/bare-arg continuation line of format-family macro invocation (rig-auto-classes: fmt-cont)	no DA record at crates/backend/utils/adt/adt_timestamp/src/interval.rs:1554; instrumented context within +-10 lines (line table)
crates/backend/utils/adt/adt_timestamp/src/interval.rs	1566	auto:fmt-cont	literal/bare-arg continuation line of format-family macro invocation (rig-auto-classes: fmt-cont)	no DA record at crates/backend/utils/adt/adt_timestamp/src/interval.rs:1566; instrumented context within +-10 lines (line table)
crates/backend/utils/adt/adt_timestamp/src/interval.rs	1579	auto:fmt-cont	literal/bare-arg continuation line of format-family macro invocation (rig-auto-classes: fmt-cont)	no DA record at crates/backend/utils/adt/adt_timestamp/src/interval.rs:1579; instrumented context within +-10 lines (line table)
crates/backend/utils/adt/adt_timestamp/src/interval.rs	1629	auto:table-head	multi-line const/static bracket-initializer head (rig-auto-classes: table-head)	shape rig-verified; line table has no DA at 1629
crates/backend/utils/adt/adt_timestamp/src/lib.rs	103	auto:brace-table-head	multi-line const/static data binding (brace-initializer head/field rows or `=`-continuation; call/closure-bearing lines excluded; rig-auto-classes: brace-table-head/eq-cont)	shape rig-verified; line table has no DA at 103
crates/backend/utils/adt/adt_timestamp/src/lib.rs	105	auto:brace-table-head	multi-line const/static data binding (brace-initializer head/field rows or `=`-continuation; call/closure-bearing lines excluded; rig-auto-classes: brace-table-head/eq-cont)	shape rig-verified; line table has no DA at 105
crates/backend/utils/adt/adt_timestamp/src/lib.rs	119	auto:fmt-cont	literal/bare-arg continuation line of format-family macro invocation (rig-auto-classes: fmt-cont)	no DA record at crates/backend/utils/adt/adt_timestamp/src/lib.rs:119; instrumented context within +-10 lines (line table)
crates/backend/utils/adt/adt_timestamp/src/lib.rs	153	auto:fmt-cont	literal/bare-arg continuation line of format-family macro invocation (rig-auto-classes: fmt-cont)	no DA record at crates/backend/utils/adt/adt_timestamp/src/lib.rs:153; instrumented context within +-10 lines (line table)
crates/backend/utils/adt/adt_timestamp/src/lib.rs	156	auto:call-str-cont	string-literal continuation of plain call arg list (context-evidence class; rig boundary plain-call-str-boundary)	no DA record at crates/backend/utils/adt/adt_timestamp/src/lib.rs:156; instrumented context within +-10 lines (line table)
crates/backend/utils/adt/adt_timestamp/src/lib.rs	158	auto:call-str-cont	string-literal continuation of plain call arg list (context-evidence class; rig boundary plain-call-str-boundary)	no DA record at crates/backend/utils/adt/adt_timestamp/src/lib.rs:158; instrumented context within +-10 lines (line table)
crates/backend/utils/adt/adt_timestamp/src/lib.rs	260	auto:let-decl	bare `let x: T;` without initializer (rig-auto-classes: let-decl)	shape rig-verified; line table has no DA at 260
crates/backend/utils/adt/adt_timestamp/src/lib.rs	692	auto:fmt-cont	literal/bare-arg continuation line of format-family macro invocation (rig-auto-classes: fmt-cont)	no DA record at crates/backend/utils/adt/adt_timestamp/src/lib.rs:692; instrumented context within +-10 lines (line table)
crates/backend/utils/adt/adt_timestamp/src/lib.rs	753	auto:fmt-cont	literal/bare-arg continuation line of format-family macro invocation (rig-auto-classes: fmt-cont)	no DA record at crates/backend/utils/adt/adt_timestamp/src/lib.rs:753; instrumented context within +-10 lines (line table)
crates/backend/utils/adt/adt_timestamp/src/lib.rs	754	auto:fmt-cont	literal/bare-arg continuation line of format-family macro invocation (rig-auto-classes: fmt-cont)	no DA record at crates/backend/utils/adt/adt_timestamp/src/lib.rs:754; instrumented context within +-10 lines (line table)
crates/backend/utils/adt/adt_timestamp/src/lib.rs	766	auto:fmt-cont	literal/bare-arg continuation line of format-family macro invocation (rig-auto-classes: fmt-cont)	no DA record at crates/backend/utils/adt/adt_timestamp/src/lib.rs:766; instrumented context within +-10 lines (line table)
crates/backend/utils/adt/adt_timestamp/src/lib.rs	965	auto:fmt-cont	literal/bare-arg continuation line of format-family macro invocation (rig-auto-classes: fmt-cont)	no DA record at crates/backend/utils/adt/adt_timestamp/src/lib.rs:965; instrumented context within +-10 lines (line table)
crates/backend/utils/adt/adt_timestamp/src/lib.rs	1057	auto:fmt-cont	literal/bare-arg continuation line of format-family macro invocation (rig-auto-classes: fmt-cont)	no DA record at crates/backend/utils/adt/adt_timestamp/src/lib.rs:1057; instrumented context within +-10 lines (line table)
crates/backend/utils/adt/adt_timestamp/src/lib.rs	1070	auto:fmt-cont	literal/bare-arg continuation line of format-family macro invocation (rig-auto-classes: fmt-cont)	no DA record at crates/backend/utils/adt/adt_timestamp/src/lib.rs:1070; instrumented context within +-10 lines (line table)
crates/backend/utils/adt/adt_timestamp/src/lib.rs	1100	auto:table-head	multi-line const/static bracket-initializer head (rig-auto-classes: table-head)	shape rig-verified; line table has no DA at 1100
