file	sloc	kani	fuzz	regress	any
crates/_support/jit_deform/src/lib.rs	201	0	0	159	159
crates/_support/jit_deform/src/tests.rs	0	0	0	0	0
crates/_support/mcx/src/arena_safe.rs	25	0	0	4	4
crates/_support/mcx/src/aset.rs	242	6	0	160	164
crates/_support/mcx/src/bump.rs	158	16	0	152	152
crates/_support/mcx/src/generation.rs	228	0	0	0	0
crates/_support/mcx/src/lib.rs	903	118	0	489	508
crates/_support/mcx/src/owned.rs	95	0	0	70	70
crates/_support/mcx/src/slab.rs	183	0	0	158	158
crates/_support/mcx/src/string.rs	61	0	0	42	42
crates/_support/mcx/src/tests.rs	0	0	0	0	0
crates/_support/pgrust/pg_ffi_fgram/src/encoding.rs	8	0	0	0	0
crates/_support/pgrust/pg_ffi_fgram/src/keywords.rs	28	0	0	0	0
crates/_support/pgrust/pg_ffi_fgram/src/lib.rs	0	0	0	0	0
crates/_support/pgrust/pg_ffi_fgram/src/list.rs	59	0	0	0	0
crates/_support/pgrust/pg_ffi_fgram/src/nodes.rs	40	0	0	0	0
crates/_support/pgrust/pg_ffi_fgram/src/parse.rs	0	0	0	0	0
crates/_support/pgrust/trace/src/lib.rs	94	0	0	0	0
crates/_support/pgsync/src/global.rs	29	0	0	0	0
crates/_support/pgsync/src/lib.rs	160	0	0	59	59
crates/_support/pgsync/src/loom_world.rs	2	0	0	0	0
crates/_support/pgsync/src/mailbox.rs	163	0	0	47	47
crates/_support/pgsync/src/native.rs	0	0	0	0	0
crates/_support/pgsync/src/sim/config.rs	66	0	0	0	0
crates/_support/pgsync/src/sim/hooks.rs	43	0	0	0	0
crates/_support/pgsync/src/sim/mod.rs	4	0	0	0	0
crates/_support/pgsync/src/sim/sched.rs	583	0	0	0	0
crates/_support/pgsync/src/sim/schedlog.rs	49	0	0	0	0
crates/_support/pgsync/src/sim/spawn_door.rs	19	0	0	0	0
crates/_support/pgsync/src/sim/tests.rs	0	0	0	0	0
crates/_support/pgsync/src/sim/watchdog.rs	30	0	0	0	0
crates/_support/pgsync/src/sim_world.rs	500	0	0	0	0
crates/_support/seam_core/src/lib.rs	90	11	0	20	20
crates/_support/seams_init/src/lib.rs	388	0	0	363	363
crates/_support/test_boot/src/lib.rs	151	0	0	0	0
crates/_support/types/array/src/lib.rs	0	0	0	0	0
crates/_support/types/datum/src/array_build.rs	182	0	0	152	152
crates/_support/types/datum/src/datum.rs	71	60	0	70	70
crates/_support/types/datum/src/expandeddatum.rs	81	0	0	10	10
crates/_support/types/datum/src/lib.rs	0	0	0	0	0
crates/_support/types/datum/src/varlena.rs	48	11	0	30	30
crates/_support/types/fmgr/src/agg.rs	34	0	0	33	33
crates/_support/types/fmgr/src/callctx.rs	9	0	0	8	8
crates/_support/types/fmgr/src/fcinfo.rs	286	122	0	199	212
crates/_support/types/fmgr/src/getarg.rs	89	34	0	75	75
crates/_support/types/fmgr/src/lib.rs	0	0	0	0	0
crates/_support/types/fmgr/src/overlaps.rs	43	43	0	23	43
crates/_support/types/fmgr/src/result.rs	20	10	0	20	20
crates/_support/types/fmgr/src/rsinfo.rs	25	0	0	16	16
crates/_support/types/fmgr/src/soft.rs	97	0	0	56	56
crates/_support/types/fmgr/src/tests.rs	0	0	0	0	0
crates/_support/types/fmgr/src/wire.rs	34	0	0	23	23
crates/_support/types/gist/src/lib.rs	146	0	0	71	71
crates/_support/types/gist/src/pairingheap.rs	93	0	0	86	86
crates/_support/types/gist/src/state.rs	167	0	0	161	161
crates/_support/types/hash/src/hashpage.rs	118	0	0	76	76
