eq_int2eq        SUCCESSFUL 0.01494675s
eq_int2ne        SUCCESSFUL 0.018016165s
eq_int2lt        SUCCESSFUL 0.016363166s
eq_int2le        SUCCESSFUL 0.015439167s
eq_int2gt        SUCCESSFUL 0.016416375s
eq_int2ge        SUCCESSFUL 0.015637709s
eq_int4eq        SUCCESSFUL 0.015160833s
eq_int4ne        SUCCESSFUL 0.01581996s
eq_int4lt        SUCCESSFUL 0.018592708s
eq_int4le        SUCCESSFUL 0.018775584s
eq_int4gt        SUCCESSFUL 0.018258s
eq_int4ge        SUCCESSFUL 0.018456915s
eq_int24eq       SUCCESSFUL 0.015646208s
eq_int24ne       SUCCESSFUL 0.016513042s
eq_int24lt       SUCCESSFUL 0.01659354s
eq_int24le       SUCCESSFUL 0.015864417s
eq_int24gt       SUCCESSFUL 0.016727459s
eq_int24ge       SUCCESSFUL 0.016173666s
eq_int42eq       SUCCESSFUL 0.022156876s
eq_int42ne       SUCCESSFUL 0.015810832s
eq_int42lt       SUCCESSFUL 0.016559541s
eq_int42le       SUCCESSFUL 0.017378666s
eq_int42gt       SUCCESSFUL 0.015922416s
eq_int42ge       SUCCESSFUL 0.016223418s
eq_int8eq        SUCCESSFUL 0.016563876s
eq_int8ne        SUCCESSFUL 0.01721396s
eq_int8lt        SUCCESSFUL 0.024721s
eq_int8gt        SUCCESSFUL 0.023265583s
eq_int8le        SUCCESSFUL 0.023219123s
eq_int8ge        SUCCESSFUL 0.024332415s
eq_int84eq       SUCCESSFUL 0.015199208s
eq_int84ne       SUCCESSFUL 0.015930833s
eq_int84lt       SUCCESSFUL 0.018786376s
eq_int84gt       SUCCESSFUL 0.01894104s
eq_int84le       SUCCESSFUL 0.018106917s
eq_int84ge       SUCCESSFUL 0.018682793s
eq_int48eq       SUCCESSFUL 0.01992775s
eq_int48ne       SUCCESSFUL 0.017360209s
eq_int48lt       SUCCESSFUL 0.01884346s
eq_int48gt       SUCCESSFUL 0.019835668s
eq_int48le       SUCCESSFUL 0.018409876s
eq_int48ge       SUCCESSFUL 0.018794416s
eq_int82eq       SUCCESSFUL 0.015749708s
eq_int82ne       SUCCESSFUL 0.015271167s
eq_int82lt       SUCCESSFUL 0.0180295s
eq_int82gt       SUCCESSFUL 0.01764454s
eq_int82le       SUCCESSFUL 0.018647209s
eq_int82ge       SUCCESSFUL 0.017688124s
eq_int28eq       SUCCESSFUL 0.015857957s
eq_int28ne       SUCCESSFUL 0.016866166s
eq_int28lt       SUCCESSFUL 0.021227458s
eq_int28gt       SUCCESSFUL 0.01855725s
eq_int28le       SUCCESSFUL 0.018915165s
eq_int28ge       SUCCESSFUL 0.017784042s
eq_oideq         SUCCESSFUL 0.014622708s
eq_oidne         SUCCESSFUL 0.014937125s
eq_oidlt         SUCCESSFUL 0.016754959s
eq_oidle         SUCCESSFUL 0.01675404s
eq_oidgt         SUCCESSFUL 0.01638125s
eq_oidge         SUCCESSFUL 0.016728332s
eq_btint2cmp     SUCCESSFUL 0.019562831s
eq_btint4cmp     SUCCESSFUL 0.02337246s
eq_btint8cmp     SUCCESSFUL 0.03210375s
eq_btoidcmp      SUCCESSFUL 0.022426542s
neg_control_int4lt_is_not_le FAILED 0.01027875s  (control: PASS - failed as designed)
