family	harness	outcome	wall_s	timeout_s	verdict	job
aclcheck	proofs::eq_aclitemout_named	unmeasured-failed	70	600	VERIFICATION:- FAILED	pgrust-kani-suite-1785474907-0cb7-22299
aclcheck	proofs::cover_aclitemin_regimes	unmeasured-rss-kill	270	600	NO-VERDICT	pgrust-kani-suite-1785474907-0cb7-22299
datetime-b	rem::eq_f8tstz_value_screen	unmeasured-timeout	300	300	NO-VERDICT	pgrust-kani-suite-1785474907-0cb7-22299
aclcheck	proofs::cover_table_id_id_regimes	unmeasured-timeout	601	600	NO-VERDICT	pgrust-kani-suite-1785474907-0cb7-22299
aclcheck	proofs::eq_has_function_privilege_id_id	unmeasured-timeout	601	600	NO-VERDICT	pgrust-kani-suite-1785474907-0cb7-22299
aclcheck	proofs::eq_has_database_privilege_id_id	unmeasured-timeout	601	600	NO-VERDICT	pgrust-kani-suite-1785474907-0cb7-22299
aclcheck	proofs::eq_has_database_privilege_name_id	unmeasured-timeout	601	600	NO-VERDICT	pgrust-kani-suite-1785474907-0cb7-22299
aclcheck	proofs::eq_has_function_privilege_id	unmeasured-timeout	601	600	NO-VERDICT	pgrust-kani-suite-1785474907-0cb7-22299
aclcheck	proofs::eq_has_database_privilege_name	unmeasured-timeout	601	600	NO-VERDICT	pgrust-kani-suite-1785474907-0cb7-22299
aclcheck	proofs::eq_has_database_privilege_id_name	unmeasured-timeout	601	600	NO-VERDICT	pgrust-kani-suite-1785474907-0cb7-22299
aclcheck	proofs::eq_has_language_privilege_name	unmeasured-timeout	601	600	NO-VERDICT	pgrust-kani-suite-1785474907-0cb7-22299
aclcheck	proofs::eq_has_database_privilege_id	unmeasured-timeout	601	600	NO-VERDICT	pgrust-kani-suite-1785474907-0cb7-22299
aclcheck	proofs::eq_has_language_privilege_id_id	unmeasured-timeout	601	600	NO-VERDICT	pgrust-kani-suite-1785474907-0cb7-22299
