family	harness	wall_s
aclcheck	proofs::spot_aclitemin_literals	20
brin-minmax	proofs::eq_uuid_add_value_nulls	41
cash	proofs::eq_cash_div_cash_by_zero	20
cash	proofs::eq_cash_div_cash_grid	40
cash	proofs::eq_cash_div_cash_pow2	30
cash	proofs::eq_cash_div_int8_by_neg1	30
cash	proofs::eq_cash_div_int8_by_zero	40
cash	proofs::eq_cash_in_len0	30
cash	proofs::eq_cash_mul_flt4_grid	20
cash	proofs::eq_cash_mul_flt8_c_zero	10
cash	proofs::eq_cash_mul_flt8_f_zero	10
cash	proofs::eq_cash_mul_flt8_grid	20
cash	proofs::eq_cash_mul_int2	10
cash	proofs::eq_cash_mul_int4	10
cash	proofs::eq_cash_mul_int8	20
cash	proofs::eq_cash_out_band1e5_len	20
cash	proofs::eq_cash_out_fd0	10
cash	proofs::eq_cash_out_fd1	10
cash	proofs::eq_cash_out_fd10	10
cash	proofs::eq_cash_out_fd5	10
cash	proofs::eq_cash_out_fdbig	10
cash	proofs::eq_cash_out_fdneg	10
cash	proofs::eq_cash_out_group1	10
cash	proofs::eq_cash_out_group6	10
cash	proofs::eq_cash_out_neg_p0	10
cash	proofs::eq_cash_out_neg_p1	10
cash	proofs::eq_cash_out_neg_p2	10
cash	proofs::eq_cash_out_neg_p3	10
cash	proofs::eq_cash_out_neg_p4	10
cash	proofs::eq_cash_out_neg_pdef	10
cash	proofs::eq_cash_out_pos_p0	10
cash	proofs::eq_cash_out_pos_p2	10
cash	proofs::eq_cash_out_pos_p4	10
cash	proofs::eq_cash_out_spot_max	10
cash	proofs::eq_cash_out_spot_min	10
cash	proofs::eq_cash_out_spot_neg1	10
cash	proofs::eq_cash_out_spot_zero	10
cash	proofs::eq_cash_words_spot_groups	30
cash	proofs::eq_cash_words_spot_max	30
cash	proofs::eq_cash_words_spot_min	30
cash	proofs::eq_cash_words_spot_neg	20
cash	proofs::eq_cash_words_spot_one_cent	10
cash	proofs::eq_cash_words_spot_one_dollar	10
cash	proofs::eq_cash_words_spot_teens	10
cash	proofs::eq_cash_words_spot_zero	10
cash	proofs::eq_flt4_mul_cash_grid	20
cash	proofs::eq_flt8_mul_cash_grid	20
cash	proofs::eq_int2_mul_cash	10
cash	proofs::eq_int4_cash_fd0	10
cash	proofs::eq_int4_cash_fd1	10
cash	proofs::eq_int4_cash_fd10	21
cash	proofs::eq_int4_cash_fd2	10
cash	proofs::eq_int4_cash_fd3	10
cash	proofs::eq_int4_cash_fd4	10
cash	proofs::eq_int4_cash_fd5	10
cash	proofs::eq_int4_cash_fd6	10
cash	proofs::eq_int4_cash_fd7	10
cash	proofs::eq_int4_cash_fd8	10
cash	proofs::eq_int4_cash_fd9	10
cash	proofs::eq_int4_cash_fdbig	10
cash	proofs::eq_int4_cash_fdneg	10
cash	proofs::eq_int4_mul_cash	20
cash	proofs::eq_int8_cash_fd0	10
cash	proofs::eq_int8_cash_fd1	10
cash	proofs::eq_int8_cash_fd10	20
cash	proofs::eq_int8_cash_fd2	10
cash	proofs::eq_int8_cash_fd3	10
cash	proofs::eq_int8_cash_fd4	10
cash	proofs::eq_int8_cash_fd5	10
cash	proofs::eq_int8_cash_fd6	10
cash	proofs::eq_int8_cash_fd7	10
cash	proofs::eq_int8_cash_fd8	50
cash	proofs::eq_int8_cash_fd9	20
cash	proofs::eq_int8_cash_fdbig	10
cash	proofs::eq_int8_cash_fdneg	10
cash	proofs::eq_int8_mul_cash	20
cash	proofs::int_cash_fd_cells_cover	10
datetime-b	proofs::cover_make_date_year_bands	40
datetime-b	proofs::eq_interval_avg_accum_inv_core	50
datetime-b	proofs::eq_interval_avg_combine_core	40
datetime-b	proofs::eq_interval_avg_deserialize_fc	50
datetime-b	proofs::eq_interval_avg_serialize_fc	50
datetime-b	proofs::eq_interval_sum_fc	50
datetime-b	proofs::eq_make_date_bc_band	60
datetime-b	proofs::eq_time_scale_p6	40
datetime-b	proofs::eq_time_scale_typmod_neg	40
datetime-b	proofs::eq_time_scale_typmod_over	10
datetime-b	proofs::eq_timetz_scale_typmod_neg	30
datetime-b	proofs::spot_make_date	30
datetime-b	proofs::spot_time_scale	30
datetime-b	proofs::spot_timetz_scale	30
datetime-b	rem::eq_date_finite	10
datetime-b	rem::eq_date_mi	20
datetime-b	rem::eq_date_timestamp	20
datetime-b	rem::eq_datetimetz_timestamptz	20
datetime-b	rem::eq_hashdate	20
datetime-b	rem::eq_hashdate_extended	20
datetime-b	rem::eq_in_range_date_interval_m0d0	50
datetime-b	rem::eq_in_range_date_interval_noend	20
datetime-b	rem::eq_in_range_time_interval	20
datetime-b	rem::eq_in_range_timetz_interval	40
datetime-b	rem::eq_interval_finite	20
datetime-b	rem::eq_interval_hash_band	40
datetime-b	rem::eq_interval_hash_ext_m0d0	20
datetime-b	rem::eq_interval_hash_m0d0	20
datetime-b	rem::eq_interval_scale_typmod_neg	20
datetime-b	rem::eq_interval_time_err_plane	10
datetime-b	rem::eq_overlaps_time	10
datetime-b	rem::eq_time_hash	20
datetime-b	rem::eq_time_hash_extended	10
datetime-b	rem::eq_time_interval	10
datetime-b	rem::eq_time_mi_time	10
datetime-b	rem::eq_timetypmodin_check	20
datetime-b	rem::eq_timetypmodout_d1	40
datetime-b	rem::eq_timetypmodout_d2	40
datetime-b	rem::eq_timetypmodout_d3	30
datetime-b	rem::eq_timetypmodout_neg	10
datetime-b	rem::eq_timetz_hash	10
datetime-b	rem::eq_timetz_hash_extended	50
datetime-b	rem::eq_timetz_izone_cells	20
datetime-b	rem::eq_timetz_izone_err_planes	20
datetime-b	rem::eq_timetz_time	10
datetime-b	rem::eq_timetztypmodin_check	20
datetime-b	rem::eq_timetztypmodout_d1	30
datetime-b	rem::eq_timetztypmodout_neg	10
datetime-b	rem::spot_interval_scale	20
datetime-b	rem::spot_interval_time	10
datetime-b	rem::spot_typmodout	30
float-agg	proofs::eq_check_float8_array_t3	10
float-agg	proofs::eq_check_float8_array_t6	10
float-agg	proofs::eq_regr_r2_horizontal	10
float-agg	proofs::eq_regr_sxx	10
float-agg	proofs::eq_regr_sxy	10
float-agg	proofs::eq_regr_syy	10
float-agg	proofs::grid_avg	20
float-agg	proofs::grid_corr	30
float-agg	proofs::grid_covar_pop	10
float-agg	proofs::grid_covar_samp	10
float-agg	proofs::grid_regr_avgx	10
float-agg	proofs::grid_regr_avgy	10
float-agg	proofs::grid_regr_r2	40
float-agg	proofs::grid_regr_slope	20
float-agg	proofs::grid_stddev_pop	20
float-agg	proofs::grid_stddev_samp	20
float-agg	proofs::grid_var_pop	20
float-agg	proofs::grid_var_samp	30
float-agg	proofs::plane_float4_accum_first	20
float-agg	proofs::plane_float8_accum_first	20
float-agg	proofs::plane_float8_combine_n1zero	21
float-agg	proofs::plane_float8_combine_n2zero	20
float-agg	proofs::plane_regr_accum_first	20
float-agg	proofs::plane_regr_combine_n1zero	20
float-agg	proofs::plane_regr_combine_n2zero	20
float-agg	proofs::probe_det_sqrt_model_determinism	20
float-arith	proofs::eq_dceil	10
float-arith	proofs::eq_dfloor	10
float-arith	proofs::eq_dround	10
float-arith	proofs::eq_dsign	10
float-arith	proofs::eq_dtrunc	10
float-arith	proofs::eq_float4send	60
float-arith	proofs::eq_in_range_float4_float8	50
geo-cmp	ext2::proofs_ext2::eq_box_distance_grid	40
geo-cmp	ext2::proofs_ext2::eq_inter_sb_cell0	10
geo-cmp	ext2::proofs_ext2::eq_inter_sb_cell1	10
geo-cmp	ext2::proofs_ext2::eq_inter_sb_cell2	10
geo-cmp	ext2::proofs_ext2::eq_inter_sb_cell3	10
geo-cmp	ext2::proofs_ext2::eq_inter_sb_cell4	10
geo-cmp	ext2::proofs_ext2::eq_inter_sb_cell5	20
geo-cmp	ext2::proofs_ext2::eq_inter_sb_cell6	20
geo-cmp	ext2::proofs_ext2::eq_inter_sb_cell7	10
geo-cmp	ext2::proofs_ext2::eq_inter_sb_cell8	10
geo-cmp	ext2::proofs_ext2::eq_line_eq_nan_plane	20
geo-cmp	ext2::proofs_ext2::eq_line_horizontal	10
geo-cmp	ext2::proofs_ext2::eq_line_perp_arm1	10
geo-cmp	ext2::proofs_ext2::eq_line_perp_arm2	10
geo-cmp	ext2::proofs_ext2::eq_line_perp_arm3	10
geo-cmp	ext2::proofs_ext2::eq_line_perp_arm4	10
geo-cmp	ext2::proofs_ext2::eq_line_perp_grid	20
geo-cmp	ext2::proofs_ext2::eq_line_vertical	10
geo-cmp	ext2::proofs_ext2::eq_on_pl_hplane	30
geo-cmp	ext2::proofs_ext2::eq_on_pl_vplane	30
geo-cmp	ext2::proofs_ext2::eq_on_ps_grid	60
geo-cmp	ext2::proofs_ext2::eq_on_sb	10
geo-cmp	proofs::eq_box_above	10
geo-cmp	proofs::eq_box_above_eq	10
geo-cmp	proofs::eq_box_area_grid	10
geo-cmp	proofs::eq_box_area_zero_plane	10
geo-cmp	proofs::eq_box_below	10
geo-cmp	proofs::eq_box_below_eq	10
geo-cmp	proofs::eq_box_cn_spots	10
geo-cmp	proofs::eq_box_contain	20
geo-cmp	proofs::eq_box_contain_pt	10
geo-cmp	proofs::eq_box_contained	20
geo-cmp	proofs::eq_box_eq_grid	20
geo-cmp	proofs::eq_box_eq_zero_plane	50
geo-cmp	proofs::eq_box_ge_grid	30
geo-cmp	proofs::eq_box_ge_zero_plane	40
geo-cmp	proofs::eq_box_gt_grid	50
geo-cmp	proofs::eq_box_gt_zero_plane	30
geo-cmp	proofs::eq_box_height	40
geo-cmp	proofs::eq_box_le_grid	40
geo-cmp	proofs::eq_box_le_zero_plane	41
geo-cmp	proofs::eq_box_left	30
geo-cmp	proofs::eq_box_lt_grid	51
geo-cmp	proofs::eq_box_lt_zero_plane	31
geo-cmp	proofs::eq_box_overabove	21
geo-cmp	proofs::eq_box_overbelow	40
geo-cmp	proofs::eq_box_overlap	60
