family	harness	tier	expected	outcome	wall_s	timeout_s	verdict	log
aclcheck	proofs::eq_aclitemout_named	unmeasured	unmeasured	unmeasured-failed	70	600	VERIFICATION:- FAILED	aclcheck--proofs__eq_aclitemout_named_.log
aclcheck	proofs::cover_aclitemin_regimes	unmeasured	unmeasured	unmeasured-rss-kill	270	600	NO-VERDICT	aclcheck--proofs__cover_aclitemin_regimes_.log
datetime-b	rem::eq_f8tstz_value_screen	calibration	unmeasured	unmeasured-timeout	300	300	NO-VERDICT	datetime-b--rem__eq_f8tstz_value_screen_.log
aclcheck	proofs::cover_table_id_id_regimes	unmeasured	unmeasured	unmeasured-timeout	601	600	NO-VERDICT	aclcheck--proofs__cover_table_id_id_regimes_.log
aclcheck	proofs::eq_has_function_privilege_id_id	unmeasured	unmeasured	unmeasured-timeout	601	600	NO-VERDICT	aclcheck--proofs__eq_has_function_privilege_id_id_.log
aclcheck	proofs::eq_has_database_privilege_id_id	unmeasured	unmeasured	unmeasured-timeout	601	600	NO-VERDICT	aclcheck--proofs__eq_has_database_privilege_id_id_.log
aclcheck	proofs::eq_has_database_privilege_name_id	unmeasured	unmeasured	unmeasured-timeout	601	600	NO-VERDICT	aclcheck--proofs__eq_has_database_privilege_name_id_.log
aclcheck	proofs::eq_has_function_privilege_id	unmeasured	unmeasured	unmeasured-timeout	601	600	NO-VERDICT	aclcheck--proofs__eq_has_function_privilege_id_.log
aclcheck	proofs::eq_has_database_privilege_name	unmeasured	unmeasured	unmeasured-timeout	601	600	NO-VERDICT	aclcheck--proofs__eq_has_database_privilege_name_.log
aclcheck	proofs::eq_has_database_privilege_id_name	unmeasured	unmeasured	unmeasured-timeout	601	600	NO-VERDICT	aclcheck--proofs__eq_has_database_privilege_id_name_.log
aclcheck	proofs::eq_has_language_privilege_name	unmeasured	unmeasured	unmeasured-timeout	601	600	NO-VERDICT	aclcheck--proofs__eq_has_language_privilege_name_.log
aclcheck	proofs::eq_has_database_privilege_id	unmeasured	unmeasured	unmeasured-timeout	601	600	NO-VERDICT	aclcheck--proofs__eq_has_database_privilege_id_.log
aclcheck	proofs::eq_has_language_privilege_id_id	unmeasured	unmeasured	unmeasured-timeout	601	600	NO-VERDICT	aclcheck--proofs__eq_has_language_privilege_id_id_.log
aclcheck	proofs::eq_has_language_privilege_id_name	unmeasured	unmeasured	unmeasured-timeout	601	600	NO-VERDICT	aclcheck--proofs__eq_has_language_privilege_id_name_.log
aclcheck	proofs::eq_has_function_privilege_name_id	unmeasured	unmeasured	unmeasured-timeout	601	600	NO-VERDICT	aclcheck--proofs__eq_has_function_privilege_name_id_.log
aclcheck	proofs::eq_has_language_privilege_id	unmeasured	unmeasured	unmeasured-timeout	601	600	NO-VERDICT	aclcheck--proofs__eq_has_language_privilege_id_.log
aclcheck	proofs::eq_has_database_privilege_name_name	unmeasured	unmeasured	unmeasured-timeout	601	600	NO-VERDICT	aclcheck--proofs__eq_has_database_privilege_name_name_.log
aclcheck	proofs::eq_has_language_privilege_name_id	unmeasured	unmeasured	unmeasured-timeout	601	600	NO-VERDICT	aclcheck--proofs__eq_has_language_privilege_name_id_.log
aclcheck	proofs::eq_has_language_privilege_name_name	unmeasured	unmeasured	unmeasured-timeout	602	600	NO-VERDICT	aclcheck--proofs__eq_has_language_privilege_name_name_.log
aclcheck	proofs::eq_has_schema_privilege_id	unmeasured	unmeasured	unmeasured-timeout	602	600	NO-VERDICT	aclcheck--proofs__eq_has_schema_privilege_id_.log
aclcheck	proofs::spot_aclitemin_literals	unmeasured	unmeasured	unmeasured-green	20	600	VERIFICATION:- SUCCESSFUL	aclcheck--proofs__spot_aclitemin_literals_.log
aclcheck	proofs::spot_aclitemout_numeric	unmeasured	unmeasured	unmeasured-rss-kill	181	600	NO-VERDICT	aclcheck--proofs__spot_aclitemout_numeric_.log
aclcheck	proofs::eq_has_schema_privilege_id_id	unmeasured	unmeasured	unmeasured-timeout	602	600	NO-VERDICT	aclcheck--proofs__eq_has_schema_privilege_id_id_.log
aclcheck	proofs::eq_has_schema_privilege_name	unmeasured	unmeasured	unmeasured-timeout	602	600	NO-VERDICT	aclcheck--proofs__eq_has_schema_privilege_name_.log
aclcheck	proofs::eq_has_schema_privilege_id_name	unmeasured	unmeasured	unmeasured-timeout	602	600	NO-VERDICT	aclcheck--proofs__eq_has_schema_privilege_id_name_.log
aclcheck	proofs::eq_has_schema_privilege_name_id	unmeasured	unmeasured	unmeasured-timeout	602	600	NO-VERDICT	aclcheck--proofs__eq_has_schema_privilege_name_id_.log
aclcheck	proofs::eq_has_schema_privilege_name_name	unmeasured	unmeasured	unmeasured-timeout	602	600	NO-VERDICT	aclcheck--proofs__eq_has_schema_privilege_name_name_.log
aclcheck	proofs::eq_has_sequence_privilege_id_id	unmeasured	unmeasured	unmeasured-timeout	602	600	NO-VERDICT	aclcheck--proofs__eq_has_sequence_privilege_id_id_.log
aclcheck	proofs::eq_has_sequence_privilege_id	unmeasured	unmeasured	unmeasured-timeout	602	600	NO-VERDICT	aclcheck--proofs__eq_has_sequence_privilege_id_.log
aclcheck	proofs::eq_has_table_privilege_name	unmeasured	unmeasured	unmeasured-timeout	602	600	NO-VERDICT	aclcheck--proofs__eq_has_table_privilege_name_.log
aclcheck	proofs::eq_has_sequence_privilege_name	unmeasured	unmeasured	unmeasured-timeout	602	600	NO-VERDICT	aclcheck--proofs__eq_has_sequence_privilege_name_.log
aclcheck	proofs::eq_has_table_privilege_id_name	unmeasured	unmeasured	unmeasured-timeout	602	600	NO-VERDICT	aclcheck--proofs__eq_has_table_privilege_id_name_.log
aclcheck	proofs::eq_has_sequence_privilege_id_name	unmeasured	unmeasured	unmeasured-timeout	602	600	NO-VERDICT	aclcheck--proofs__eq_has_sequence_privilege_id_name_.log
aclcheck	proofs::eq_has_sequence_privilege_name_id	unmeasured	unmeasured	unmeasured-timeout	602	600	NO-VERDICT	aclcheck--proofs__eq_has_sequence_privilege_name_id_.log
aclcheck	proofs::eq_has_sequence_privilege_name_name	unmeasured	unmeasured	unmeasured-timeout	602	600	NO-VERDICT	aclcheck--proofs__eq_has_sequence_privilege_name_name_.log
aclcheck	proofs::eq_has_table_privilege_id	unmeasured	unmeasured	unmeasured-timeout	602	600	NO-VERDICT	aclcheck--proofs__eq_has_table_privilege_id_.log
cash	proofs::control_int8_cash_lconv_skew	unmeasured	unmeasured	unmeasured-failed	20	600	NO-VERDICT	cash--proofs__control_int8_cash_lconv_skew_.log
cash	proofs::eq_cash_div_cash_by_zero	unmeasured	unmeasured	unmeasured-failed	20	600	NO-VERDICT	cash--proofs__eq_cash_div_cash_by_zero_.log
cash	proofs::control_cash_out_lconv_skew	unmeasured	unmeasured	unmeasured-failed	20	600	NO-VERDICT	cash--proofs__control_cash_out_lconv_skew_.log
cash	proofs::eq_cash_div_cash_grid	unmeasured	unmeasured	unmeasured-failed	20	600	NO-VERDICT	cash--proofs__eq_cash_div_cash_grid_.log
cash	proofs::eq_cash_div_cash_pow2	unmeasured	unmeasured	unmeasured-failed	20	600	NO-VERDICT	cash--proofs__eq_cash_div_cash_pow2_.log
cash	proofs::eq_cash_div_int2_band16	unmeasured	unmeasured	unmeasured-failed	20	600	NO-VERDICT	cash--proofs__eq_cash_div_int2_band16_.log
cash	proofs::eq_cash_div_flt8_grid	unmeasured	unmeasured	unmeasured-failed	20	600	NO-VERDICT	cash--proofs__eq_cash_div_flt8_grid_.log
cash	proofs::eq_cash_div_int4_band16	unmeasured	unmeasured	unmeasured-failed	20	600	NO-VERDICT	cash--proofs__eq_cash_div_int4_band16_.log
cash	proofs::eq_cash_div_flt4_grid	unmeasured	unmeasured	unmeasured-failed	20	600	NO-VERDICT	cash--proofs__eq_cash_div_flt4_grid_.log
cash	proofs::eq_cash_div_int8_band16	unmeasured	unmeasured	unmeasured-failed	10	600	NO-VERDICT	cash--proofs__eq_cash_div_int8_band16_.log
cash	proofs::eq_cash_div_int8_by_neg1	unmeasured	unmeasured	unmeasured-failed	10	600	NO-VERDICT	cash--proofs__eq_cash_div_int8_by_neg1_.log
cash	proofs::eq_cash_div_int8_by_zero	unmeasured	unmeasured	unmeasured-failed	10	600	NO-VERDICT	cash--proofs__eq_cash_div_int8_by_zero_.log
cash	proofs::eq_cash_in_len0	unmeasured	unmeasured	unmeasured-failed	10	600	NO-VERDICT	cash--proofs__eq_cash_in_len0_.log
cash	proofs::eq_cash_in_len1	unmeasured	unmeasured	unmeasured-failed	10	600	NO-VERDICT	cash--proofs__eq_cash_in_len1_.log
cash	proofs::eq_cash_in_len2	unmeasured	unmeasured	unmeasured-failed	10	600	NO-VERDICT	cash--proofs__eq_cash_in_len2_.log
cash	proofs::eq_cash_in_len2_fd0	unmeasured	unmeasured	unmeasured-failed	10	600	NO-VERDICT	cash--proofs__eq_cash_in_len2_fd0_.log
cash	proofs::eq_cash_in_len2_fd1	unmeasured	unmeasured	unmeasured-failed	10	600	NO-VERDICT	cash--proofs__eq_cash_in_len2_fd1_.log
cash	proofs::eq_cash_in_len2_fd10	unmeasured	unmeasured	unmeasured-failed	10	600	NO-VERDICT	cash--proofs__eq_cash_in_len2_fd10_.log
cash	proofs::eq_cash_in_len2_fd5	unmeasured	unmeasured	unmeasured-failed	10	600	NO-VERDICT	cash--proofs__eq_cash_in_len2_fd5_.log
cash	proofs::eq_cash_in_len2_fdbig	unmeasured	unmeasured	unmeasured-failed	10	600	NO-VERDICT	cash--proofs__eq_cash_in_len2_fdbig_.log
cash	proofs::eq_cash_in_len2_fdneg	unmeasured	unmeasured	unmeasured-failed	10	600	NO-VERDICT	cash--proofs__eq_cash_in_len2_fdneg_.log
cash	proofs::eq_cash_in_len3	unmeasured	unmeasured	unmeasured-failed	10	600	NO-VERDICT	cash--proofs__eq_cash_in_len3_.log
cash	proofs::eq_cash_in_len4	unmeasured	unmeasured	unmeasured-failed	10	600	NO-VERDICT	cash--proofs__eq_cash_in_len4_.log
cash	proofs::eq_cash_in_len5	unmeasured	unmeasured	unmeasured-failed	10	600	NO-VERDICT	cash--proofs__eq_cash_in_len5_.log
cash	proofs::eq_cash_in_len6	unmeasured	unmeasured	unmeasured-failed	10	600	NO-VERDICT	cash--proofs__eq_cash_in_len6_.log
cash	proofs::eq_cash_mul_flt4_grid	unmeasured	unmeasured	unmeasured-failed	10	600	NO-VERDICT	cash--proofs__eq_cash_mul_flt4_grid_.log
cash	proofs::eq_cash_mul_flt8_c_zero	unmeasured	unmeasured	unmeasured-failed	10	600	NO-VERDICT	cash--proofs__eq_cash_mul_flt8_c_zero_.log
brin-minmax	proofs::eq_uuid_add_value_nulls	unmeasured	unmeasured	unmeasured-green	41	600	VERIFICATION:- SUCCESSFUL	brin-minmax--proofs__eq_uuid_add_value_nulls_.log
cash	proofs::eq_cash_mul_flt8_f_zero	unmeasured	unmeasured	unmeasured-failed	10	600	NO-VERDICT	cash--proofs__eq_cash_mul_flt8_f_zero_.log
cash	proofs::eq_cash_mul_flt8_grid	unmeasured	unmeasured	unmeasured-failed	10	600	NO-VERDICT	cash--proofs__eq_cash_mul_flt8_grid_.log
cash	proofs::eq_cash_mul_int2	unmeasured	unmeasured	unmeasured-failed	10	600	NO-VERDICT	cash--proofs__eq_cash_mul_int2_.log
cash	proofs::eq_cash_mul_int4	unmeasured	unmeasured	unmeasured-failed	11	600	NO-VERDICT	cash--proofs__eq_cash_mul_int4_.log
cash	proofs::eq_cash_mul_int8	unmeasured	unmeasured	unmeasured-failed	10	600	NO-VERDICT	cash--proofs__eq_cash_mul_int8_.log
cash	proofs::eq_cash_out_band1e5_len	unmeasured	unmeasured	unmeasured-failed	10	600	NO-VERDICT	cash--proofs__eq_cash_out_band1e5_len_.log
cash	proofs::eq_cash_out_fd0	unmeasured	unmeasured	unmeasured-failed	10	600	NO-VERDICT	cash--proofs__eq_cash_out_fd0_.log
cash	proofs::eq_cash_out_fd1	unmeasured	unmeasured	unmeasured-failed	10	600	NO-VERDICT	cash--proofs__eq_cash_out_fd1_.log
cash	proofs::eq_cash_out_fd10	unmeasured	unmeasured	unmeasured-failed	10	600	NO-VERDICT	cash--proofs__eq_cash_out_fd10_.log
cash	proofs::eq_cash_out_fd5	unmeasured	unmeasured	unmeasured-failed	10	600	NO-VERDICT	cash--proofs__eq_cash_out_fd5_.log
cash	proofs::eq_cash_out_fdbig	unmeasured	unmeasured	unmeasured-failed	10	600	NO-VERDICT	cash--proofs__eq_cash_out_fdbig_.log
cash	proofs::eq_cash_out_fdneg	unmeasured	unmeasured	unmeasured-failed	10	600	NO-VERDICT	cash--proofs__eq_cash_out_fdneg_.log
cash	proofs::eq_cash_out_group1	unmeasured	unmeasured	unmeasured-failed	10	600	NO-VERDICT	cash--proofs__eq_cash_out_group1_.log
cash	proofs::eq_cash_out_group6	unmeasured	unmeasured	unmeasured-failed	10	600	NO-VERDICT	cash--proofs__eq_cash_out_group6_.log
cash	proofs::eq_cash_out_neg_p0	unmeasured	unmeasured	unmeasured-failed	10	600	NO-VERDICT	cash--proofs__eq_cash_out_neg_p0_.log
cash	proofs::eq_cash_out_neg_p1	unmeasured	unmeasured	unmeasured-failed	10	600	NO-VERDICT	cash--proofs__eq_cash_out_neg_p1_.log
cash	proofs::eq_cash_out_neg_p2	unmeasured	unmeasured	unmeasured-failed	10	600	NO-VERDICT	cash--proofs__eq_cash_out_neg_p2_.log
cash	proofs::eq_cash_out_neg_p3	unmeasured	unmeasured	unmeasured-failed	10	600	NO-VERDICT	cash--proofs__eq_cash_out_neg_p3_.log
cash	proofs::eq_cash_out_neg_p4	unmeasured	unmeasured	unmeasured-failed	10	600	NO-VERDICT	cash--proofs__eq_cash_out_neg_p4_.log
cash	proofs::eq_cash_out_neg_pdef	unmeasured	unmeasured	unmeasured-failed	10	600	NO-VERDICT	cash--proofs__eq_cash_out_neg_pdef_.log
aclcheck	proofs::eq_has_table_privilege_name_name	unmeasured	unmeasured	unmeasured-timeout	602	600	NO-VERDICT	aclcheck--proofs__eq_has_table_privilege_name_name_.log
cash	proofs::eq_cash_out_pos_p0	unmeasured	unmeasured	unmeasured-failed	10	600	NO-VERDICT	cash--proofs__eq_cash_out_pos_p0_.log
cash	proofs::eq_cash_out_pos_p2	unmeasured	unmeasured	unmeasured-failed	10	600	NO-VERDICT	cash--proofs__eq_cash_out_pos_p2_.log
cash	proofs::eq_cash_out_pos_p4	unmeasured	unmeasured	unmeasured-failed	10	600	NO-VERDICT	cash--proofs__eq_cash_out_pos_p4_.log
cash	proofs::eq_cash_out_spot_max	unmeasured	unmeasured	unmeasured-failed	10	600	NO-VERDICT	cash--proofs__eq_cash_out_spot_max_.log
cash	proofs::eq_cash_out_spot_min	unmeasured	unmeasured	unmeasured-failed	10	600	NO-VERDICT	cash--proofs__eq_cash_out_spot_min_.log
cash	proofs::eq_cash_out_spot_neg1	unmeasured	unmeasured	unmeasured-failed	10	600	NO-VERDICT	cash--proofs__eq_cash_out_spot_neg1_.log
cash	proofs::eq_cash_out_spot_zero	unmeasured	unmeasured	unmeasured-failed	10	600	NO-VERDICT	cash--proofs__eq_cash_out_spot_zero_.log
cash	proofs::eq_cash_recv	unmeasured	unmeasured	unmeasured-failed	10	600	NO-VERDICT	cash--proofs__eq_cash_recv_.log
cash	proofs::eq_cash_recv_short	unmeasured	unmeasured	unmeasured-failed	10	600	NO-VERDICT	cash--proofs__eq_cash_recv_short_.log
cash	proofs::eq_cash_send	unmeasured	unmeasured	unmeasured-failed	10	600	NO-VERDICT	cash--proofs__eq_cash_send_.log
cash	proofs::eq_cash_words_spot_groups	unmeasured	unmeasured	unmeasured-failed	10	600	NO-VERDICT	cash--proofs__eq_cash_words_spot_groups_.log
cash	proofs::eq_cash_words_spot_max	unmeasured	unmeasured	unmeasured-failed	10	600	NO-VERDICT	cash--proofs__eq_cash_words_spot_max_.log
cash	proofs::eq_cash_words_spot_min	unmeasured	unmeasured	unmeasured-failed	10	600	NO-VERDICT	cash--proofs__eq_cash_words_spot_min_.log
cash	proofs::eq_cash_words_spot_neg	unmeasured	unmeasured	unmeasured-failed	10	600	NO-VERDICT	cash--proofs__eq_cash_words_spot_neg_.log
cash	proofs::eq_cash_words_spot_one_cent	unmeasured	unmeasured	unmeasured-failed	10	600	NO-VERDICT	cash--proofs__eq_cash_words_spot_one_cent_.log
cash	proofs::eq_cash_words_spot_one_dollar	unmeasured	unmeasured	unmeasured-failed	10	600	NO-VERDICT	cash--proofs__eq_cash_words_spot_one_dollar_.log
cash	proofs::eq_cash_words_spot_teens	unmeasured	unmeasured	unmeasured-failed	10	600	NO-VERDICT	cash--proofs__eq_cash_words_spot_teens_.log
cash	proofs::eq_cash_words_spot_zero	unmeasured	unmeasured	unmeasured-failed	10	600	NO-VERDICT	cash--proofs__eq_cash_words_spot_zero_.log
cash	proofs::eq_flt4_mul_cash_grid	unmeasured	unmeasured	unmeasured-failed	10	600	NO-VERDICT	cash--proofs__eq_flt4_mul_cash_grid_.log
cash	proofs::eq_flt8_mul_cash_grid	unmeasured	unmeasured	unmeasured-failed	10	600	NO-VERDICT	cash--proofs__eq_flt8_mul_cash_grid_.log
cash	proofs::eq_int2_mul_cash	unmeasured	unmeasured	unmeasured-failed	10	600	NO-VERDICT	cash--proofs__eq_int2_mul_cash_.log
cash	proofs::eq_int4_cash_fd0	unmeasured	unmeasured	unmeasured-failed	10	600	NO-VERDICT	cash--proofs__eq_int4_cash_fd0_.log
cash	proofs::eq_int4_cash_fd1	unmeasured	unmeasured	unmeasured-failed	10	600	NO-VERDICT	cash--proofs__eq_int4_cash_fd1_.log
cash	proofs::eq_int4_cash_fd10	unmeasured	unmeasured	unmeasured-failed	10	600	NO-VERDICT	cash--proofs__eq_int4_cash_fd10_.log
cash	proofs::eq_int4_cash_fd2	unmeasured	unmeasured	unmeasured-failed	10	600	NO-VERDICT	cash--proofs__eq_int4_cash_fd2_.log
cash	proofs::eq_int4_cash_fd3	unmeasured	unmeasured	unmeasured-failed	10	600	NO-VERDICT	cash--proofs__eq_int4_cash_fd3_.log
cash	proofs::eq_int4_cash_fd4	unmeasured	unmeasured	unmeasured-failed	10	600	NO-VERDICT	cash--proofs__eq_int4_cash_fd4_.log
cash	proofs::eq_int4_cash_fd5	unmeasured	unmeasured	unmeasured-failed	10	600	NO-VERDICT	cash--proofs__eq_int4_cash_fd5_.log
cash	proofs::eq_int4_cash_fd6	unmeasured	unmeasured	unmeasured-failed	10	600	NO-VERDICT	cash--proofs__eq_int4_cash_fd6_.log
cash	proofs::eq_int4_cash_fd7	unmeasured	unmeasured	unmeasured-failed	10	600	NO-VERDICT	cash--proofs__eq_int4_cash_fd7_.log
aclcheck	proofs::probe_system_class_temp_toast	unmeasured	unmeasured	unmeasured-timeout	601	600	NO-VERDICT	aclcheck--proofs__probe_system_class_temp_toast_.log
aclcheck	proofs::spot_database_temporary	unmeasured	unmeasured	unmeasured-timeout	601	600	NO-VERDICT	aclcheck--proofs__spot_database_temporary_.log
aclcheck	proofs::spot_schema_usage_wgo	unmeasured	unmeasured	unmeasured-timeout	601	600	NO-VERDICT	aclcheck--proofs__spot_schema_usage_wgo_.log
aclcheck	proofs::spot_table_select_wgo	unmeasured	unmeasured	unmeasured-timeout	601	600	NO-VERDICT	aclcheck--proofs__spot_table_select_wgo_.log
aclcheck	proofs::spot_table_references	unmeasured	unmeasured	unmeasured-timeout	601	600	NO-VERDICT	aclcheck--proofs__spot_table_references_.log
aclcheck	proofs::spot_table_list	unmeasured	unmeasured	unmeasured-timeout	601	600	NO-VERDICT	aclcheck--proofs__spot_table_list_.log
