family	harness	wall_s
cash	proofs::int_cash_fd_cells_cover	10
datetime-b	proofs::cover_make_date_year_bands	40
datetime-b	proofs::eq_interval_avg_combine_core	40
datetime-b	proofs::eq_time_scale_p6	40
datetime-b	proofs::eq_time_scale_typmod_neg	40
datetime-b	proofs::eq_time_scale_typmod_over	10
datetime-b	proofs::eq_interval_avg_accum_inv_core	50
datetime-b	proofs::eq_interval_avg_deserialize_fc	50
datetime-b	proofs::eq_interval_avg_serialize_fc	50
datetime-b	proofs::eq_interval_sum_fc	50
datetime-b	proofs::eq_make_date_bc_band	60
datetime-b	rem::eq_date_finite	10
datetime-b	proofs::eq_timetz_scale_typmod_neg	30
datetime-b	proofs::spot_make_date	30
datetime-b	proofs::spot_time_scale	30
datetime-b	proofs::spot_timetz_scale	30
datetime-b	rem::eq_date_mi	20
datetime-b	rem::eq_date_timestamp	20
datetime-b	rem::eq_datetimetz_timestamptz	20
datetime-b	rem::eq_hashdate	20
datetime-b	rem::eq_hashdate_extended	20
datetime-b	rem::eq_in_range_date_interval_noend	20
datetime-b	rem::eq_in_range_time_interval	20
datetime-b	rem::eq_interval_finite	20
datetime-b	rem::eq_interval_hash_ext_m0d0	20
datetime-b	rem::eq_interval_hash_m0d0	20
datetime-b	rem::eq_interval_time_err_plane	10
datetime-b	rem::eq_in_range_date_interval_m0d0	50
datetime-b	rem::eq_in_range_timetz_interval	40
datetime-b	rem::eq_interval_scale_typmod_neg	20
datetime-b	rem::eq_interval_hash_band	40
datetime-b	rem::eq_overlaps_time	10
datetime-b	rem::eq_time_hash_extended	10
datetime-b	rem::eq_time_interval	10
datetime-b	rem::eq_time_hash	20
datetime-b	rem::eq_datetime_timestamp	80
datetime-b	rem::eq_time_mi_time	10
datetime-b	rem::eq_timetypmodin_check	20
datetime-b	rem::eq_date_send	110
datetime-b	rem::eq_timetypmodout_neg	10
datetime-b	rem::eq_timetypmodout_d1	40
datetime-b	rem::eq_timetypmodout_d2	40
datetime-b	rem::eq_timetz_hash	10
datetime-b	rem::eq_timetypmodout_d3	30
datetime-b	rem::eq_date_recv	150
datetime-b	rem::eq_timetz_izone_cells	20
datetime-b	rem::eq_timetz_izone_err_planes	20
datetime-b	rem::eq_timetz_time	10
datetime-b	rem::eq_timetztypmodin_check	20
datetime-b	rem::eq_timetz_hash_extended	50
datetime-b	rem::eq_timetztypmodout_neg	10
datetime-b	rem::eq_timetztypmodout_d1	30
datetime-b	rem::spot_interval_time	10
datetime-b	rem::spot_interval_scale	20
datetime-b	rem::spot_typmodout	30
datetime-b	rem::eq_time_recv_typmod_neg	150
datetime-b	rem::eq_time_send	190
datetime-b	rem::eq_interval_recv_typmod_neg	341
datetime-b	rem::eq_timetz_recv_typmod_neg	241
datetime-b	rem::eq_overlaps_timetz	321
float-agg	proofs::eq_check_float8_array_t3	10
datetime-b	rem::eq_interval_send	361
float-agg	proofs::eq_check_float8_array_t6	10
float-agg	proofs::eq_regr_r2_horizontal	10
float-agg	proofs::eq_regr_sxx	10
datetime-b	rem::eq_timetz_send	291
float-agg	proofs::eq_regr_sxy	10
float-agg	proofs::eq_regr_syy	10
float-agg	proofs::grid_covar_pop	10
float-agg	proofs::grid_avg	20
float-agg	proofs::grid_covar_samp	10
float-agg	proofs::grid_regr_avgx	10
float-agg	proofs::grid_corr	30
float-agg	proofs::grid_regr_avgy	10
