family	harness	tier	expected	outcome	wall_s	timeout_s	verdict	log
cash	proofs::eq_int4_cash_fdneg	unmeasured	unmeasured	unmeasured-failed	20	600	NO-VERDICT	cash--proofs__eq_int4_cash_fdneg_.log
cash	proofs::eq_int8_cash_fd10	unmeasured	unmeasured	unmeasured-failed	20	600	NO-VERDICT	cash--proofs__eq_int8_cash_fd10_.log
cash	proofs::eq_int8_cash_fd9	unmeasured	unmeasured	unmeasured-failed	20	600	NO-VERDICT	cash--proofs__eq_int8_cash_fd9_.log
cash	proofs::eq_int4_cash_fd8	unmeasured	unmeasured	unmeasured-failed	30	600	NO-VERDICT	cash--proofs__eq_int4_cash_fd8_.log
cash	proofs::eq_int4_cash_fd9	unmeasured	unmeasured	unmeasured-failed	30	600	NO-VERDICT	cash--proofs__eq_int4_cash_fd9_.log
cash	proofs::eq_int4_cash_fdbig	unmeasured	unmeasured	unmeasured-failed	30	600	NO-VERDICT	cash--proofs__eq_int4_cash_fdbig_.log
cash	proofs::eq_int8_cash_fdneg	unmeasured	unmeasured	unmeasured-failed	10	600	NO-VERDICT	cash--proofs__eq_int8_cash_fdneg_.log
cash	proofs::eq_int4_mul_cash	unmeasured	unmeasured	unmeasured-failed	30	600	NO-VERDICT	cash--proofs__eq_int4_mul_cash_.log
cash	proofs::eq_int8_cash_fd0	unmeasured	unmeasured	unmeasured-failed	30	600	NO-VERDICT	cash--proofs__eq_int8_cash_fd0_.log
cash	proofs::eq_int8_cash_fd1	unmeasured	unmeasured	unmeasured-failed	30	600	NO-VERDICT	cash--proofs__eq_int8_cash_fd1_.log
cash	proofs::eq_int8_mul_cash	unmeasured	unmeasured	unmeasured-failed	10	600	NO-VERDICT	cash--proofs__eq_int8_mul_cash_.log
cash	proofs::eq_int8_cash_fd2	unmeasured	unmeasured	unmeasured-failed	30	600	NO-VERDICT	cash--proofs__eq_int8_cash_fd2_.log
cash	proofs::eq_int8_cash_fd3	unmeasured	unmeasured	unmeasured-failed	30	600	NO-VERDICT	cash--proofs__eq_int8_cash_fd3_.log
cash	proofs::eq_int8_cash_fd4	unmeasured	unmeasured	unmeasured-failed	30	600	NO-VERDICT	cash--proofs__eq_int8_cash_fd4_.log
cash	proofs::eq_int8_cash_fd5	unmeasured	unmeasured	unmeasured-failed	30	600	NO-VERDICT	cash--proofs__eq_int8_cash_fd5_.log
cash	proofs::eq_int8_cash_fd6	unmeasured	unmeasured	unmeasured-failed	30	600	NO-VERDICT	cash--proofs__eq_int8_cash_fd6_.log
cash	proofs::eq_int8_cash_fd7	unmeasured	unmeasured	unmeasured-failed	30	600	NO-VERDICT	cash--proofs__eq_int8_cash_fd7_.log
cash	proofs::eq_int8_cash_fd8	unmeasured	unmeasured	unmeasured-failed	30	600	NO-VERDICT	cash--proofs__eq_int8_cash_fd8_.log
cash	proofs::int_cash_fd_cells_cover	unmeasured	unmeasured	unmeasured-green	10	600	VERIFICATION:- SUCCESSFUL	cash--proofs__int_cash_fd_cells_cover_.log
cash	proofs::eq_int8_cash_fdbig	unmeasured	unmeasured	unmeasured-failed	30	600	NO-VERDICT	cash--proofs__eq_int8_cash_fdbig_.log
cash	proofs::rust_panics_cash_div_min_by_neg1	unmeasured	unmeasured	unmeasured-failed	10	600	VERIFICATION:- FAILED (encountered failures other than panics, which were unexpected)	cash--proofs__rust_panics_cash_div_min_by_neg1_.log
datetime-b	proofs::control_time_scale_typmod_skew	unmeasured	unmeasured	unmeasured-failed	40	600	VERIFICATION:- FAILED	datetime-b--proofs__control_time_scale_typmod_skew_.log
datetime-b	proofs::cover_make_date_year_bands	unmeasured	unmeasured	unmeasured-green	40	600	VERIFICATION:- SUCCESSFUL	datetime-b--proofs__cover_make_date_year_bands_.log
datetime-b	proofs::eq_interval_avg_combine_core	unmeasured	unmeasured	unmeasured-green	40	600	VERIFICATION:- SUCCESSFUL	datetime-b--proofs__eq_interval_avg_combine_core_.log
datetime-b	proofs::eq_time_scale_p6	unmeasured	unmeasured	unmeasured-green	40	600	VERIFICATION:- SUCCESSFUL	datetime-b--proofs__eq_time_scale_p6_.log
datetime-b	proofs::eq_time_scale_typmod_neg	unmeasured	unmeasured	unmeasured-green	40	600	VERIFICATION:- SUCCESSFUL	datetime-b--proofs__eq_time_scale_typmod_neg_.log
datetime-b	proofs::control_make_date_day_skew	unmeasured	unmeasured	unmeasured-failed	50	600	VERIFICATION:- FAILED	datetime-b--proofs__control_make_date_day_skew_.log
datetime-b	proofs::eq_time_scale_typmod_over	unmeasured	unmeasured	unmeasured-green	10	600	VERIFICATION:- SUCCESSFUL	datetime-b--proofs__eq_time_scale_typmod_over_.log
datetime-b	proofs::eq_interval_avg_accum_inv_core	unmeasured	unmeasured	unmeasured-green	50	600	VERIFICATION:- SUCCESSFUL	datetime-b--proofs__eq_interval_avg_accum_inv_core_.log
datetime-b	proofs::eq_interval_avg_deserialize_fc	unmeasured	unmeasured	unmeasured-green	50	600	VERIFICATION:- SUCCESSFUL	datetime-b--proofs__eq_interval_avg_deserialize_fc_.log
datetime-b	proofs::eq_interval_avg_serialize_fc	unmeasured	unmeasured	unmeasured-green	50	600	VERIFICATION:- SUCCESSFUL	datetime-b--proofs__eq_interval_avg_serialize_fc_.log
datetime-b	proofs::eq_interval_sum_fc	unmeasured	unmeasured	unmeasured-green	50	600	VERIFICATION:- SUCCESSFUL	datetime-b--proofs__eq_interval_sum_fc_.log
datetime-b	proofs::eq_timetz_part_tz	unmeasured	unmeasured	unmeasured-failed	20	600	VERIFICATION:- FAILED	datetime-b--proofs__eq_timetz_part_tz_.log
datetime-b	proofs::eq_timetz_part_tz_hour	unmeasured	unmeasured	unmeasured-failed	20	600	VERIFICATION:- FAILED	datetime-b--proofs__eq_timetz_part_tz_hour_.log
datetime-b	proofs::eq_make_date_bc_band	unmeasured	unmeasured	unmeasured-green	60	600	VERIFICATION:- SUCCESSFUL	datetime-b--proofs__eq_make_date_bc_band_.log
datetime-b	proofs::eq_timetz_part_tz_minute	unmeasured	unmeasured	unmeasured-failed	20	600	VERIFICATION:- FAILED	datetime-b--proofs__eq_timetz_part_tz_minute_.log
datetime-b	proofs::control_interval_avg_serialize_swap	unmeasured	unmeasured	unmeasured-failed	70	600	VERIFICATION:- FAILED	datetime-b--proofs__control_interval_avg_serialize_swap_.log
datetime-b	rem::control_overlaps_time_swap_skew	unmeasured	unmeasured	unmeasured-failed	10	600	VERIFICATION:- FAILED	datetime-b--rem__control_overlaps_time_swap_skew_.log
datetime-b	rem::eq_date_finite	unmeasured	unmeasured	unmeasured-green	10	600	VERIFICATION:- SUCCESSFUL	datetime-b--rem__eq_date_finite_.log
datetime-b	proofs::eq_timetz_scale_typmod_neg	unmeasured	unmeasured	unmeasured-green	30	600	VERIFICATION:- SUCCESSFUL	datetime-b--proofs__eq_timetz_scale_typmod_neg_.log
datetime-b	proofs::spot_make_date	unmeasured	unmeasured	unmeasured-green	30	600	VERIFICATION:- SUCCESSFUL	datetime-b--proofs__spot_make_date_.log
datetime-b	proofs::spot_time_scale	unmeasured	unmeasured	unmeasured-green	30	600	VERIFICATION:- SUCCESSFUL	datetime-b--proofs__spot_time_scale_.log
datetime-b	proofs::spot_timetz_part_tz_time_nonzero	unmeasured	unmeasured	unmeasured-failed	30	600	VERIFICATION:- FAILED	datetime-b--proofs__spot_timetz_part_tz_time_nonzero_.log
datetime-b	proofs::spot_timetz_scale	unmeasured	unmeasured	unmeasured-green	30	600	VERIFICATION:- SUCCESSFUL	datetime-b--proofs__spot_timetz_scale_.log
datetime-b	proofs::witness_interval_avg_deserialize_trailing	unmeasured	unmeasured	unmeasured-failed	30	600	VERIFICATION:- FAILED	datetime-b--proofs__witness_interval_avg_deserialize_trailing_.log
datetime-b	rem::eq_date_mi	unmeasured	unmeasured	unmeasured-green	20	600	VERIFICATION:- SUCCESSFUL	datetime-b--rem__eq_date_mi_.log
datetime-b	rem::eq_date_timestamp	unmeasured	unmeasured	unmeasured-green	20	600	VERIFICATION:- SUCCESSFUL	datetime-b--rem__eq_date_timestamp_.log
datetime-b	rem::eq_datetimetz_timestamptz	unmeasured	unmeasured	unmeasured-green	20	600	VERIFICATION:- SUCCESSFUL	datetime-b--rem__eq_datetimetz_timestamptz_.log
datetime-b	rem::eq_hashdate	unmeasured	unmeasured	unmeasured-green	20	600	VERIFICATION:- SUCCESSFUL	datetime-b--rem__eq_hashdate_.log
