family	harness	wall_s
float-agg	proofs::grid_regr_slope	20
float-agg	proofs::grid_stddev_pop	20
float-agg	proofs::grid_stddev_samp	20
float-agg	proofs::grid_var_pop	20
float-agg	proofs::plane_float4_accum_first	20
float-agg	proofs::plane_float8_accum_first	20
float-agg	proofs::plane_float8_combine_n1zero	21
float-agg	proofs::plane_float8_combine_n2zero	20
float-agg	proofs::plane_regr_accum_first	20
float-agg	proofs::plane_regr_combine_n1zero	20
float-agg	proofs::plane_regr_combine_n2zero	20
float-agg	proofs::probe_det_sqrt_model_determinism	20
float-arith	proofs::eq_dceil	10
float-arith	proofs::eq_dfloor	10
float-agg	proofs::grid_var_samp	30
float-arith	proofs::eq_dround	10
float-arith	proofs::eq_dsign	10
float-arith	proofs::eq_dtrunc	10
float-agg	proofs::grid_regr_r2	40
float-arith	proofs::eq_in_range_float4_float8	50
geo-cmp	ext2::proofs_ext2::eq_box_distance_grid	40
float-arith	proofs::eq_float4send	60
float-arith	proofs::grid_width_bucket_float8	61
float-arith	proofs::spots_dsqrt	61
float-arith	proofs::eq_in_range_float8_float8	80
float-arith	proofs::eq_width_bucket_reject	80
float-arith	proofs::eq_float8send	90
geo-cmp	ext2::proofs_ext2::eq_box_diagonal_img	110
float-agg	proofs::grid_regr_intercept	171
geo-cmp	ext2::proofs_ext2::eq_box_circle_grid	160
geo-cmp	ext2::proofs_ext2::eq_box_div_p2c6	130
geo-cmp	ext2::proofs_ext2::eq_box_div_p2c7	130
geo-cmp	ext2::proofs_ext2::eq_box_div_p2c5	150
geo-cmp	ext2::proofs_ext2::eq_box_intersect_img	150
geo-cmp	ext2::proofs_ext2::eq_box_div_p2c0	251
geo-cmp	ext2::proofs_ext2::eq_box_add_img	311
geo-cmp	ext2::proofs_ext2::eq_box_mul_p2c6	110
geo-cmp	ext2::proofs_ext2::eq_box_mul_p2c5	121
geo-cmp	ext2::proofs_ext2::eq_box_div_p2c1	301
geo-cmp	ext2::proofs_ext2::eq_box_mul_p2c7	121
geo-cmp	ext2::proofs_ext2::eq_inter_sb_cell0	10
geo-cmp	ext2::proofs_ext2::eq_box_mul_p2c0	261
geo-cmp	ext2::proofs_ext2::eq_inter_sb_cell1	10
geo-cmp	ext2::proofs_ext2::eq_inter_sb_cell2	10
geo-cmp	ext2::proofs_ext2::eq_inter_sb_cell3	10
geo-cmp	ext2::proofs_ext2::eq_inter_sb_cell4	10
geo-cmp	ext2::proofs_ext2::eq_inter_sb_cell5	20
geo-cmp	ext2::proofs_ext2::eq_box_mul_p2c1	270
geo-cmp	ext2::proofs_ext2::eq_cr_circle_img	80
geo-cmp	ext2::proofs_ext2::eq_inter_sb_cell7	10
geo-cmp	ext2::proofs_ext2::eq_inter_sb_cell6	20
geo-cmp	ext2::proofs_ext2::eq_construct_point_img	90
geo-cmp	ext2::proofs_ext2::eq_inter_sb_cell8	10
geo-cmp	ext2::proofs_ext2::eq_boxes_bound_box_img	100
geo-cmp	ext2::proofs_ext2::eq_line_horizontal	10
geo-cmp	ext2::proofs_ext2::eq_line_perp_arm1	10
geo-cmp	ext2::proofs_ext2::eq_box_mul_p2c2	271
geo-cmp	ext2::proofs_ext2::eq_line_eq_nan_plane	20
geo-cmp	ext2::proofs_ext2::eq_line_perp_arm2	10
geo-cmp	ext2::proofs_ext2::eq_line_perp_arm3	10
geo-cmp	ext2::proofs_ext2::eq_line_perp_arm4	10
geo-cmp	ext2::proofs_ext2::eq_line_vertical	10
geo-cmp	ext2::proofs_ext2::eq_line_perp_grid	20
geo-cmp	ext2::proofs_ext2::eq_on_pl_hplane	30
geo-cmp	ext2::proofs_ext2::eq_on_pl_vplane	30
geo-cmp	ext2::proofs_ext2::eq_on_sb	10
geo-cmp	ext2::proofs_ext2::eq_line_eq_grid	70
geo-cmp	ext2::proofs_ext2::eq_box_div_p2c2	451
geo-cmp	ext2::proofs_ext2::eq_on_ps_grid	60
geo-cmp	ext2::proofs_ext2::eq_box_div_p2c4	471
geo-cmp	ext2::proofs_ext2::eq_box_div_p2c3	492
geo-cmp	ext2::proofs_ext2::eq_box_mul_p2c4	371
geo-cmp	ext2::proofs_ext2::eq_on_sl_vplane	80
geo-cmp	ext2::proofs_ext2::eq_on_pl_dplane	130
geo-cmp	ext2::proofs_ext2::eq_line_construct_pp_grid	160
geo-cmp	ext2::proofs_ext2::eq_point_box_img	90
geo-cmp	ext2::proofs_ext2::eq_on_sl_hplane	110
geo-cmp	ext2::proofs_ext2::eq_box_mul_p2c3	421
geo-cmp	ext2::proofs_ext2::eq_box_sub_img	301
geo-cmp	ext2::proofs_ext2::eq_points_box_img	90
geo-cmp	ext2::proofs_ext2::eq_point_mul_grid	130
geo-cmp	ext2::proofs_ext2::eq_point_div_grid	181
geo-cmp	proofs::eq_box_above	10
geo-cmp	proofs::eq_box_above_eq	10
geo-cmp	proofs::eq_box_area_grid	10
geo-cmp	proofs::eq_box_area_zero_plane	10
geo-cmp	proofs::eq_box_below	10
geo-cmp	proofs::eq_box_below_eq	10
geo-cmp	ext2::proofs_ext2::eq_point_mul_pow2plane	261
geo-cmp	proofs::eq_box_cn_spots	10
geo-cmp	proofs::eq_box_contain_pt	10
geo-cmp	proofs::eq_box_contain	20
geo-cmp	proofs::eq_box_contained	20
geo-cmp	proofs::eq_box_eq_grid	20
geo-cmp	ext2::proofs_ext2::probe_line_construct_pp_vshared	341
geo-cmp	ext::proofs_ext::eq_circle_contained_hslice	341
geo-cmp	ext::proofs_ext::eq_lseg_lt_hslice	391
geo-cmp	ext2::proofs_ext2::eq_point_div_pow2plane	542
geo-cmp	ext::proofs_ext::eq_circle_distance_hslice	511
geo-cmp	ext::proofs_ext::eq_lseg_gt_hslice	542
geo-cmp	ext::proofs_ext::eq_lseg_le_hslice	542
