family	harness	tier	expected	outcome	wall_s	timeout_s	verdict	log
float-arith	proofs::control_dtrunc_vs_c_round	unmeasured	unmeasured	unmeasured-failed	10	600	VERIFICATION:- FAILED	float-arith--proofs__control_dtrunc_vs_c_round_.log
float-agg	proofs::grid_regr_slope	unmeasured	unmeasured	unmeasured-green	20	600	VERIFICATION:- SUCCESSFUL	float-agg--proofs__grid_regr_slope_.log
float-agg	proofs::grid_stddev_pop	unmeasured	unmeasured	unmeasured-green	20	600	VERIFICATION:- SUCCESSFUL	float-agg--proofs__grid_stddev_pop_.log
float-agg	proofs::grid_stddev_samp	unmeasured	unmeasured	unmeasured-green	20	600	VERIFICATION:- SUCCESSFUL	float-agg--proofs__grid_stddev_samp_.log
float-agg	proofs::grid_var_pop	unmeasured	unmeasured	unmeasured-green	20	600	VERIFICATION:- SUCCESSFUL	float-agg--proofs__grid_var_pop_.log
float-agg	proofs::plane_float4_accum_first	unmeasured	unmeasured	unmeasured-green	20	600	VERIFICATION:- SUCCESSFUL	float-agg--proofs__plane_float4_accum_first_.log
float-agg	proofs::plane_float8_accum_first	unmeasured	unmeasured	unmeasured-green	20	600	VERIFICATION:- SUCCESSFUL	float-agg--proofs__plane_float8_accum_first_.log
float-agg	proofs::plane_float8_combine_n1zero	unmeasured	unmeasured	unmeasured-green	21	600	VERIFICATION:- SUCCESSFUL	float-agg--proofs__plane_float8_combine_n1zero_.log
float-agg	proofs::plane_float8_combine_n2zero	unmeasured	unmeasured	unmeasured-green	20	600	VERIFICATION:- SUCCESSFUL	float-agg--proofs__plane_float8_combine_n2zero_.log
float-agg	proofs::plane_regr_accum_first	unmeasured	unmeasured	unmeasured-green	20	600	VERIFICATION:- SUCCESSFUL	float-agg--proofs__plane_regr_accum_first_.log
float-agg	proofs::plane_regr_combine_n1zero	unmeasured	unmeasured	unmeasured-green	20	600	VERIFICATION:- SUCCESSFUL	float-agg--proofs__plane_regr_combine_n1zero_.log
float-agg	proofs::plane_regr_combine_n2zero	unmeasured	unmeasured	unmeasured-green	20	600	VERIFICATION:- SUCCESSFUL	float-agg--proofs__plane_regr_combine_n2zero_.log
float-agg	proofs::probe_det_sqrt_model_determinism	unmeasured	unmeasured	unmeasured-green	20	600	VERIFICATION:- SUCCESSFUL	float-agg--proofs__probe_det_sqrt_model_determinism_.log
float-agg	proofs::probe_sqrt_self_determinism	unmeasured	unmeasured	unmeasured-failed	20	600	VERIFICATION:- FAILED	float-agg--proofs__probe_sqrt_self_determinism_.log
float-arith	proofs::control_in_range_f8_vs_noreject	unmeasured	unmeasured	unmeasured-failed	10	600	VERIFICATION:- FAILED	float-arith--proofs__control_in_range_f8_vs_noreject_.log
float-arith	proofs::eq_dceil	unmeasured	unmeasured	unmeasured-green	10	600	VERIFICATION:- SUCCESSFUL	float-arith--proofs__eq_dceil_.log
float-arith	proofs::eq_dfloor	unmeasured	unmeasured	unmeasured-green	10	600	VERIFICATION:- SUCCESSFUL	float-arith--proofs__eq_dfloor_.log
float-agg	proofs::grid_var_samp	unmeasured	unmeasured	unmeasured-green	30	600	VERIFICATION:- SUCCESSFUL	float-agg--proofs__grid_var_samp_.log
float-arith	proofs::eq_dround	unmeasured	unmeasured	unmeasured-green	10	600	VERIFICATION:- SUCCESSFUL	float-arith--proofs__eq_dround_.log
float-arith	proofs::eq_dsign	unmeasured	unmeasured	unmeasured-green	10	600	VERIFICATION:- SUCCESSFUL	float-arith--proofs__eq_dsign_.log
float-arith	proofs::eq_dtrunc	unmeasured	unmeasured	unmeasured-green	10	600	VERIFICATION:- SUCCESSFUL	float-arith--proofs__eq_dtrunc_.log
float-agg	proofs::grid_regr_r2	unmeasured	unmeasured	unmeasured-green	40	600	VERIFICATION:- SUCCESSFUL	float-agg--proofs__grid_regr_r2_.log
float-arith	proofs::dsqrt_bisect_grid	unmeasured	unmeasured	unmeasured-failed	20	600	VERIFICATION:- FAILED	float-arith--proofs__dsqrt_bisect_grid_.log
float-arith	proofs::control_float8send_vs_c_float4send	unmeasured	unmeasured	unmeasured-failed	40	600	VERIFICATION:- FAILED	float-arith--proofs__control_float8send_vs_c_float4send_.log
float-arith	proofs::eq_dsqrt	unmeasured	unmeasured	unmeasured-failed	40	600	VERIFICATION:- FAILED	float-arith--proofs__eq_dsqrt_.log
float-arith	proofs::eq_in_range_float4_float8	unmeasured	unmeasured	unmeasured-green	50	600	VERIFICATION:- SUCCESSFUL	float-arith--proofs__eq_in_range_float4_float8_.log
geo-cmp	ext2::proofs_ext2::eq_box_distance_grid	unmeasured	unmeasured	unmeasured-green	40	600	VERIFICATION:- SUCCESSFUL	geo-cmp--ext2__proofs_ext2__eq_box_distance_grid_.log
float-arith	proofs::eq_float4send	unmeasured	unmeasured	unmeasured-green	60	600	VERIFICATION:- SUCCESSFUL	float-arith--proofs__eq_float4send_.log
float-arith	proofs::grid_width_bucket_float8	unmeasured	unmeasured	unmeasured-green	61	600	VERIFICATION:- SUCCESSFUL	float-arith--proofs__grid_width_bucket_float8_.log
