family	harness	tier	expected	outcome	wall_s	timeout_s	verdict	log
geo-cmp	proofs::eq_box_overabove	unmeasured	unmeasured	unmeasured-green	21	600	VERIFICATION:- SUCCESSFUL	geo-cmp--proofs__eq_box_overabove_.log
geo-cmp	proofs::eq_box_overleft	unmeasured	unmeasured	unmeasured-green	20	600	VERIFICATION:- SUCCESSFUL	geo-cmp--proofs__eq_box_overleft_.log
geo-cmp	proofs::eq_box_ge_grid	unmeasured	unmeasured	unmeasured-green	30	600	VERIFICATION:- SUCCESSFUL	geo-cmp--proofs__eq_box_ge_grid_.log
geo-cmp	proofs::eq_box_gt_zero_plane	unmeasured	unmeasured	unmeasured-green	30	600	VERIFICATION:- SUCCESSFUL	geo-cmp--proofs__eq_box_gt_zero_plane_.log
geo-cmp	proofs::eq_box_left	unmeasured	unmeasured	unmeasured-green	30	600	VERIFICATION:- SUCCESSFUL	geo-cmp--proofs__eq_box_left_.log
geo-cmp	proofs::eq_box_lt_zero_plane	unmeasured	unmeasured	unmeasured-green	31	600	VERIFICATION:- SUCCESSFUL	geo-cmp--proofs__eq_box_lt_zero_plane_.log
geo-cmp	proofs::eq_box_overright	unmeasured	unmeasured	unmeasured-green	30	600	VERIFICATION:- SUCCESSFUL	geo-cmp--proofs__eq_box_overright_.log
geo-cmp	proofs::eq_box_ge_zero_plane	unmeasured	unmeasured	unmeasured-green	40	600	VERIFICATION:- SUCCESSFUL	geo-cmp--proofs__eq_box_ge_zero_plane_.log
geo-cmp	proofs::eq_box_height	unmeasured	unmeasured	unmeasured-green	40	600	VERIFICATION:- SUCCESSFUL	geo-cmp--proofs__eq_box_height_.log
geo-cmp	proofs::eq_box_le_grid	unmeasured	unmeasured	unmeasured-green	40	600	VERIFICATION:- SUCCESSFUL	geo-cmp--proofs__eq_box_le_grid_.log
geo-cmp	proofs::eq_box_le_zero_plane	unmeasured	unmeasured	unmeasured-green	41	600	VERIFICATION:- SUCCESSFUL	geo-cmp--proofs__eq_box_le_zero_plane_.log
geo-cmp	proofs::eq_box_overbelow	unmeasured	unmeasured	unmeasured-green	40	600	VERIFICATION:- SUCCESSFUL	geo-cmp--proofs__eq_box_overbelow_.log
geo-cmp	proofs::eq_box_right	unmeasured	unmeasured	unmeasured-green	40	600	VERIFICATION:- SUCCESSFUL	geo-cmp--proofs__eq_box_right_.log
geo-cmp	proofs::eq_box_eq_zero_plane	unmeasured	unmeasured	unmeasured-green	50	600	VERIFICATION:- SUCCESSFUL	geo-cmp--proofs__eq_box_eq_zero_plane_.log
geo-cmp	proofs::eq_point_above	unmeasured	unmeasured	unmeasured-green	20	600	VERIFICATION:- SUCCESSFUL	geo-cmp--proofs__eq_point_above_.log
