family	harness	tier	expected	outcome	wall_s	timeout_s	verdict	log
network	arith_proofs::eq_inetpl_v4	unmeasured	unmeasured	unmeasured-green	10	600	VERIFICATION:- SUCCESSFUL	network--arith_proofs__eq_inetpl_v4_.log
network	arith_proofs::eq_inetmi_int8_v4	unmeasured	unmeasured	unmeasured-green	20	600	VERIFICATION:- SUCCESSFUL	network--arith_proofs__eq_inetmi_int8_v4_.log
network	arith_proofs::eq_inetmi_int8_v6	unmeasured	unmeasured	unmeasured-green	20	600	VERIFICATION:- SUCCESSFUL	network--arith_proofs__eq_inetmi_int8_v6_.log
network	ntop_spot_proofs::spot_cidr_out_v4_full	unmeasured	unmeasured	unmeasured-green	10	600	VERIFICATION:- SUCCESSFUL	network--ntop_spot_proofs__spot_cidr_out_v4_full_.log
network	arith_proofs::eq_inetpl_v6	unmeasured	unmeasured	unmeasured-green	20	600	VERIFICATION:- SUCCESSFUL	network--arith_proofs__eq_inetpl_v6_.log
network	ntop_spot_proofs::control_ntop_host_vs_show	unmeasured	unmeasured	unmeasured-failed	20	600	VERIFICATION:- FAILED	network--ntop_spot_proofs__control_ntop_host_vs_show_.log
network	ntop_spot_proofs::spot_cidr_abbrev_v4_partial	unmeasured	unmeasured	unmeasured-green	20	600	VERIFICATION:- SUCCESSFUL	network--ntop_spot_proofs__spot_cidr_abbrev_v4_partial_.log
network	ntop_spot_proofs::spot_cidr_abbrev_v4_zero	unmeasured	unmeasured	unmeasured-green	20	600	VERIFICATION:- SUCCESSFUL	network--ntop_spot_proofs__spot_cidr_abbrev_v4_zero_.log
network	ntop_spot_proofs::spot_cidr_abbrev_v6_v4mapped	unmeasured	unmeasured	unmeasured-green	20	600	VERIFICATION:- SUCCESSFUL	network--ntop_spot_proofs__spot_cidr_abbrev_v6_v4mapped_.log
network	ntop_spot_proofs::spot_cidr_abbrev_v6_words	unmeasured	unmeasured	unmeasured-green	20	600	VERIFICATION:- SUCCESSFUL	network--ntop_spot_proofs__spot_cidr_abbrev_v6_words_.log
network	ntop_spot_proofs::spot_cidr_abbrev_v6_zero	unmeasured	unmeasured	unmeasured-green	20	600	VERIFICATION:- SUCCESSFUL	network--ntop_spot_proofs__spot_cidr_abbrev_v6_zero_.log
network	ntop_spot_proofs::spot_cidr_out_v4_mask	unmeasured	unmeasured	unmeasured-green	10	600	VERIFICATION:- SUCCESSFUL	network--ntop_spot_proofs__spot_cidr_out_v4_mask_.log
network	ntop_spot_proofs::spot_cidr_out_v6_mask	unmeasured	unmeasured	unmeasured-green	10	600	VERIFICATION:- SUCCESSFUL	network--ntop_spot_proofs__spot_cidr_out_v6_mask_.log
network	ntop_spot_proofs::spot_inet_abbrev_v4	unmeasured	unmeasured	unmeasured-green	10	600	VERIFICATION:- SUCCESSFUL	network--ntop_spot_proofs__spot_inet_abbrev_v4_.log
network	ntop_spot_proofs::spot_inet_abbrev_v6	unmeasured	unmeasured	unmeasured-green	10	600	VERIFICATION:- SUCCESSFUL	network--ntop_spot_proofs__spot_inet_abbrev_v6_.log
network	ntop_spot_proofs::spot_inet_out_v4_full	unmeasured	unmeasured	unmeasured-green	10	600	VERIFICATION:- SUCCESSFUL	network--ntop_spot_proofs__spot_inet_out_v4_full_.log
