family	harness	tier	expected	outcome	wall_s	timeout_s	verdict	log
text-slice	wave8::eq_bytea_larger	unmeasured	unmeasured	unmeasured-green	40	600	VERIFICATION:- SUCCESSFUL	text-slice--wave8__eq_bytea_larger_.log
text-slice	wave8::eq_bytea_smaller	unmeasured	unmeasured	unmeasured-green	40	600	VERIFICATION:- SUCCESSFUL	text-slice--wave8__eq_bytea_smaller_.log
text-slice	wave8::eq_textout	unmeasured	unmeasured	unmeasured-green	61	600	VERIFICATION:- SUCCESSFUL	text-slice--wave8__eq_textout_.log
text-slice	wave8::spot_textin	unmeasured	unmeasured	unmeasured-green	20	600	VERIFICATION:- SUCCESSFUL	text-slice--wave8__spot_textin_.log
text-slice	wave8::eq_int4_bytea	unmeasured	unmeasured	unmeasured-green	111	600	VERIFICATION:- SUCCESSFUL	text-slice--wave8__eq_int4_bytea_.log
text-slice	wave8::eq_int8_bytea	unmeasured	unmeasured	unmeasured-green	111	600	VERIFICATION:- SUCCESSFUL	text-slice--wave8__eq_int8_bytea_.log
text-slice	wave8::eq_int2_bytea	unmeasured	unmeasured	unmeasured-green	121	600	VERIFICATION:- SUCCESSFUL	text-slice--wave8__eq_int2_bytea_.log
text-slice	wave8::eq_bytea_reverse	unmeasured	unmeasured	unmeasured-rss-kill	251	600	NO-VERDICT	text-slice--wave8__eq_bytea_reverse_.log
text-slice	wave8::eq_to_hex32	unmeasured	unmeasured	unmeasured-rss-kill	251	600	NO-VERDICT	text-slice--wave8__eq_to_hex32_.log
text-slice	wave8::eq_byteasend	unmeasured	unmeasured	unmeasured-rss-kill	261	600	NO-VERDICT	text-slice--wave8__eq_byteasend_.log
text-slice	wave8::eq_to_oct32	unmeasured	unmeasured	unmeasured-rss-kill	231	600	NO-VERDICT	text-slice--wave8__eq_to_oct32_.log
text-slice	wave8::eq_to_hex64	unmeasured	unmeasured	unmeasured-rss-kill	271	600	NO-VERDICT	text-slice--wave8__eq_to_hex64_.log
text-slice	wave8::spot_unknownout	unmeasured	unmeasured	unmeasured-green	10	600	VERIFICATION:- SUCCESSFUL	text-slice--wave8__spot_unknownout_.log
text-slice	wave8::spot_to_hex32	unmeasured	unmeasured	unmeasured-rss-kill	210	600	NO-VERDICT	text-slice--wave8__spot_to_hex32_.log
text-slice	wave8::eq_to_oct64	unmeasured	unmeasured	unmeasured-rss-kill	311	600	NO-VERDICT	text-slice--wave8__eq_to_oct64_.log
text-slice	wave8::spot_unknownin	unmeasured	unmeasured	unmeasured-rss-kill	100	600	NO-VERDICT	text-slice--wave8__spot_unknownin_.log
text-slice	wave8::spot_to_hex64	unmeasured	unmeasured	unmeasured-rss-kill	250	600	NO-VERDICT	text-slice--wave8__spot_to_hex64_.log
text-slice	wave8::eq_textsend	unmeasured	unmeasured	unmeasured-rss-kill	402	600	NO-VERDICT	text-slice--wave8__eq_textsend_.log
text-slice	wave8::spot_to_oct32	unmeasured	unmeasured	unmeasured-rss-kill	221	600	NO-VERDICT	text-slice--wave8__spot_to_oct32_.log
text-slice	wave8::eq_byteaoverlay_no_len	unmeasured	unmeasured	unmeasured-rss-kill	502	600	NO-VERDICT	text-slice--wave8__eq_byteaoverlay_no_len_.log
text-slice	wave8::eq_byteaoverlay	unmeasured	unmeasured	unmeasured-rss-kill	512	600	NO-VERDICT	text-slice--wave8__eq_byteaoverlay_.log
text-slice	wave8::spot_to_oct64	unmeasured	unmeasured	unmeasured-rss-kill	301	600	NO-VERDICT	text-slice--wave8__spot_to_oct64_.log
text-slice	wave8::eq_to_bin32	unmeasured	unmeasured	unmeasured-rss-kill	572	600	NO-VERDICT	text-slice--wave8__eq_to_bin32_.log
text-slice	wave8::eq_hashvarlena	unmeasured	unmeasured	unmeasured-timeout	602	600	NO-VERDICT	text-slice--wave8__eq_hashvarlena_.log
text-slice	wave8::eq_to_bin64	unmeasured	unmeasured	unmeasured-timeout	602	600	NO-VERDICT	text-slice--wave8__eq_to_bin64_.log
text-slice	wave8::eq_hashvarlena_extended	unmeasured	unmeasured	unmeasured-timeout	602	600	NO-VERDICT	text-slice--wave8__eq_hashvarlena_extended_.log
text-slice	wave8::spot_to_bin32	unmeasured	unmeasured	unmeasured-rss-kill	541	600	NO-VERDICT	text-slice--wave8__spot_to_bin32_.log
text-slice	wave8::spot_unknownsend	unmeasured	unmeasured	unmeasured-rss-kill	361	600	NO-VERDICT	text-slice--wave8__spot_unknownsend_.log
uuid	wave5::eq_uuid_recv_core_d0	unmeasured	unmeasured	unmeasured-green	391	600	VERIFICATION:- SUCCESSFUL	uuid--wave5__eq_uuid_recv_core_d0_.log
uuid	wave5::eq_uuid_recv_core_d10	unmeasured	unmeasured	unmeasured-green	331	600	VERIFICATION:- SUCCESSFUL	uuid--wave5__eq_uuid_recv_core_d10_.log
text-slice	wave8::spot_to_bin64	unmeasured	unmeasured	unmeasured-timeout	601	600	NO-VERDICT	text-slice--wave8__spot_to_bin64_.log
uuid	wave5::eq_uuid_recv_core_d1	unmeasured	unmeasured	unmeasured-green	422	600	VERIFICATION:- SUCCESSFUL	uuid--wave5__eq_uuid_recv_core_d1_.log
uuid	wave5::eq_uuid_recv_core_d11	unmeasured	unmeasured	unmeasured-green	432	600	VERIFICATION:- SUCCESSFUL	uuid--wave5__eq_uuid_recv_core_d11_.log
uuid	wave5::eq_uuid_recv_core_d15	unmeasured	unmeasured	unmeasured-green	301	600	VERIFICATION:- SUCCESSFUL	uuid--wave5__eq_uuid_recv_core_d15_.log
uuid	wave5::eq_uuid_recv_core_d12	unmeasured	unmeasured	unmeasured-green	432	600	VERIFICATION:- SUCCESSFUL	uuid--wave5__eq_uuid_recv_core_d12_.log
uuid	wave5::eq_uuid_recv_core_d13	unmeasured	unmeasured	unmeasured-green	431	600	VERIFICATION:- SUCCESSFUL	uuid--wave5__eq_uuid_recv_core_d13_.log
uuid	wave5::eq_uuid_recv_core_d16	unmeasured	unmeasured	unmeasured-green	331	600	VERIFICATION:- SUCCESSFUL	uuid--wave5__eq_uuid_recv_core_d16_.log
uuid	wave5::eq_uuid_recv_core_d14	unmeasured	unmeasured	unmeasured-green	371	600	VERIFICATION:- SUCCESSFUL	uuid--wave5__eq_uuid_recv_core_d14_.log
uuid	wave5::eq_uuid_recv_core_d20	unmeasured	unmeasured	unmeasured-rss-kill	291	600	NO-VERDICT	uuid--wave5__eq_uuid_recv_core_d20_.log
uuid	wave5::eq_uuid_recv_core_d2	unmeasured	unmeasured	unmeasured-green	432	600	VERIFICATION:- SUCCESSFUL	uuid--wave5__eq_uuid_recv_core_d2_.log
uuid	wave5::eq_uuid_recv_core_d17	unmeasured	unmeasured	unmeasured-green	482	600	VERIFICATION:- SUCCESSFUL	uuid--wave5__eq_uuid_recv_core_d17_.log
uuid	wave5::eq_uuid_recv_core_d7	unmeasured	unmeasured	unmeasured-green	331	600	VERIFICATION:- SUCCESSFUL	uuid--wave5__eq_uuid_recv_core_d7_.log
uuid	wave5::eq_uuid_recv_core_d3	unmeasured	unmeasured	unmeasured-green	432	600	VERIFICATION:- SUCCESSFUL	uuid--wave5__eq_uuid_recv_core_d3_.log
uuid	wave5::eq_uuid_recv_core_d4	unmeasured	unmeasured	unmeasured-green	432	600	VERIFICATION:- SUCCESSFUL	uuid--wave5__eq_uuid_recv_core_d4_.log
uuid	wave5::eq_uuid_recv_core_d18	unmeasured	unmeasured	unmeasured-green	502	600	VERIFICATION:- SUCCESSFUL	uuid--wave5__eq_uuid_recv_core_d18_.log
uuid	wave5::eq_uuid_recv_core_d8	unmeasured	unmeasured	unmeasured-green	331	600	VERIFICATION:- SUCCESSFUL	uuid--wave5__eq_uuid_recv_core_d8_.log
uuid	wave5::eq_uuid_recv_core_ok16_0	unmeasured	unmeasured	unmeasured-green	291	600	VERIFICATION:- SUCCESSFUL	uuid--wave5__eq_uuid_recv_core_ok16_0_.log
uuid	wave5::eq_uuid_recv_core_d5	unmeasured	unmeasured	unmeasured-green	441	600	VERIFICATION:- SUCCESSFUL	uuid--wave5__eq_uuid_recv_core_d5_.log
uuid	wave5::eq_uuid_recv_core_d6	unmeasured	unmeasured	unmeasured-green	442	600	VERIFICATION:- SUCCESSFUL	uuid--wave5__eq_uuid_recv_core_d6_.log
